	Score	MoE	P-Value	Q-Value
ASAH1	0.892740179349349	0.014120318775989257	6.724949562878278e-06	0.09516288621476088
HLA-A	0.8918549495770914	0.014213640299397612	2.0174848688634835e-05	0.2591690750778196
PPP1R11	0.8890112157114942	0.015237501263191585	7.397444519166106e-05	0.6670932085001011
LRRC37A	0.8875239045722902	0.014112609901792436	0.00014122394082044385	0.8775098422787554
APIP	0.8861397854099178	0.015472038817217754	0.00017484868863483523	0.9256913470107883
DUT	0.878533392064234	0.01573162304968183	0.0004371217215870881	0.998495410195817
HNRNPC	0.8784941293318287	0.016341909617937852	0.00044384667114996635	0.998638000524509
LRRC6	0.8772565038269747	0.014240358041303627	0.0005447209145931405	0.9996959726324806
PPIG	0.8724668816326344	0.020248910974016116	0.0007666442501681238	0.9999887847556311
DNAJC7	0.8685117595371097	0.01587054145471171	0.000941492938802959	0.9999991669041725
FAM210B	0.8675205258915851	0.017431085231773644	0.0009616677874915938	0.9999993822975891
SLIRP	0.8667677025500222	0.00704998741314537	0.0009683927370544721	0.9999994405543482
SVIP	0.8649720576163593	0.021234599677833633	0.0010759919300605246	0.9999998869793465
YIPF4	0.863774924903006	0.019867538535279644	0.0011768661735036988	0.9999999747640783
DNAJC19	0.8618579514002842	0.016432561781212655	0.001277740416946873	0.9999999943648895
TBCA	0.8612780678751554	0.0171080635366069	0.0012979152656355077	0.999999995820417
KATNA1	0.8608498295101682	0.024163863202067662	0.001324815063887021	0.9999999971949651
TP53RK	0.8602308737859818	0.017755844027809168	0.0013718897108271689	0.9999999986054136
DNAJA1	0.858539297802362	0.02467644970699918	0.0014458641560188298	0.9999999995352463
SELENOW	0.8562152653188481	0.008038421990731586	0.0015736381977135172	0.9999999999304175
SYT15	0.8545412901292578	0.0120720299186	0.001714862138533961	0.9999999999914712
ZNF75D	0.8529500220849521	0.013968284586338968	0.0017821116341627439	0.9999999999968581
SUPT16H	0.8519695077928781	0.015754866924740343	0.0018291862811028916	0.9999999999984374
CAMTA1	0.8514401223773471	0.020216641732645327	0.001882985877605918	0.9999999999992968
EXOSC8	0.8469851278815681	0.023226772988407054	0.0021183591123066577	0.9999999999999788
PPP1R14B	0.8435794391879162	0.01744884723332175	0.0022797579018157365	0.9999999999999981
INO80B	0.8429692789813635	0.026534114955407292	0.002299932750504371	0.9999999999999986
RIOK2	0.84258890263292	0.028390947994119536	0.0023133826496301276	0.9999999999999988
FLT3LG	0.8421802340659212	0.010186521932865103	0.0023268325487558845	0.999999999999999
PMS2	0.8414922682414033	0.02124808651850826	0.002340282447881641	0.9999999999999992
