	Score	MoE	P-Value	Q-Value
FHIT	3.632128385570435	0.2969424081328643	6.724949562878279e-05	0.6321329290284459
KRT73	3.378585902324004	0.25968956401060156	0.00014794889038332213	0.8891984815118823
SELL	2.968095664354993	0.3964089585118042	0.00020174848688634834	0.9502079091460129
EFNA1	2.8106965279375524	0.4277008869281534	0.0002555480833893746	0.9776229384302311
KRT1	2.685006297887309	1.2149054314567718	0.00029589778076664425	0.9877161186737875
AK5	2.63692819630163	0.15509898719166798	0.0003026227303295225	0.9888817535495167
SCML1	2.6356621797353155	0.17412209543610294	0.0003093476798924008	0.9899366510611832
PRXL2A	2.57705424804605	0.13732246982096252	0.00032952252858103567	0.9925422421762475
DSC1	2.5234983298316123	0.16201782165086867	0.0003362474781439139	0.9932495787929727
MMP28	2.472054730915803	0.10551493036626848	0.000363147276395427	0.9954730724562558
LRRN3	2.327887747927094	0.39063109015068526	0.0004640215198386012	0.9989891463201225
NET1	2.274508798632354	0.11453549313735333	0.00048419636852723607	0.9992507337921317
SATB1	2.24599584084599	0.18565376855494944	0.0004976462676529926	0.9993862167226911
AIF1	2.241901193404947	0.4886059091296979	0.0004976462676529926	0.9993862167226911
ADTRP	2.2128059936306785	0.22442018701139513	0.0005581708137188971	0.9997501127390764
PECAM1	2.1641303497071394	0.49100474488558815	0.0005850706119704103	0.9998323726878384
GNAI1	2.1617068538773894	0.23514149665845618	0.0005917955615332885	0.999848228338927
GAL3ST4	2.1366292582359163	0.28552366260824874	0.000605245460659045	0.9998756527392136
ACTN1	2.115516282016733	0.17216621264217605	0.0006119704102219234	0.9998874110252867
APBA2	2.1014404945947884	0.1665556798336341	0.0006388702084734365	0.9999244634198324
BEND5	2.078673777450403	0.20536171105578782	0.0006724949562878278	0.9999541396459071
UBE2E2	2.077269501545668	0.37643316776307384	0.0006792199058507061	0.999958472850932
NELL2	2.033462239845563	0.3047662379662099	0.0007061197041022192	0.9999721358252603
PTK2	2.0131801837879135	0.20697563654597195	0.0007128446536650975	0.9999747675223998
RGMB	1.9812286664947834	0.12886828493558006	0.0007868190988567586	0.9999915868467718
USP44	1.9588978862533728	0.19724615385401645	0.0008069939475453934	0.999993760818641
IFNGR2	1.9350392483769348	0.252094626904054	0.0008809683927370545	0.9999979194087726
LDLRAP1	1.9327225198291629	0.24118376551567902	0.0008809683927370545	0.9999979194087726
SNTB1	1.8872395454010216	0.1497284740877918	0.0009952925353059851	0.9999996186270186
PLXDC1	1.8670108596740491	0.2050118908942142	0.001042367182246133	0.9999998103033367
CEACAM4	1.8601544849600375	0.2572535877618933	0.0010692669804976463	0.9999998726608154
SLC16A10	1.8473768218127369	0.221212107406594	0.0011028917283120376	0.9999999226435484
MAN1C1	1.8438339371952082	0.07754047340877822	0.0011230665770006725	0.9999999426117527
DACT1	1.8415158912324805	0.04994341054624977	0.0011297915265635508	0.9999999480088958
C5orf15	1.8412591030507168	0.4066334819564323	0.0011297915265635508	0.9999999480088958
MPP1	1.8129570440151284	0.3088849666995345	0.0011903160726294553	0.9999999787913514
GPR146	1.7961289914767704	0.17913216575946053	0.0012508406186953597	0.9999999913575875
SLC22A23	1.7932492219929896	0.20681956196800785	0.001257565568258238	0.9999999921692606
NCF1	1.7902090111368312	0.36769769836060123	0.0012710154673839947	0.999999993579
RNF157	1.7779666510286205	0.32118276149398883	0.001304640215198386	0.9999999960979034
PLAG1	1.7752040191164138	0.14366295591875713	0.001304640215198386	0.9999999960979034
ANKRD55	1.7614051221870326	0.2147910551018024	0.0013449899125756557	0.9999999978510367
ZNF844	1.756514536624043	0.3023167333911051	0.0013584398117014122	0.9999999982376883
SEPTIN10	1.7344746882978797	0.19438550258285858	0.0014189643577673168	0.9999999992815504
DHX32	1.7265805238105953	0.21946101599753834	0.001472763954270343	0.9999999996763289
TRABD2A	1.7191541341258145	0.10194260130075973	0.001499663752521856	0.9999999997825827
RAB34	1.7180039809149312	0.2720407154860291	0.0015131136516476126	0.9999999998216698
WWC2	1.6868963360199265	0.11518704304867348	0.001667787491593813	0.9999999999820288
RBM11	1.6818445252141454	0.20231029674490894	0.0016745124411566912	0.9999999999837093
ZC4H2	1.675930536084341	0.20226082219248898	0.001687962340282448	0.9999999999866356
ERAL1	1.674360727868085	0.4054857097140409	0.0016946872898453262	0.9999999999878849
IGF1R	1.6736370594002068	0.4156155975232905	0.0017014122394082044	0.9999999999890173
FXYD2	1.6659555036288896	0.2706635251911792	0.0017215870880968392	0.9999999999918456
CEMP1	1.659778455304285	0.36188407906668624	0.0017484868863483524	0.9999999999945205
C1orf162	1.6461130351992739	0.11074562026036543	0.0017753866845998654	0.9999999999963178
PITPNM2	1.6353739491109216	0.19832437778067077	0.0018224613315400134	0.9999999999981658
CA6	1.6269737436951839	0.1781192653093999	0.0018695359784801613	0.9999999999990863
ZSCAN18	1.6249866558358548	0.0753761961880285	0.0018695359784801613	0.9999999999990863
GP5	1.624492407282117	0.07316708598740358	0.0018762609280430396	0.99999999999917
RNF175	1.6155697280307126	0.34194952006168383	0.0018964357767316746	0.9999999999993835
PLEKHB1	1.611589283413931	0.23717482334210757	0.0019166106254203093	0.9999999999995421
SSBP3	1.6059240599856506	0.16829076034002963	0.0019704102219233357	0.9999999999997935
GSTT1	1.5963783760278925	0.09768867602827104	0.0020174848688634837	0.9999999999998971
