	CFS: CD4 (S2,S4,S6) - TA (S1,S3,S5) - Healthy: CD4 (S8) - TA (S7)
HLA-A	-1548.3555821818318
HLA-C	-1122.9378000125344
PABPC1	-1006.6142426000001
SARAF	-570.0895382149731
LTB	-546.9338180000002
ACTB	-404.5639650000003
SELL	-358.759901
UBC	-335.8775770000001
LEF1	-332.2428871229001
PTMA	-329.70125400000006
HLA-E	-326.6697022818089
TXNIP	-294.4585000000001
SH3BGRL3	-258.3000000000002
CD44	-217.5771580012469
CCR7	-214.5944900000003
DAZAP2	-213.21498199999996
LIMD2	-186.77732000000003
LAT	-149.41847700000002
PRKAR1A	-131.54598544855332
WDR1	-131.30991710000004
SPOCK2	-122.09211886799994
SUN2	-118.77543800000012
PFN1	-116.52828999999998
LDLRAP1	-112.64531200000002
CD3D	-110.41658000000001
TCF7	-109.51641340151855
PBXIP1	-107.50705999999998
DDX3X	-103.29828959143481
HMGN2	-103.22997699999998
GAPDH	-102.452947
UCP2	-102.27826899999963
IL7R	-101.79919799999999
MBNL1	-100.51099532703361
SERF2	-100.22406399999988
MIF	-95.83804000000003
ELOB	-94.71664000000001
LITAF	-91.89677099597267
GIMAP4	-91.47124399999994
ACTR3	-91.34437499999996
LEPROTL1	-89.58425500000021
TLE5	-88.72790000000009
IL16	-86.59050019999995
PRKACB	-83.57364612316208
PPP2R5C	-82.98658699999987
IKZF1	-82.97415555058237
ETS1	-81.74252200000012
SEPTIN9	-81.67833605782977
PASK	-80.26913696551208
TAPBP	-79.81538987677357
BTG1	-79.69100000000003
CDC42SE2	-76.57588399999997
ACTN1	-74.95148239999995
S1PR1	-72.73601400000008
PECAM1	-72.37695400000001
CD6	-72.31496499999986
MAT2B	-72.092581
HNRNPM	-69.96163430000001
TPM3	-69.88345000000004
LSM14A	-69.08450116664821
TMED2	-67.973479
TPP1	-67.7940019589253
PPP2CA	-67.78365400000001
FCMR	-67.33252999999996
TRAM1	-66.860565
CALM2	-65.81249310000001
CD5	-64.01537499999999
GMFG	-63.27621999999994
ARHGEF1	-63.166917999999924
MCUB	-62.58697999999998
MBP	-62.092697847295824
TMEM248	-60.852892999999966
RACK1	-60.21105664296965
CD164	-60.145673000000016
ARHGAP45	-59.81016100000005
SERP1	-59.299907000000005
SHISA5	-58.93863288202397
SORL1	-58.74861330000007
TMEM123	-58.588098
CD82	-58.16502299999999
CD55	-57.44145460239994
PPP1R2	-55.887084
TMBIM6	-55.75383359999995
C11orf58	-55.75325299999999
ARL6IP5	-54.51569599999999
GIMAP6	-54.02537000000001
CORO1A	-53.789218999999974
MDH2	-53.060014999999986
YWHAB	-52.77210500000024
PTGER4	-52.05664
UBE2D3	-51.88325629999997
MAPK1IP1L	-51.76548000000001
SRP9	-50.670377504629954
CNOT8	-50.082905641750045
ADD3	-49.98788940999998
SMC4	-49.77156600000002
SEPTIN6	-49.63277799999997
REEP5	-49.623021200000004
SH2D1A	-49.501442421099995
ABLIM1	-49.43208939999991
CTBP1	-48.274429000000026
ARF1	-47.89564160000002
YWHAZ	-47.30226799999974
ADAM10	-46.87336158999999
CD28	-45.752399000000004
HINT1	-45.09679999999999
SF3A1	-44.712170324199995
ACTR2	-44.581569
HLA-F	-44.05660147990852
WIPF1	-43.998692999999975
RFFL	-43.85066199999999
GNB1	-43.83966199999999
SF3B3	-43.087830999999994
R3HDM4	-42.92329000000001
ATP6AP2	-42.48619253597468
