	Score	MoE	P-Value	Q-Value
GOBP_POSTTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE_TRANSLOCATION	0.8925715805418275	0.014274522702180716	9.221264235326664e-05	0.8646771965792414
GOBP_POST_CHAPERONIN_TUBULIN_FOLDING_PATHWAY	0.8910442557671948	0.013090127714185816	0.00018442528470653328	0.9816877391858335
GOMF_PROTEIN_ARGININE_OMEGA_N_ASYMMETRIC_METHYLTRANSFERASE_ACTIVITY	0.8902490366688018	0.014483625970037111	0.00027202729494213657	0.9972612632292919
GOBP_PEPTIDYL_ARGININE_METHYLATION_TO_ASYMMETRICAL_DIMETHYL_ARGININE	0.8902490366688018	0.014483625970037111	0.00027202729494213657	0.9972612632292919
HP_SUDDEN_LOSS_OF_VISUAL_ACUITY	0.8893567111799112	0.014671354919043637	0.00035501867306007655	0.9995471487345108
GOCC_PIP_BODY	0.8860159988839551	0.014622269133560864	0.0005624971183549265	0.9999949726585019
GOBP_N_TERMINAL_PROTEIN_AMINO_ACID_MODIFICATION	0.8761512584952744	0.017559345703789864	0.0008990732629443497	0.9999999966040284
HP_ACUTE_PANCREATITIS	0.8718944543103038	0.012919614768474764	0.0010097284337682697	0.9999999996904527
HP_GENERALIZED_AMINOACIDURIA	0.8708967636470871	0.014583259613964991	0.0010512241228272396	0.999999999873921
HP_ALOPECIA_OF_SCALP	0.8697759416993702	0.010961981221006195	0.0010742772834155562	0.9999999999234577
GOBP_NEGATIVE_REGULATION_OF_ENDOCYTOSIS	0.8646227461613398	0.016600585575622103	0.0013140301535340495	0.9999999999995763
GOMF_INSULIN_RECEPTOR_BINDING	0.8618009766963344	0.023846321913539026	0.0014292959564756328	0.999999999999965
HP_HIGH_ANTERIOR_HAIRLINE	0.8603501299652245	0.0210552575796657	0.0014754022776522662	0.9999999999999871
GOMF_ISOPEPTIDASE_ACTIVITY	0.8598838855152271	0.023048069879380035	0.001489234174005256	0.9999999999999905
GOBP_CARBOHYDRATE_TRANSMEMBRANE_TRANSPORT	0.8585710842565044	0.013219920013462219	0.0015353404951818895	0.9999999999999964
HP_ABNORMALITY_OF_DENTAL_MORPHOLOGY	0.8573456749635099	0.01040774921707282	0.0015906680805938495	0.9999999999999989
GOBP_AXONAL_TRANSPORT_OF_MITOCHONDRION	0.8542589914153478	0.02595787219968258	0.0017981465258886994	1.0
HP_HYPOREFLEXIA_OF_UPPER_LIMBS	0.8525099972228932	0.008441743702882682	0.0018811379040066393	1.0
HP_INCREASED_TOTAL_BILIRUBIN	0.8520316581951592	0.02695224360326126	0.001904191064594956	1.0
GOBP_NUCLEOTIDE_EXCISION_REPAIR_DNA_DUPLEX_UNWINDING	0.8518161348715754	0.014789512964191504	0.0019088016967126194	1.0
HP_ESOPHAGEAL_STENOSIS	0.8508937879103237	0.024947976843914796	0.001931854857300936	1.0
HP_HYPOMIMIC_FACE	0.8501518782150137	0.02235818924355575	0.001973350546359906	1.0
GOBP_CARBOHYDRATE_TRANSPORT	0.8426042092753415	0.024544624553067353	0.002475909447185209	1.0
GOBP_PHOSPHATE_ION_TRANSMEMBRANE_TRANSPORT	0.8424210947024385	0.020993605256034543	0.0024805200793028724	1.0
GOMF_PDZ_DOMAIN_BINDING	0.8415787819609626	0.020632795481902957	0.0025542901931854857	1.0
GOBP_POSITIVE_REGULATION_OF_APOPTOTIC_DNA_FRAGMENTATION	0.8411447228220237	0.01291487379539444	0.0025911752501267924	1.0
GOBP_REGULATION_OF_POLYSACCHARIDE_METABOLIC_PROCESS	0.840483827978407	0.02899308634317591	0.002641892203421089	1.0
GOCC_CLATHRIN_COAT_OF_ENDOCYTIC_VESICLE	0.8384050303650488	0.023349694829137024	0.002821706856009959	1.0
HP_ABNORMALITY_OF_FACIAL_SOFT_TISSUE	0.8383216288216182	0.03140153922118159	0.0028309281202452854	1.0
GOBP_CELLULAR_RESPONSE_TO_MURAMYL_DIPEPTIDE	0.8372993981486612	0.02304558189069823	0.0029046982341278988	1.0
GOBP_ICOSANOID_CATABOLIC_PROCESS	0.8369453085125398	0.03015323864512749	0.002946193923186869	1.0
GOBP_PROTEIN_MATURATION	0.8339954339255478	0.019721511526684218	0.003153672368481719	1.0
GOCC_PROTEIN_KINASE_COMPLEX	0.8307800398600195	0.029173721101456444	0.003374982710129559	1.0
GOMF_MYOSIN_II_BINDING	0.829469179838504	0.030609998017925275	0.003462584720365162	1.0
GOBP_CELL_COMMUNICATION_BY_ELECTRICAL_COUPLING	0.8291339042879127	0.032247970078288356	0.003490248513071142	1.0
GOBP_POSITIVE_REGULATION_OF_MITOCHONDRIAL_MEMBRANE_POTENTIAL	0.8255093292568398	0.013995482731283903	0.003725390751071972	1.0
HP_FOCAL_WHITE_MATTER_LESIONS	0.8245804660634736	0.0377431104347737	0.003799160864954585	1.0
GOMF_AMINO_ACID_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	0.8245235754921251	0.01691695392102512	0.003808382129189912	1.0
GOBP_CYTOPLASMIC_SEQUESTERING_OF_PROTEIN	0.8235323484277297	0.039921033648785555	0.003882152243072525	1.0
GOCC_CLATHRIN_VESICLE_COAT	0.822555168731848	0.032469348295068486	0.003946701092719812	1.0
GOBP_ESTABLISHMENT_OF_MITOCHONDRION_LOCALIZATION	0.8218645999590055	0.02532084950255506	0.004006639310249435	1.0
HP_ABNORMAL_CIRCULATING_DICARBOXYLIC_ACID_CONCENTRATION	0.8168720094404669	0.025183733113835843	0.0044123749366038086	1.0
GOBP_ANION_TRANSMEMBRANE_TRANSPORT	0.8163637318703573	0.03211187837086269	0.004463091889898105	1.0
