	Score	MoE	P-Value	Q-Value
HALLMARK_G2M_CHECKPOINT	0.8547855967068694	0.023465969750095947	0.0017566508368297294	1.0
HALLMARK_WNT_BETA_CATENIN_SIGNALING	0.7068634852171255	0.0514696568191886	0.01673198395500023	1.0
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	0.6067462282572839	0.09257050507556469	0.04122366176402785	1.0
HALLMARK_E2F_TARGETS	0.5909208166443279	0.08247513048233232	0.049375259348056616	1.0
HALLMARK_INFLAMMATORY_RESPONSE	0.4841044864974833	0.08963220376430069	0.09135967541149892	1.0
HALLMARK_APICAL_SURFACE	0.47650424383085593	0.08742057067881309	0.09443035640186269	1.0
HALLMARK_GLYCOLYSIS	0.4237247142408083	0.08873960031711521	0.11918484024159712	1.0
HALLMARK_UV_RESPONSE_DN	0.38054752914247686	0.04986621338964071	0.14275900225920973	1.0
HALLMARK_TGF_BETA_SIGNALING	0.37319432308996564	0.15479550222545832	0.14742035133016737	1.0
HALLMARK_ESTROGEN_RESPONSE_EARLY	0.3531854994870262	0.163382706139277	0.16051915717644888	1.0
HALLMARK_MTORC1_SIGNALING	0.3188790670783483	0.08996286627286908	0.18555950020747844	1.0
HALLMARK_DNA_REPAIR	0.3057480343721054	0.10964612237505479	0.19602102448245654	1.0
HALLMARK_APICAL_JUNCTION	0.27098846126124787	0.08762553068479208	0.2260131864078565	1.0
HALLMARK_HYPOXIA	0.25309040081814943	0.17225972579352214	0.24372723500391905	1.0
HALLMARK_PI3K_AKT_MTOR_SIGNALING	0.25284529226457797	0.10603994530104231	0.2439577666098022	1.0
HALLMARK_IL2_STAT5_SIGNALING	0.25277139887068717	0.2083161785901644	0.24401309419521416	1.0
HALLMARK_MYC_TARGETS_V1	0.20415249055191775	0.1322030973249376	0.3	1.0
HALLMARK_MYC_TARGETS_V2	0.19619730209572844	0.2381211464066595	0.30988980589238785	1.0
HALLMARK_ALLOGRAFT_REJECTION	0.16509543294465326	0.10178363205108698	0.352547374245009	1.0
HALLMARK_PROTEIN_SECRETION	0.15874141967856542	0.17043146108574558	0.36204988703951313	1.0
HALLMARK_INTERFERON_ALPHA_RESPONSE	0.14552835262975322	0.1376583390091745	0.38339250311217665	1.0
HALLMARK_INTERFERON_GAMMA_RESPONSE	0.13476670853159764	0.1330437852293974	0.40266494536400943	1.0
HALLMARK_MITOTIC_SPINDLE	0.13435963895266453	0.13938490044644364	0.4033242657568353	1.0
HALLMARK_FATTY_ACID_METABOLISM	0.1269518466706521	0.26394004579061464	0.4165890543593527	1.0
HALLMARK_ADIPOGENESIS	0.12517993797530524	0.10841247711435743	0.41982110747383466	1.0
HALLMARK_APOPTOSIS	0.1157573985892606	0.13589111885843225	0.43407257134953203	1.0
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	0.10342072480622473	0.1455459195659227	0.45015445617594174	1.0
HALLMARK_XENOBIOTIC_METABOLISM	0.08064471075513305	0.15865173442323227	0.47564203052238463	1.0
HALLMARK_ESTROGEN_RESPONSE_LATE	0.04877430278947698	0.17385900257229991	0.49866291668587764	1.0
HALLMARK_PEROXISOME	0.03980753561707805	0.17653450960764952	0.4938448061229195	1.0
HALLMARK_MYOGENESIS	-0.042994622038290235	0.13008797328056534	0.47912305777122044	1.0
HALLMARK_BILE_ACID_METABOLISM	-0.06681583611151083	0.16019966959153575	0.4656369588270552	1.0
HALLMARK_KRAS_SIGNALING_UP	-0.10000861257902019	0.10517524809895856	0.4374060583706026	1.0
HALLMARK_COMPLEMENT	-0.14722359378572603	0.1840648065562309	0.37178293143990043	1.0
HALLMARK_HEME_METABOLISM	-0.15151805885793346	0.1778200259421451	0.36459956660058096	1.0
HALLMARK_ANDROGEN_RESPONSE	-0.18140582297802446	0.18720758220878628	0.31784775692747474	1.0
HALLMARK_P53_PATHWAY	-0.18923126772694362	0.18326271654353418	0.30718336483931946	1.0
HALLMARK_CHOLESTEROL_HOMEOSTASIS	-0.19936206949850682	0.15577530130171915	0.2937756466411545	1.0
HALLMARK_IL6_JAK_STAT3_SIGNALING	-0.2031259841738899	0.07733064311792422	0.2890220849278436	1.0
HALLMARK_NOTCH_SIGNALING	-0.2251648276406762	0.1572898911202769	0.2646272303932869	1.0
HALLMARK_UV_RESPONSE_UP	-0.25787397532910195	0.188435419375358	0.2337590483655309	1.0
HALLMARK_TNFA_SIGNALING_VIA_NFKB	-0.2880863424344602	0.17611965823724451	0.20941491078426852	1.0
