	Score	MoE	P-Value	Q-Value
IPA_ZBTB20_UP	0.8719825983870525	0.019830909126606795	0.0010097284337682697	0.9999999996904527
IPA_XRCC6_UP	0.8320778990409232	0.017559160702055043	0.003268938171423302	1.0
IPA_GABPB1_UP	0.7979642281369927	0.030355588033674955	0.005975379224491678	1.0
IPA_HSF1_UP	0.7471759199647455	0.031567171448213374	0.010881091797685464	1.0
IPA_RBL2_UP	0.7407208688374507	0.06940169239493564	0.011706394946747198	1.0
IPA_YBX1_UP	0.7352746491718731	0.06448996909006134	0.012425653557102678	1.0
IPA_SP7_DN	0.724342869013199	0.07646133706056642	0.013937940891696251	1.0
IPA_NCOA1_DN	0.6797020450068563	0.04982394610159099	0.021471713771958136	1.0
IPA_ATF3_DN	0.6626861198132336	0.052837920377051754	0.024736041311263775	1.0
IPA_TP73_UP	0.6440589323677934	0.060311406056494175	0.029111531190926274	1.0
IPA_HMGB1_UP	0.6092721596654049	0.09844363696663443	0.04003411867767071	1.0
IPA_IRF5_UP	0.6086907279296467	0.09426368401001796	0.04033380976531883	1.0
IPA_POU2F2_DN	0.5932209676021735	0.11497055721451406	0.04813499930840518	1.0
IPA_E2F2_UP	0.5913989532974705	0.09655688748337227	0.049112453317349807	1.0
IPA_CTCF_UP	0.5905477232967586	0.08376509626359636	0.04948591451888054	1.0
IPA_PSAP_UP	0.5900254610078401	0.06872647087876221	0.04969339296417539	1.0
IPA_HDAC1_UP	0.5841844663351454	0.10416202854754335	0.05261653372677394	1.0
IPA_HSF1_DN	0.5841387123219601	0.06968857948251328	0.05264880815159759	1.0
IPA_ETV5_DN	0.5833771781017216	0.11834496142894445	0.05301765872101065	1.0
IPA_PCGF2_UP	0.5769557090711164	0.19642561087630941	0.05586702936972659	1.0
IPA_AHRR_UP	0.5674594189954613	0.25309423465746267	0.05996127069021163	1.0
IPA_EOMES_DN	0.5562073312504722	0.20104752762913802	0.06429526488081516	1.0
IPA_PGR_UP	0.5277795865375917	0.09230969081023156	0.07413896445202638	1.0
IPA_MMP3_UP	0.527208517970282	0.1186815490644675	0.07436488542579188	1.0
IPA_PGR_DN	0.522685822851764	0.08586988666359792	0.07583106643920881	1.0
IPA_SATB1_DN	0.5144611619810298	0.11747779009877733	0.07881875605145465	1.0
IPA_SMARCB1_DN	0.5094461375122957	0.10564433031741903	0.08101802757158007	1.0
IPA_ATF6_DN	0.489815597997921	0.09386295024289598	0.08914196136290285	1.0
IPA_CREB3L1_UP	0.4284197852277519	0.15247675797864663	0.11669509889805893	1.0
IPA_STAT1_DN	0.404037614652934	0.10079992079961314	0.1294619392318687	1.0
IPA_STAT2_UP	0.39681219192523304	0.11512972229683406	0.13353773802388308	1.0
IPA_E2F4_UP	0.3960271597052778	0.1633995949807882	0.13396652681082577	1.0
IPA_ARID1A_DN	0.3883783122179295	0.08712536220847154	0.1381622020378994	1.0
IPA_SKP2_UP	0.3847693860886397	0.09670250093580063	0.14022776522661257	1.0
IPA_RBL1_DN	0.38269303029870766	0.12985232571593353	0.14147263589838166	1.0
IPA_HIST1H1A_UP	0.3683604348932733	0.11044459862627183	0.1503342708285306	1.0
IPA_EHF_UP	0.3567418340643764	0.09915529240317243	0.15810318594679332	1.0
IPA_FIGLA_UP	0.3530898260965148	0.05705576108735085	0.16057448476186084	1.0
IPA_NFKBIA_DN	0.3506933802839973	0.13537223538158097	0.16214209968186638	1.0
IPA_NFATC1_DN	0.34786099224741657	0.10087250478842519	0.16402323758587303	1.0
IPA_MYBL2_UP	0.3465034570971076	0.08706628131764754	0.16489003642399372	1.0
IPA_NFATC2_UP	0.3418506893309575	0.12492579210619682	0.16837106367282956	1.0
IPA_JUND_DN	0.34163843119548476	0.09340750540578564	0.16851860390059478	1.0
IPA_RFXANK_UP	0.33876516882000446	0.16584439434562134	0.1705657245608373	1.0
IPA_STAT5B_DN	0.33441205168130805	0.14479801341470286	0.17357646733367144	1.0
IPA_DAXX_UP	0.3292562005495802	0.15733127211465098	0.17777214256074508	1.0
IPA_YWHAE_UP	0.3278881920611679	0.08179101709635796	0.178814145419337	1.0
IPA_SATB1_UP	0.326937337547625	0.11421915003271267	0.1795426252939278	1.0
IPA_JUP_DN	0.3260398355602862	0.16715819606549687	0.180183503158283	1.0
IPA_DNMT1_DN	0.32515413944519045	0.09884358267706574	0.18084282355110887	1.0
IPA_MNT_DN	0.32235757364613754	0.059120483285432436	0.18296371432523398	1.0
IPA_PPARGC1A_DN	0.31001874613157904	0.10870090687608353	0.19249850154456177	1.0
IPA_PDX1_DN	0.29531766216714084	0.1099694284770462	0.20478122550601688	1.0
IPA_IFI16_DN	0.289981014603649	0.1917018369132988	0.20950712342662178	1.0
IPA_REL_UP	0.28945213664226754	0.08739536915998732	0.2099589653741528	1.0
IPA_LEF1_DN	0.2864470409927572	0.18176669584957303	0.21266540642722118	1.0
IPA_TCF7_UP	0.2779446752315695	0.1494573332347057	0.2202452856286597	1.0
IPA_STAT6_DN	0.26989065448339705	0.09207059849119176	0.22699064041680114	1.0
IPA_PRDM1_UP	0.2605880313692151	0.16340703877926332	0.23616579833095117	1.0
IPA_NCL_UP	0.259662670304097	0.17286179149054734	0.23710175665083683	1.0
IPA_NFIX_DN	0.2565881549716403	0.19408907697989705	0.24010788879155331	1.0
IPA_RARB_DN	0.24824617558613288	0.18110262395763813	0.2485730093595832	1.0
IPA_KLF13_UP	0.24455732722279816	0.17092923865900564	0.25274102079395083	1.0
IPA_STAT5A_UP	0.24342594282615682	0.16190756526152622	0.25395822767301396	1.0
IPA_PCGF2_DN	0.24223501260648447	0.16669733183255922	0.2552630365623127	1.0
IPA_MYOCD_DN	0.23764461395857756	0.18538404721947377	0.260367006316566	1.0
IPA_ATF6_UP	0.23454171587515785	0.12744934366386682	0.26391719304716676	1.0
IPA_TFDP1_UP	0.23140291445287706	0.18999307679874525	0.2677670708654156	1.0
IPA_HDAC6_DN	0.22067926157191703	0.16863224319974954	0.2796348379362811	1.0
IPA_STAT5A_DN	0.20739673247769272	0.0758777076669259	0.29617317534233945	1.0
IPA_NFATC1_UP	0.20332608825170767	0.12324635810569455	0.30098667527317996	1.0
IPA_XBP1_UP	0.1981597882942364	0.10606562937285828	0.30751533035179124	1.0
IPA_HDAC2_UP	0.17778665858310852	0.200521839716452	0.33471344921388724	1.0
IPA_RARG_DN	0.16804323522149336	0.16206888305973527	0.3485545668311125	1.0
IPA_NR1H2_DN	0.16559851547572646	0.12975591452402	0.35188805385218314	1.0
IPA_HOXA1_UP	0.16213869065412073	0.15667199744161373	0.357093457513025	1.0
IPA_RAD21_UP	0.1546457256123944	0.13234147193677157	0.3686015952787127	1.0
IPA_SOX5_UP	0.15192695986672708	0.21698418240900927	0.3728111024021393	1.0
IPA_SKI_DN	0.14921257009726605	0.14742285713554018	0.37731568998109644	1.0
IPA_MYCN_DN	0.1422327308600448	0.13436288012113096	0.3888238277467841	1.0
IPA_SULT2A1_UP	0.1413403891161987	0.18946896393861057	0.39042832772373093	1.0
IPA_NFE2L2_UP	0.1401425208571704	0.11744155248077091	0.3926690949329153	1.0
IPA_NR1I2_UP	0.1347052709453484	0.16280357876991222	0.40272949421365667	1.0
IPA_ILF3_UP	0.12952140968919387	0.1689443131432643	0.41224583890451383	1.0
IPA_MAX_DN	0.1217642319067255	0.10391109092714484	0.4250772280879709	1.0
IPA_SOX10_DN	0.12101492477749452	0.1475340645081851	0.42618839042832773	1.0
IPA_FLI1_UP	0.11577175899476608	0.11792338233535994	0.4340356862925907	1.0
IPA_GLI1_DN	0.11486402725030234	0.1283145341701372	0.43535432707824245	1.0
IPA_TFAM_DN	0.10749799893527742	0.1985322137989495	0.4450228226289824	1.0
IPA_EP400_UP	0.10593975311820333	0.16761736185354473	0.4470883858176956	1.0
IPA_MECOM_UP	0.10114961254051114	0.17608510531408947	0.45287933975748074	1.0
IPA_MLXIPL_DN	0.09159483363182552	0.14310571897686883	0.4641385033888146	1.0
IPA_KLF5_DN	0.08925315022029674	0.12572932819304714	0.4666651297892941	1.0
IPA_TBX21_UP	0.08651113126652787	0.0965571329389371	0.4695882705518927	1.0
IPA_MYRF_UP	0.08601113424049363	0.1722157435388821	0.4699847849140117	1.0
IPA_HIST1H1A_DN	0.07795700776990107	0.09459994368376128	0.4780349485914519	1.0
IPA_BRCA1_UP	0.06820505000748349	0.151449039083553	0.4868735303610125	1.0
IPA_HDAC5_UP	0.06341532935392427	0.13280541597673873	0.49092627599243854	1.0
IPA_NCOA3_UP	0.0567773188988564	0.11916828115167781	0.4959011480473973	1.0
IPA_TRIM24_DN	0.044061135703899655	0.1367424174463933	0.4959149799437503	1.0
IPA_MAPK8IP1_UP	0.03849790471036471	0.19518023450842006	0.49322698141915255	1.0
IPA_IRF1_UP	0.019451277443754418	0.1130679588593317	0.4876896122458389	1.0
IPA_NKX3-1_UP	0.005025567528502243	0.14170934209739225	0.4868596984646595	1.0
IPA_PML_DN	-0.018545670353227003	0.12265367997278988	0.48614043985430405	1.0
IPA_PAX5_UP	-0.04073421915057035	0.1557337647996296	0.4801189543086357	1.0
IPA_FOXO4_UP	-0.044892620504864554	0.12643117677224022	0.47823320577251144	1.0
IPA_STAT4_DN	-0.05631525724528595	0.17861687037742494	0.4724699156254322	1.0
IPA_SP3_DN	-0.07022045811084829	0.19461742375612445	0.4632855364470469	1.0
IPA_KDM5B_UP	-0.07794998021714396	0.18048105428376257	0.45726405090137856	1.0
IPA_PARP1_UP	-0.0864176251070655	0.17821973341027575	0.4502236156577067	1.0
IPA_NFKB2_UP	-0.09169290296314445	0.08294638625514834	0.44529946055604225	1.0
IPA_NRL_UP	-0.09405995301480916	0.12660839397874193	0.4431324634607405	1.0
IPA_IRF8_UP	-0.09775301421812795	0.12556385699137804	0.43955000230531605	1.0
IPA_SMARCA4_DN	-0.10443190149296719	0.22386536057307493	0.43291530268799855	1.0
IPA_PML_UP	-0.10487147565707512	0.14684655685003833	0.4324404075798792	1.0
IPA_SPDEF_DN	-0.10601135262487923	0.13674213629822699	0.43131541334316936	1.0
IPA_RELB_UP	-0.10899129990536982	0.10039916134682568	0.42824934298492323	1.0
IPA_SREBF2_DN	-0.11401792520640333	0.1759106851135468	0.4228226289824335	1.0
IPA_SIRT2_UP	-0.1173404000371153	0.18015457259556442	0.41896814053206693	1.0
IPA_PRKCD_UP	-0.11757500639959	0.09502216648228647	0.4187099451334778	1.0
IPA_SREBF1_UP	-0.1181952242704969	0.13226731740264308	0.41796302273041636	1.0
IPA_RBL2_DN	-0.12127397230232473	0.15937457048503204	0.4140209322698142	1.0
IPA_HDAC3_UP	-0.12170076381071482	0.12240606499296236	0.41352298400110654	1.0
IPA_POU5F1_DN	-0.13029946585600366	0.14759469128924238	0.400876020102356	1.0
IPA_KDM1A_DN	-0.13189375560222602	0.12464236667629697	0.39846465950481813	1.0
IPA_TFAM_UP	-0.13205022248690515	0.1905105300457696	0.3982341278989349	1.0
IPA_GTF2I_UP	-0.13827454548517182	0.14211163097535584	0.38693807921065976	1.0
IPA_CDX1_UP	-0.13837580010793996	0.20342335965835504	0.38676748582230625	1.0
IPA_DDIT3_UP	-0.14333682385470448	0.19611800877248423	0.3783300290469823	1.0
IPA_ELF4_UP	-0.14728947501228679	0.16110069001527788	0.37166305500484115	1.0
IPA_FOSB_DN	-0.15313115255761467	0.13377036380704052	0.36201761261468945	1.0
