	Score	MoE	P-Value	Q-Value
VEGF_A_UP.V1_UP	0.838851544113986	0.02679714446295549	0.002784821799068652	1.0
RAF_UP.V1_UP	0.6566019610110267	0.049901355079658226	0.026110009682327448	1.0
RB_P130_DN.V1_UP	0.6509789643557139	0.06438974083999952	0.02735949098621421	1.0
CAHOY_OLIGODENDROCUTIC	0.6224307446330881	0.07973845956836592	0.035045414726358984	1.0
DCA_UP.V1_DN	0.6097592929707558	0.0798239051632011	0.039858914657199505	1.0
SNF5_DN.V1_UP	0.5829550842102981	0.07253330293910591	0.05322052653418784	1.0
RB_P107_DN.V1_UP	0.5762253836578684	0.1012938172181161	0.05618516298584536	1.0
TBK1.DF_UP	0.5629871425165512	0.042535098201292754	0.06164876204527641	1.0
HOXA9_DN.V1_DN	0.5503689519544739	0.15330168514636153	0.06635621743741067	1.0
SIRNA_EIF4GI_DN	0.521680521930703	0.11161875369186654	0.0762091382728572	1.0
RB_P107_DN.V1_DN	0.4934504734709417	0.07499239680835063	0.08763428466042694	1.0
GCNP_SHH_UP_EARLY.V1_UP	0.4884392075925593	0.06281301030751411	0.08969523721702245	1.0
P53_DN.V1_DN	0.4863324511570082	0.1379437123436074	0.09051131910184887	1.0
GCNP_SHH_UP_LATE.V1_UP	0.44925673516525044	0.10904000343355753	0.1065378763428466	1.0
E2F1_UP.V1_DN	0.43004279533136225	0.0900650837067211	0.11600811471252709	1.0
PTEN_DN.V2_DN	0.41585976503407823	0.09950106885886745	0.12319147955184656	1.0
PDGF_ERK_DN.V1_UP	0.3892539647667915	0.06112210595868361	0.1376965281940154	1.0
GCNP_SHH_UP_LATE.V1_DN	0.37706875366350234	0.17257201269255637	0.14484300797639357	1.0
RB_DN.V1_DN	0.3761390518718624	0.09555697043340351	0.1454193369911015	1.0
BCAT_BILD_ET_AL_UP	0.3600447749592157	0.11883318420472672	0.15591313569090323	1.0
GCNP_SHH_UP_EARLY.V1_DN	0.3584136944391781	0.1474537232425528	0.1569228641246715	1.0
AKT_UP.V1_UP	0.3480228370242463	0.12032762826944343	0.16392180367928444	1.0
