	Score	MoE	P-Value	Q-Value
GAO_STOMACH_24W_C1_PROCRPOS_MULTIPOTENT_PROGENITOR	0.7485415729805561	0.10043112181646414	0.03596754114989165	1.0
LAKE_ADULT_KIDNEY_C28_INTERSTITIUM	0.7100057709520877	0.07411855475060793	0.04730047489510812	1.0
LAKE_ADULT_KIDNEY_C21_COLLECTING_DUCT_INTERCALATED_CELLS_TYPE_B	0.6535616650828265	0.24561241284153493	0.06772557517635668	1.0
HAY_BONE_MARROW_CD34_POS_ERP	0.637913999189588	0.0910046424849084	0.07388076905343723	1.0
DESCARTES_FETAL_INTESTINE_ERYTHROBLASTS	0.6212250845194373	0.1380629142976739	0.08043247729263682	1.0
TRAVAGLINI_LUNG_MYELOID_DENDRITIC_TYPE_1_CELL	0.609278039837606	0.15067790963697267	0.08564249158559639	1.0
LAKE_ADULT_KIDNEY_C2_PODOCYTES	0.6068536356616504	0.0662543949394117	0.08649545852736411	1.0
FAN_EMBRYONIC_CTX_MICROGLIA_2	0.6013010893230798	0.10353213215419631	0.08901747429572594	1.0
TRAVAGLINI_LUNG_NONCLASSICAL_MONOCYTE_CELL	0.5832982472501871	0.3744251241383712	0.09747798423163816	1.0
TRAVAGLINI_LUNG_PLASMACYTOID_DENDRITIC_CELL	0.5793552564514457	0.2554128486178925	0.09916547558670294	1.0
GAO_LARGE_INTESTINE_24W_C8_GOBLET_CELL	0.5750213768752489	0.08914871720173438	0.10128636636082806	1.0
DESCARTES_FETAL_MUSCLE_MYELOID_CELLS	0.5432892885290942	0.3971095771523807	0.11719765779888423	1.0
TRAVAGLINI_LUNG_MUCOUS_CELL	0.5391695119479996	0.13459296942587737	0.11957213333948084	1.0
ZHONG_PFC_C3_ASTROCYTE	0.4467553418806463	0.19712953673010122	0.1771543178569782	1.0
DESCARTES_FETAL_STOMACH_ERYTHROBLASTS	0.4436979775892359	0.20983988173667692	0.17961178477569276	1.0
DESCARTES_MAIN_FETAL_ERYTHROBLASTS	0.4232936917462014	0.2193255165065592	0.19767163078058	1.0
GAO_LARGE_INTESTINE_ADULT_CH_MKI67HIGH_CELLS	0.41887719517065714	0.20162669551374315	0.20178892526165337	1.0
MANNO_MIDBRAIN_NEUROTYPES_HGABA	0.3979166990513091	0.20606000828640883	0.22183595370925355	1.0
LAKE_ADULT_KIDNEY_C1_EPITHELIAL_CELLS_UNASSIGNED	0.38507535686858985	0.23917312083709044	0.23504080409424133	1.0
LAKE_ADULT_KIDNEY_C25_ENDOTHELIAL_CELLS_UNASSIGNED	0.3793738613912734	0.412580837085949	0.2410669002720273	1.0
GAO_LARGE_INTESTINE_24W_C1_DCLK1POS_PROGENITOR	0.3621080995734357	0.13056754688867656	0.25921895891926783	1.0
MANNO_MIDBRAIN_NEUROTYPES_HRGL2C	0.3382001774800062	0.2823685419118908	0.28392733643782564	1.0
GAO_ESOPHAGUS_25W_C3_FGFR1LOW_EPITHELIAL_CELLS	0.3343747386949537	0.31308391699349164	0.28790170132325144	1.0
ZHONG_PFC_C2_UNKNOWN_NPC	0.32965680339593456	0.3840686890449834	0.29302872423809306	1.0
TRAVAGLINI_LUNG_GOBLET_CELL	0.31249010920537584	0.2594353239702209	0.31085803863709716	1.0
