	Score	MoE	P-Value	Q-Value
GOBP_OSSIFICATION_INVOLVED_IN_BONE_REMODELING	0.926156358492223	0.0008376861171362338	7.377011388261331e-05	0.7981153973832229
VERNELL_RETINOBLASTOMA_PATHWAY_UP	0.9246848399413393	0.001599146714237003	0.00021208907741251324	0.9899509357904535
GOMF_ARACHIDONATE_COA_LIGASE_ACTIVITY	0.9214028259867897	0.001366131188092282	0.0005671077504725897	0.999995458959988
MODULE_305	0.9210740398855772	0.0012668060173298193	0.0006178247037668865	0.9999984883171906
LEE_METASTASIS_AND_ALTERNATIVE_SPLICING_UP	0.920999517685529	0.0010832911001653488	0.0006316566001198764	0.9999988795736169
MIR4441	0.9209727420380883	0.0027384186313942505	0.0006316566001198764	0.9999988795736169
IPA_RELB_UP	0.9203949681071951	0.002596114767974857	0.0006731522891788464	0.9999995440469277
HP_METHYLMALONIC_ACIDURIA	0.919830145825329	0.0008315303748060058	0.0007653649315321131	0.9999999383008799
GOBP_DOLICHOL_METABOLIC_PROCESS	0.9190021154004974	0.003299870975027285	0.0008575775738853796	0.9999999916509366
MIR188_3P	0.91870414473683	0.0018217039670591075	0.000889851998709023	0.9999999958517527
HP_ABNORMAL_LIVER_PARENCHYMA_MORPHOLOGY	0.9184697662333898	0.0021653881941113237	0.0009221264235326663	0.9999999979388493
GOMF_CYTOSKELETAL_ANCHOR_ACTIVITY	0.9161641692176931	0.002030183173904248	0.0012955876250633962	0.9999999999993768
BANDRES_RESPONSE_TO_CARMUSTIN_WITHOUT_MGMT_24HR_DN	0.9160812274067329	0.0028777883776578586	0.0013140301535340495	0.9999999999995819
MIR3929	0.9142949633358748	0.003323644136340263	0.0016183318732998293	0.9999999999999994
GOBP_GLYCOPROTEIN_BIOSYNTHETIC_PROCESS	0.9139466801364893	0.005285455331007528	0.0016644381944764628	0.9999999999999998
WP_IL10_ANTIINFLAMMATORY_SIGNALING_PATHWAY	0.9135909743968819	0.002845741597715771	0.0017059338835354327	0.9999999999999999
GOBP_CHANGES_TO_DNA_METHYLATION_INVOLVED_IN_EMBRYO_DEVELOPMENT	0.9108567771414371	0.003047999470542276	0.0022407672091843793	1.0
HP_ABNORMAL_PUPILLARY_LIGHT_REFLEX	0.9103988814247692	0.0017858330287081113	0.0023329798515376457	1.0
JOHANSSON_BRAIN_CANCER_EARLY_VS_LATE_UP	0.9100469484850349	0.0051809129413789975	0.002360643644243626	1.0
GOMF_OXIDOREDUCTASE_ACTIVITY_ACTING_ON_THE_CH_NH_GROUP_OF_DONORS	0.9088887672740603	0.001433567468820428	0.0025542901931854857	1.0
MATTIOLI_MGUS_VS_MULTIPLE_MYELOMA	0.9039911592403633	0.009249526274818022	0.0032597169071879755	1.0
GOBP_PROTEIN_O_LINKED_GLYCOSYLATION	0.9019272343538037	0.005343186726513886	0.0035640186269537554	1.0
HP_Y_SHAPED_METACARPALS	0.9017809882490972	0.008879926561181415	0.0035962930517773987	1.0
GOBP_EXTRACELLULAR_MATRIX_ASSEMBLY	0.9010955097254567	0.011555875456900238	0.003711558854718982	1.0
LEE_INTRATHYMIC_T_PROGENITOR	0.900800500398226	0.005580315786571719	0.0037207801189543086	1.0
GOBP_PROTEIN_O_LINKED_FUCOSYLATION	0.9006548648313399	0.0062175873749129446	0.0037438332795426254	1.0
GOBP_PROTEIN_POLY_ADP_RIBOSYLATION	0.9000669014070163	0.006178537556085419	0.0038452671861312184	1.0
DOANE_RESPONSE_TO_ANDROGEN_UP	0.8996733369064192	0.00574113140196384	0.003937479828484485	1.0
MODULE_495	0.8978470019709268	0.012986361716922938	0.004200285859191295	1.0
GOMF_DICARBOXYLIC_ACID_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	0.8957664126393861	0.015350380104982103	0.004587578957075015	1.0
ELVIDGE_HIF1A_TARGETS_UP	0.8955859007503848	0.004087865976127669	0.004638295910369312	1.0
GOCC_PRERIBOSOME_SMALL_SUBUNIT_PRECURSOR	0.8950527507868813	0.010465188262627143	0.004712066024251925	1.0
OVSYANNIKOVA_PBMC_FLUARIX_AGE_50_74YO_COMMON_WITH_BOTH_HAI_AND_VNA_28DY_VS_0DY_USED_IN_HAI_AND_VNA_RESPONSE_MODELS_DN	0.8948005720421066	0.01189015908713806	0.004730508552722578	1.0
HP_MASTOIDITIS	0.8934010241946363	0.008904945875087326	0.004961040158605745	1.0
GOMF_RNA_DEPENDENT_ATPASE_ACTIVITY	0.8920353028875538	0.008838658345665057	0.005260731246253861	1.0
GOBP_REGULATION_OF_DNA_DEPENDENT_DNA_REPLICATION	0.8909434418492016	0.014134553644617819	0.005555811701784315	1.0
MIR100_5P_MIR99A_5P_MIR99B_5P	0.8887187330814154	0.010785867713114223	0.0059984323850799945	1.0
GOBP_PROLINE_METABOLIC_PROCESS	0.8886656056521525	0.02702714131996863	0.006021485545668311	1.0
GOMF_SERINE_TYPE_EXOPEPTIDASE_ACTIVITY	0.8886650687746916	0.026942411511027973	0.006021485545668311	1.0
REACTOME_METABOLISM_OF_FOLATE_AND_PTERINES	0.8874661959497527	0.007214751287937151	0.006201300198257181	1.0
GOMF_CALMODULIN_DEPENDENT_PROTEIN_PHOSPHATASE_ACTIVITY	0.8864208764409118	0.015429640184100335	0.0063903361150813775	1.0
MODULE_403	0.8852351153069056	0.019491063330704658	0.006547097607081931	1.0
HP_EXTERNAL_EAR_MALFORMATION	0.8852249235514492	0.023446764487982084	0.006547097607081931	1.0
HP_ANHIDROSIS	0.8844432837895951	0.021632200209748712	0.006666974042141178	1.0
HP_DIMPLE_CHIN	0.884186158042343	0.028122002507562856	0.0067315228917884645	1.0
GOMF_OXIDOREDUCTASE_ACTIVITY_ACTING_ON_THE_CH_NH_GROUP_OF_DONORS_NAD_OR_NADP_AS_ACCEPTOR	0.883549471697165	0.011933541639216073	0.006856009958965374	1.0
GOBP_ASPARAGINE_METABOLIC_PROCESS	0.8794393080214892	0.016679220107356885	0.007575268569320854	1.0
PID_BARD1_PATHWAY	0.8786685605408558	0.022000416391735906	0.00773664069343907	1.0
GOBP_POSITIVE_REGULATION_OF_ACTIN_FILAMENT_BUNDLE_ASSEMBLY	0.8777387319203807	0.027001133919690754	0.007865738392733643	1.0
REACTOME_TRANSPORT_OF_VITAMINS_NUCLEOSIDES_AND_RELATED_MOLECULES	0.8764990748958319	0.029938849559244845	0.00809626999861681	1.0
GOBP_POSITIVE_REGULATION_OF_ENDOPLASMIC_RETICULUM_STRESS_INDUCED_INTRINSIC_APOPTOTIC_SIGNALING_PATHWAY	0.875452561039133	0.018672854680574846	0.00830374844391166	1.0
MIR4444	0.8752480668914929	0.004303012437475956	0.008363686661441284	1.0
HP_INCREASED_SERINE_FAMILY_AMINO_ACID_IN_URINE	0.8745384548519306	0.003929614060129642	0.008483563096500531	1.0
GOBP_GLYCOSYLATION	0.8744069390772341	0.013448512934174643	0.008515837521324173	1.0
HP_FASTING_HYPERINSULINEMIA	0.8739367264241171	0.01653921859418656	0.008626492692148094	1.0
GOMF_NUCLEOSIDE_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	0.870877072852035	0.024001028416470685	0.009193600442620683	1.0
GSE11961_MEMORY_BCELL_DAY40_VS_GERMINAL_CENTER_BCELL_DAY40_UP	0.8705194981131223	0.018416797396163902	0.009290423717091613	1.0
GOBP_NUCLEOSIDE_TRANSMEMBRANE_TRANSPORT	0.8696316054649469	0.02825026703981739	0.009461017105445156	1.0
KEGG_PROPANOATE_METABOLISM	0.8690155607793842	0.03149793714304418	0.00953478721932777	1.0
REACTOME_HDR_THROUGH_MMEJ_ALT_NHEJ	0.8678374087094641	0.02910977584323451	0.009705380607681313	1.0
MIR6886_3P	0.8675389864512812	0.028220949764768757	0.00975609756097561	1.0
GOMF_ACID_THIOL_LIGASE_ACTIVITY	0.8656007338312445	0.028202010030828797	0.010097284337682696	1.0
GOCC_ELASTIC_FIBER	0.8650830364612359	0.02266451782108241	0.010207939508506616	1.0
REACTOME_TERMINATION_OF_O_GLYCAN_BIOSYNTHESIS	0.8631569179768742	0.029457112488662344	0.0104615242749781	1.0
GOMF_PDZ_DOMAIN_BINDING	0.8627774775186006	0.03470299334137901	0.010558347549449029	1.0
HP_MEDIAL_FLARING_OF_THE_EYEBROW	0.8626682720191774	0.027178078401513078	0.010599843238508	1.0
GOBP_PEPTIDYL_LYSINE_HYDROXYLATION	0.862563961514399	0.01517444912922128	0.010650560191802296	1.0
GOBP_REGULATION_OF_HISTONE_H4_K16_ACETYLATION	0.8625261952165841	0.010249944467545903	0.010659781456037623	1.0
HP_OLIVOPONTOCEREBELLAR_ATROPHY	0.8619159228876899	0.03324983513714327	0.010798100419567523	1.0
ODONNELL_TARGETS_OF_MYC_AND_TFRC_DN	0.8601876773145699	0.02793765749902771	0.01122227857439255	1.0
GSE11961_FOLLICULAR_BCELL_VS_MEMORY_BCELL_DAY40_UP	0.8601540925796565	0.035928526932196884	0.011231499838627876	1.0
HP_SCLERAL_STAPHYLOMA	0.8588240241550948	0.044119305962609434	0.0115680759832173	1.0
GOBP_BASEMENT_MEMBRANE_ORGANIZATION	0.8587568207684482	0.021612684868457212	0.011591129143805615	1.0
MIR4259	0.8574957479027561	0.02426929281198091	0.011881598967218406	1.0
ZHU_SKIL_TARGETS_DN	0.8559163860740893	0.03302304815009378	0.012218175111807828	1.0
MIR3160_3P	0.8546640053786442	0.048141041927878984	0.01248098114251464	1.0
GOBP_ARACHIDONIC_ACID_METABOLIC_PROCESS	0.854142630029205	0.05207564696892647	0.012587025681220896	1.0
GOBP_FOLIC_ACID_METABOLIC_PROCESS	0.8540709929270329	0.014110116469470886	0.012596246945456222	1.0
GOBP_SERINE_FAMILY_AMINO_ACID_METABOLIC_PROCESS	0.8528983313427454	0.02893028734345128	0.012840610447692379	1.0
HP_SAGITTAL_CRANIOSYNOSTOSIS	0.8517643739579731	0.009250071644677428	0.013075752685693208	1.0
