	Score	MoE	P-Value	Q-Value
MODULE_305	0.9210740398855772	0.0012668060173298193	0.0006178247037668865	0.9999984883171906
MODULE_495	0.8978470019709268	0.012986361716922938	0.004200285859191295	1.0
MODULE_403	0.8852351153069056	0.019491063330704658	0.006547097607081931	1.0
MODULE_221	0.8498361331957773	0.0241712115542663	0.013393886301811979	1.0
MODULE_184	0.8303242376444169	0.016635701010200257	0.017428189404767393	1.0
GNF2_FOS	0.825757147744422	0.04054246394644315	0.018258103185946794	1.0
MODULE_458	0.8009920913676001	0.05395205606584627	0.023311355986905806	1.0
GNF2_MKI67	0.7900629320318522	0.0705356485236346	0.02575499100926737	1.0
MODULE_522	0.6850110641377012	0.08816612367703325	0.05583014431278528	1.0
MODULE_385	0.680876460303028	0.07273489685497989	0.05741620176126147	1.0
MODULE_372	0.6456198240772931	0.06915377373893844	0.07083314122366176	1.0
MODULE_366	0.6340759937986027	0.13668803586289596	0.0752547374245009	1.0
MODULE_397	0.6257683540961266	0.30910719206624143	0.07861588823827746	1.0
MODULE_451	0.6234949433979899	0.3956825444960388	0.07939508506616257	1.0
MODULE_272	0.590244522112013	0.2916404426147748	0.09404767393609664	1.0
MODULE_284	0.5348533312902884	0.17325532708940813	0.12211720226843101	1.0
GCM_PRKAG1	0.5343286452726214	0.3431901731296115	0.12234773387431416	1.0
GNF2_PRDX2	0.5293477416832391	0.24333962204593296	0.12500806860620592	1.0
MODULE_295	0.5127426625941892	0.39158707625515815	0.13368988888376596	1.0
MODULE_199	0.5125728896867728	0.39304992959487617	0.1337498271012956	1.0
GCM_DDX11	0.49065684154666644	0.2904409188231488	0.14683480105122412	1.0
GNF2_TST	0.48482632660195724	0.08288736855362487	0.15044031536723684	1.0
GNF2_RAB3A	0.4839465742023347	0.13725897778659846	0.1509613167965328	1.0
MODULE_514	0.48059831371646966	0.12440306115481027	0.1529761630319517	1.0
MODULE_448	0.4683834945138836	0.25657562083923235	0.16128913274009868	1.0
MODULE_377	0.4650454909924837	0.21642886936089686	0.16367744017704827	1.0
MORF_CCNF	0.4518976005591654	0.2868626092798317	0.1732030061321407	1.0
MODULE_172	0.4371207310511875	0.34881988287241855	0.18560560652865507	1.0
MODULE_326	0.42867156306877513	0.10471926336300408	0.1928581308497395	1.0
MODULE_71	0.4239197458289767	0.13529540448038732	0.19714140808704875	1.0
GNF2_CDH11	0.42028936718378784	0.08322794217131715	0.20044262068329569	1.0
GNF2_SPTB	0.42024435344411143	0.2166682509142566	0.20049333763658997	1.0
GNF2_ANK1	0.42024435344411143	0.2166682509142566	0.20049333763658997	1.0
MODULE_148	0.39790719024954013	0.22352900350233973	0.22184517497348888	1.0
MODULE_563	0.39788160080106166	0.19692902258735714	0.22185439623772418	1.0
MORF_NF1	0.39245228191127873	0.19719325915285058	0.22740098667527317	1.0
MODULE_343	0.39027165082014853	0.3022988202850852	0.22972013463045785	1.0
GNF2_PCAF	0.38523485407425323	0.09144734339899586	0.23481949375259348	1.0
MODULE_462	0.37940710062717403	0.10773739639380096	0.24103923647932132	1.0
MODULE_111	0.37696965760087797	0.3732339166403023	0.2437917838535663	1.0
MODULE_186	0.3750511271773096	0.16431648926180126	0.24588962146710314	1.0
GNF2_CEBPA	0.374704856252297	0.2464354951248142	0.24627691456498685	1.0
MORF_PDPK1	0.37200159039388875	0.13037579331553542	0.24893263866476095	1.0
MODULE_109	0.36317334245043054	0.35333132493821534	0.25819078795702893	1.0
MODULE_493	0.35018388262751343	0.2472396976980934	0.271856701553783	1.0
GNF2_RAD23A	0.34713987471314145	0.2303211356635355	0.27479828484485225	1.0
MODULE_106	0.3419789330852403	0.18901479013289035	0.28011434367651805	1.0
GNF2_CASP4	0.33938147474092545	0.33523192319109785	0.2827377933514685	1.0
MODULE_327	0.3392784342011292	0.30019159618478963	0.2828115634653511	1.0
MODULE_373	0.3370439210984294	0.40553434963777235	0.28513071142053575	1.0
MODULE_158	0.3345670270812257	0.17525870183116896	0.2876527271888976	1.0
GNF2_CYP2B6	0.3336257172546208	0.21092081522160575	0.28866706625478356	1.0
GNF2_TAL1	0.31690459336167465	0.1339350754867185	0.3064041680114344	1.0
MODULE_249	0.3125972141530566	0.2258798303571672	0.3107658259947439	1.0
MODULE_321	0.31087968867649596	0.29344719775548683	0.31242565355710267	1.0
MODULE_408	0.3070195364402676	0.2595001781848487	0.3163493014892342	1.0
MODULE_354	0.3050834433935449	0.25832941814648297	0.31844252847065335	1.0
MODULE_47	0.3001020685915558	0.3525713680235993	0.3236387108672599	1.0
MODULE_125	0.2841042710076771	0.1849022956253086	0.34016782700908293	1.0
MODULE_525	0.2787233931367561	0.3526619989229796	0.3451611415925123	1.0
MODULE_236	0.27859923683814314	0.43060197438224085	0.34532251371663053	1.0
GNF2_BNIP3L	0.2784339469394677	0.20457791419848703	0.34548849647286645	1.0
MODULE_207	0.27573710083960723	0.20114980668629823	0.3481119461478169	1.0
MODULE_501	0.26985330219581355	0.37639797545313053	0.3540319977868966	1.0
MODULE_293	0.2615673711252396	0.38952647124452083	0.3624187376089262	1.0
MODULE_539	0.2612210108432164	0.15027671054361333	0.36279219881045693	1.0
MODULE_57	0.26009304562128016	0.2875773748891201	0.36412467149246164	1.0
MODULE_70	0.2571474383465908	0.29578041219938345	0.36708930794411915	1.0
MODULE_444	0.24888453550253214	0.2948589613471485	0.37534695006685415	1.0
MODULE_320	0.2403563807651385	0.327260307020634	0.38395038959841393	1.0
GCM_FCGR2B	0.23477179100185774	0.31493020852476133	0.3901332472682005	1.0
GNF2_CKS2	0.2346415631751044	0.38753737911771174	0.39027156623173037	1.0
MORF_BUB1B	0.23107587148861786	0.27172157387565654	0.3941398865784499	1.0
MODULE_516	0.22918073003418854	0.26215375420376397	0.3962054497671631	1.0
MODULE_227	0.2258563934631278	0.34014882103184396	0.3997833002904698	1.0
MORF_PSMF1	0.2249931952471901	0.2872708266869481	0.4007884180921204	1.0
MODULE_101	0.2222968896813802	0.3484530878772934	0.403697726958366	1.0
GNF2_ESPL1	0.22004022618823585	0.283037303307729	0.40599382175296234	1.0
MODULE_12	0.21761296982462325	0.302032558427854	0.40891696251556087	1.0
MORF_BNIP1	0.2141335365521181	0.33125963751369897	0.4130757526856932	1.0
GCM_BCL2L1	0.21291661348525018	0.2523411051704273	0.41432984462169764	1.0
MODULE_335	0.21104167828359652	0.2674870270530253	0.4165613905666467	1.0
MODULE_175	0.20678750649110306	0.41520191978876686	0.42147171377195813	1.0
GNF2_CDC2	0.20511398636674472	0.3606881569037414	0.4234358430540827	1.0
MORF_MYC	0.2007270023310587	0.3905685308929275	0.4282677855133939	1.0
GCM_USP6	0.19211375350340035	0.30282490201311524	0.4382451934160173	1.0
MODULE_120	0.18006156642190776	0.38629643336161745	0.45216008114712525	1.0
MODULE_126	0.17531458767361974	0.29472016125253725	0.45747152934667346	1.0
GNF2_CDC27	0.1733309587997628	0.32987981681617656	0.4598137304624464	1.0
MODULE_26	0.1719893898888334	0.2714153724799214	0.46129374337221635	1.0
