	Score	MoE	P-Value	Q-Value
GOBP_OSSIFICATION_INVOLVED_IN_BONE_REMODELING	0.926156358492223	0.0008376861171362338	7.377011388261331e-05	0.7981153973832229
GOMF_ARACHIDONATE_COA_LIGASE_ACTIVITY	0.9214028259867897	0.001366131188092282	0.0005671077504725897	0.999995458959988
HP_METHYLMALONIC_ACIDURIA	0.919830145825329	0.0008315303748060058	0.0007653649315321131	0.9999999383008799
GOBP_DOLICHOL_METABOLIC_PROCESS	0.9190021154004974	0.003299870975027285	0.0008575775738853796	0.9999999916509366
HP_ABNORMAL_LIVER_PARENCHYMA_MORPHOLOGY	0.9184697662333898	0.0021653881941113237	0.0009221264235326663	0.9999999979388493
GOMF_CYTOSKELETAL_ANCHOR_ACTIVITY	0.9161641692176931	0.002030183173904248	0.0012955876250633962	0.9999999999993768
GOBP_GLYCOPROTEIN_BIOSYNTHETIC_PROCESS	0.9139466801364893	0.005285455331007528	0.0016644381944764628	0.9999999999999998
GOBP_CHANGES_TO_DNA_METHYLATION_INVOLVED_IN_EMBRYO_DEVELOPMENT	0.9108567771414371	0.003047999470542276	0.0022407672091843793	1.0
HP_ABNORMAL_PUPILLARY_LIGHT_REFLEX	0.9103988814247692	0.0017858330287081113	0.0023329798515376457	1.0
GOMF_OXIDOREDUCTASE_ACTIVITY_ACTING_ON_THE_CH_NH_GROUP_OF_DONORS	0.9088887672740603	0.001433567468820428	0.0025542901931854857	1.0
GOBP_PROTEIN_O_LINKED_GLYCOSYLATION	0.9019272343538037	0.005343186726513886	0.0035640186269537554	1.0
HP_Y_SHAPED_METACARPALS	0.9017809882490972	0.008879926561181415	0.0035962930517773987	1.0
GOBP_EXTRACELLULAR_MATRIX_ASSEMBLY	0.9010955097254567	0.011555875456900238	0.003711558854718982	1.0
GOBP_PROTEIN_O_LINKED_FUCOSYLATION	0.9006548648313399	0.0062175873749129446	0.0037438332795426254	1.0
GOBP_PROTEIN_POLY_ADP_RIBOSYLATION	0.9000669014070163	0.006178537556085419	0.0038452671861312184	1.0
GOMF_DICARBOXYLIC_ACID_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	0.8957664126393861	0.015350380104982103	0.004587578957075015	1.0
GOCC_PRERIBOSOME_SMALL_SUBUNIT_PRECURSOR	0.8950527507868813	0.010465188262627143	0.004712066024251925	1.0
HP_MASTOIDITIS	0.8934010241946363	0.008904945875087326	0.004961040158605745	1.0
GOMF_RNA_DEPENDENT_ATPASE_ACTIVITY	0.8920353028875538	0.008838658345665057	0.005260731246253861	1.0
GOBP_REGULATION_OF_DNA_DEPENDENT_DNA_REPLICATION	0.8909434418492016	0.014134553644617819	0.005555811701784315	1.0
GOBP_PROLINE_METABOLIC_PROCESS	0.8886656056521525	0.02702714131996863	0.006021485545668311	1.0
GOMF_SERINE_TYPE_EXOPEPTIDASE_ACTIVITY	0.8886650687746916	0.026942411511027973	0.006021485545668311	1.0
GOMF_CALMODULIN_DEPENDENT_PROTEIN_PHOSPHATASE_ACTIVITY	0.8864208764409118	0.015429640184100335	0.0063903361150813775	1.0
HP_EXTERNAL_EAR_MALFORMATION	0.8852249235514492	0.023446764487982084	0.006547097607081931	1.0
HP_ANHIDROSIS	0.8844432837895951	0.021632200209748712	0.006666974042141178	1.0
HP_DIMPLE_CHIN	0.884186158042343	0.028122002507562856	0.0067315228917884645	1.0
GOMF_OXIDOREDUCTASE_ACTIVITY_ACTING_ON_THE_CH_NH_GROUP_OF_DONORS_NAD_OR_NADP_AS_ACCEPTOR	0.883549471697165	0.011933541639216073	0.006856009958965374	1.0
GOBP_ASPARAGINE_METABOLIC_PROCESS	0.8794393080214892	0.016679220107356885	0.007575268569320854	1.0
GOBP_POSITIVE_REGULATION_OF_ACTIN_FILAMENT_BUNDLE_ASSEMBLY	0.8777387319203807	0.027001133919690754	0.007865738392733643	1.0
GOBP_POSITIVE_REGULATION_OF_ENDOPLASMIC_RETICULUM_STRESS_INDUCED_INTRINSIC_APOPTOTIC_SIGNALING_PATHWAY	0.875452561039133	0.018672854680574846	0.00830374844391166	1.0
HP_INCREASED_SERINE_FAMILY_AMINO_ACID_IN_URINE	0.8745384548519306	0.003929614060129642	0.008483563096500531	1.0
GOBP_GLYCOSYLATION	0.8744069390772341	0.013448512934174643	0.008515837521324173	1.0
HP_FASTING_HYPERINSULINEMIA	0.8739367264241171	0.01653921859418656	0.008626492692148094	1.0
GOMF_NUCLEOSIDE_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	0.870877072852035	0.024001028416470685	0.009193600442620683	1.0
GOBP_NUCLEOSIDE_TRANSMEMBRANE_TRANSPORT	0.8696316054649469	0.02825026703981739	0.009461017105445156	1.0
GOMF_ACID_THIOL_LIGASE_ACTIVITY	0.8656007338312445	0.028202010030828797	0.010097284337682696	1.0
GOCC_ELASTIC_FIBER	0.8650830364612359	0.02266451782108241	0.010207939508506616	1.0
GOMF_PDZ_DOMAIN_BINDING	0.8627774775186006	0.03470299334137901	0.010558347549449029	1.0
HP_MEDIAL_FLARING_OF_THE_EYEBROW	0.8626682720191774	0.027178078401513078	0.010599843238508	1.0
