	Score	MoE	P-Value	Q-Value
HALLMARK_KRAS_SIGNALING_UP	0.669832191284627	0.03729266837980293	0.061565770667158466	1.0
HALLMARK_IL2_STAT5_SIGNALING	0.5739335304949935	0.1134558012370615	0.10177509336530038	1.0
HALLMARK_CHOLESTEROL_HOMEOSTASIS	0.3989580665579681	0.36913565970292633	0.2207847295864263	1.0
HALLMARK_APICAL_JUNCTION	0.37829560618846614	0.12604312054063008	0.24224261146203144	1.0
HALLMARK_BILE_ACID_METABOLISM	0.3759971232382297	0.39819101963164477	0.2449029461939232	1.0
HALLMARK_XENOBIOTIC_METABOLISM	0.3102159905394201	0.35345681109535204	0.3130388676287519	1.0
HALLMARK_ESTROGEN_RESPONSE_LATE	0.3047244220196951	0.36949806397451135	0.318898981050302	1.0
HALLMARK_MYC_TARGETS_V2	0.30017681260577767	0.34632005765666946	0.323528055696436	1.0
HALLMARK_ESTROGEN_RESPONSE_EARLY	0.2118871489610285	0.33703164745536673	0.41560698971829035	1.0
HALLMARK_FATTY_ACID_METABOLISM	0.1975031087833092	0.3010129629926611	0.4319977868965835	1.0
HALLMARK_NOTCH_SIGNALING	0.17573350732681808	0.3938397461436756	0.4569366960210245	1.0
HALLMARK_HEME_METABOLISM	0.15825400932456168	0.33593035845294944	0.4765825994743879	1.0
HALLMARK_GLYCOLYSIS	0.14084234993405925	0.2504966723958542	0.49528793397574805	1.0
HALLMARK_E2F_TARGETS	0.12498567914916531	0.310396435500353	0.4878279312093688	1.0
HALLMARK_MYOGENESIS	0.06682495000750756	0.3094118324791201	0.43599059431048	1.0
HALLMARK_APICAL_SURFACE	0.06122845867052082	0.280467010737734	0.43205311448199546	1.0
HALLMARK_PROTEIN_SECRETION	0.04014076448224075	0.3136420894256525	0.41970123103877544	1.0
HALLMARK_TGF_BETA_SIGNALING	-0.05175690758516419	0.3040825893647175	0.39444879893033336	1.0
HALLMARK_PEROXISOME	-0.17900860696162926	0.29324918950363327	0.29042371709161324	1.0
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	-0.2154849887700238	0.35906050179280413	0.257628290838674	1.0
HALLMARK_MITOTIC_SPINDLE	-0.2714124204409374	0.26805258397139814	0.21704089630688367	1.0
HALLMARK_G2M_CHECKPOINT	-0.2806548259238573	0.2665674843184713	0.21088570242980312	1.0
HALLMARK_APOPTOSIS	-0.3139584386746864	0.13061054173304096	0.1890359168241966	1.0
HALLMARK_DNA_REPAIR	-0.3421513481150184	0.2844625475086384	0.1703398035870718	1.0
HALLMARK_MYC_TARGETS_V1	-0.4107322051126353	0.2532251552818343	0.12215408732537231	1.0
HALLMARK_INTERFERON_ALPHA_RESPONSE	-0.423964237113393	0.13920898585657368	0.11431140209322699	1.0
HALLMARK_WNT_BETA_CATENIN_SIGNALING	-0.43660292041892274	0.2273448446369302	0.10713725851814283	1.0
HALLMARK_INFLAMMATORY_RESPONSE	-0.4434937715890215	0.1853003876490318	0.10339803587071787	1.0
HALLMARK_PI3K_AKT_MTOR_SIGNALING	-0.4456478007580688	0.2517997287714849	0.1023375904836553	1.0
HALLMARK_INTERFERON_GAMMA_RESPONSE	-0.466535254602737	0.08494983155019475	0.09257688229056203	1.0
HALLMARK_ALLOGRAFT_REJECTION	-0.47372127446639745	0.08964631033714386	0.08969984784914012	1.0
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	-0.48377535419061035	0.07498650933028664	0.08600212089077412	1.0
HALLMARK_ANDROGEN_RESPONSE	-0.5482932576793926	0.20575423387088843	0.06490386832034672	1.0
HALLMARK_IL6_JAK_STAT3_SIGNALING	-0.5830701012664256	0.08536968540556715	0.055226151505371385	1.0
HALLMARK_P53_PATHWAY	-0.592832297935832	0.05074030854885162	0.052607312462538615	1.0
HALLMARK_UV_RESPONSE_UP	-0.6793402145138797	0.14040495176788223	0.032624832864585736	1.0
HALLMARK_MTORC1_SIGNALING	-0.7016514299199126	0.08406104363203892	0.02817557287104062	1.0
HALLMARK_TNFA_SIGNALING_VIA_NFKB	-0.7064790051296899	0.10014639529052949	0.027147401908801695	1.0
HALLMARK_COMPLEMENT	-0.7159537325202653	0.1098300871028259	0.02543224676103094	1.0
HALLMARK_UV_RESPONSE_DN	-0.7268227450647943	0.08555876526235047	0.023629489603024575	1.0
HALLMARK_ADIPOGENESIS	-0.7476142489352745	0.09341997733547021	0.02049425976301351	1.0
HALLMARK_HYPOXIA	-0.9142194654084772	0.0029379550574423394	0.001000507169532943	0.9999999996084126
