	Score	MoE	P-Value	Q-Value
IPA_RELB_UP	0.9203949681071951	0.002596114767974857	0.0006731522891788464	0.9999995440469277
IPA_CREB3L1_UP	0.8365530219384757	0.019853044237791117	0.01599889344829176	1.0
IPA_ABL1_DN	0.7997186026058254	0.05415709725638363	0.023574162017612615	1.0
IPA_MLXIPL_DN	0.7531197623615729	0.06223346808534658	0.0348794319701231	1.0
IPA_EHF_UP	0.7482590861936457	0.01626561161531775	0.0360367006316566	1.0
IPA_IRF8_UP	0.747810687525624	0.11694275520029807	0.03619346212365716	1.0
IPA_SMARCB1_DN	0.7253664578474968	0.07774732578999695	0.04248236433214994	1.0
IPA_SOX10_DN	0.7197949525788756	0.09301086378423212	0.044248236433214995	1.0
IPA_FOSB_DN	0.6864843781306543	0.14541369737148893	0.05530914288348933	1.0
IPA_MECOM_UP	0.6688759169310444	0.24247441599853048	0.061874683019041914	1.0
IPA_MEIS2_UP	0.6523953323336535	0.395242560521776	0.06825579786988796	1.0
IPA_CTCF_UP	0.6242066797772716	0.21565036268394386	0.07916916409239706	1.0
IPA_STAT5A_UP	0.6131963722525843	0.1493852650838249	0.0839688321268846	1.0
IPA_HDAC2_UP	0.5842173512864343	0.07515582902586466	0.09704919544469547	1.0
IPA_E2F2_UP	0.5813239678770292	0.3056309526791101	0.09832172990917054	1.0
IPA_FOXO4_DN	0.5369498624075983	0.1783815131000512	0.1208861634930149	1.0
IPA_SULT2A1_UP	0.5328581833771355	0.25573527987330313	0.12311770943796395	1.0
IPA_HIST1H1A_DN	0.5210309861044496	0.31487717514440444	0.12921296509751487	1.0
IPA_E2F4_UP	0.5083289342137559	0.21632633472726745	0.13629489603024575	1.0
IPA_NFATC1_DN	0.5080401836508365	0.18679291000551448	0.13644704689012863	1.0
IPA_CREB3L2_UP	0.5061270311158615	0.4097595422307485	0.13758587302319147	1.0
IPA_TBX2_UP	0.5022156338729942	0.12020186082292349	0.13996956982802342	1.0
IPA_PPARGC1A_DN	0.5004214988184508	0.2849752313467749	0.140988519526027	1.0
IPA_NR1I2_UP	0.500025604157922	0.3890495366754423	0.14120060860343953	1.0
IPA_CIITA_UP	0.49969370601372093	0.2022271054856751	0.14138503388814608	1.0
IPA_KLF1_UP	0.49116187597465444	0.07723140322442175	0.146562773756282	1.0
IPA_REL_UP	0.48947595156442936	0.06971459859345196	0.14761399787910923	1.0
IPA_TFDP1_UP	0.4894457331855551	0.11067545975720573	0.1476278297754622	1.0
IPA_FOXO4_UP	0.47957081203840835	0.25700847925257136	0.1536631472174835	1.0
IPA_HEY1_UP	0.474046787658609	0.1646699140220624	0.15744386555396744	1.0
IPA_TFAM_UP	0.47363542906838113	0.11257557364821137	0.1577666098022039	1.0
IPA_RORA_UP	0.45530853062285015	0.3166998088341495	0.1707270966849555	1.0
IPA_CTBP1_DN	0.45365153728427815	0.3383533747711776	0.17180137396837106	1.0
IPA_CDX1_UP	0.45336647109033446	0.0738785517242198	0.17197657798884228	1.0
IPA_GABPB1_UP	0.45121182064868387	0.30165977561221163	0.17372861819355434	1.0
IPA_XBP1_DN	0.44732234890535244	0.19069997596143098	0.17663331642768224	1.0
IPA_HNRNPK_DN	0.4284149770692664	0.1061786851346231	0.19307944119138734	1.0
IPA_ETV5_DN	0.42200539320888547	0.3106020840051006	0.19869519111070127	1.0
IPA_NCOR2_DN	0.42144631253162157	0.18750229892056477	0.19927613075752687	1.0
IPA_MAFG_UP	0.41607591894142865	0.34779685246881925	0.20429249850154457	1.0
IPA_SULT2A1_DN	0.4084005574430398	0.2897265714857619	0.21107934897874497	1.0
IPA_IFI16_DN	0.40822578031480805	0.1948278729601013	0.2112545529992162	1.0
IPA_SMAD5_DN	0.39648984787480046	0.1117084587607737	0.2232975240905528	1.0
IPA_PLAGL1_UP	0.39240411103340006	0.31470531292415566	0.22746553552492046	1.0
IPA_NFIX_DN	0.38503779034960967	0.1942172853610494	0.23508691041541796	1.0
IPA_POU2F1_DN	0.38188414942271337	0.3144904159998816	0.23841117617225321	1.0
IPA_RBL2_DN	0.3817738809192154	0.2781228760689312	0.2385126100788418	1.0
IPA_ELF4_UP	0.3648733702817162	0.31068783345125456	0.2563050394209046	1.0
IPA_MAFF_UP	0.3633245266962794	0.35452120217349153	0.2579602563511457	1.0
IPA_ATF4_DN	0.3586572113247243	0.2676447750640967	0.26303656231269307	1.0
IPA_RNF2_UP	0.3507731567709645	0.31062152232191215	0.2712895938033104	1.0
IPA_SP7_DN	0.3498266684807485	0.3644935607257436	0.27223938401954906	1.0
IPA_KLF13_UP	0.34491109827802907	0.43743643458113796	0.27728802618839044	1.0
IPA_CIITA_DN	0.31376120480192327	0.4309714689951522	0.3096592742865047	1.0
IPA_MED13_DN	0.31318858540773953	0.3196375302643188	0.3101941076121536	1.0
IPA_HOXA1_UP	0.3109376868409127	0.36980292372066886	0.3123749366038084	1.0
IPA_KLF10_DN	0.2874472522964657	0.273953195464752	0.3366499147033058	1.0
IPA_RFXANK_UP	0.28728269829449676	0.42745682004672797	0.33679745493107105	1.0
IPA_STAT4_DN	0.2782752956194932	0.2579055669245321	0.3456406473327493	1.0
IPA_MAPK8IP1_UP	0.2615676023373848	0.27324172741231595	0.3624187376089262	1.0
IPA_SPDEF_DN	0.24691414737390846	0.30279747208833546	0.377375628198626	1.0
IPA_SKI_DN	0.2415514816985768	0.21706884826534825	0.38263174881276224	1.0
IPA_PGR_DN	0.2277213677172252	0.1571238986038079	0.39790677301858085	1.0
IPA_SP7_UP	0.22349125771875822	0.2550265107204271	0.40248052007930285	1.0
IPA_SMARCA4_DN	0.2044377269448024	0.35867353473898933	0.42420120798561484	1.0
IPA_MAX_DN	0.2004671878339236	0.3430443852383058	0.42848448522292404	1.0
IPA_HMGB1_UP	0.18841984768333372	0.2751941935536673	0.4425008068606206	1.0
IPA_ATF6_UP	0.18789782596158844	0.3403357908992846	0.4431047996680345	1.0
IPA_SMARCC1_UP	0.1804618086736408	0.4007597070820299	0.4516851860390059	1.0
IPA_DNMT1_DN	0.17936717610474476	0.31797525261354126	0.4529116141823044	1.0
IPA_DBP_UP	0.17489625932598937	0.3535137664886121	0.4579694776153811	1.0
IPA_PCGF2_UP	0.1727299565441531	0.36626441550509076	0.46055143160127254	1.0
IPA_POU2F2_DN	0.17037574220959462	0.36759731234084486	0.4631241643229287	1.0
IPA_SREBF2_DN	0.16712541558713556	0.32732980035013465	0.46672506800682373	1.0
IPA_KLF5_DN	0.15639295533850342	0.2911640169351005	0.478786481626631	1.0
IPA_EOMES_DN	0.1503955515896145	0.34444642618856847	0.48505233067453546	1.0
IPA_NR1H2_DN	0.13581177704699973	0.30693819968150443	0.49901793535893774	1.0
IPA_SATB1_DN	0.13466334531801646	0.31132264222024036	0.4977730646871686	1.0
IPA_SATB1_UP	0.12022034402320243	0.32185739278725756	0.48332334363041174	1.0
IPA_TRIM24_DN	0.10411806519902772	0.19711199029460394	0.467720964544239	1.0
IPA_EP400_UP	0.10404710759356957	0.28054628255447983	0.4676564156945917	1.0
IPA_NCOA1_DN	0.10137742875958829	0.34191209238915543	0.4652173913043478	1.0
IPA_HDAC6_DN	0.05765312224639811	0.36515944156490726	0.4297477984231638	1.0
IPA_RAD21_UP	0.03079994930209517	0.2515510858133994	0.415653096039467	1.0
IPA_TFAM_DN	0.02481040048462369	0.3154399358355618	0.41359675411498914	1.0
IPA_MED28_DN	0.011210353670406754	0.33765318987110154	0.4104615242749781	1.0
IPA_MYRF_UP	0.010209631749626956	0.28212438601103845	0.41035547973627184	1.0
IPA_PTTG1_DN	-0.02492706599087054	0.3906721288420645	0.4058508921573148	1.0
IPA_ILF3_UP	-0.02983125128229446	0.3031969320610302	0.40424639218036795	1.0
IPA_ATF7_UP	-0.029943017859876467	0.2953243653597383	0.404204896491309	1.0
IPA_PAX5_UP	-0.046618865436096106	0.3957236874390479	0.39704919544469547	1.0
IPA_PRDM1_UP	-0.05212625496002155	0.3031429312461765	0.3942413204850385	1.0
IPA_ZBTB20_UP	-0.05295693018679729	0.27751951669479824	0.39378025727327215	1.0
IPA_PLAGL2_UP	-0.05424806964225894	0.3006447577122386	0.3931209368804463	1.0
IPA_XRCC6_UP	-0.07367175760203287	0.233707275009117	0.3812393379132279	1.0
IPA_NKX3-1_UP	-0.07909300318426658	0.40388274382141875	0.377375628198626	1.0
IPA_PSAP_UP	-0.09172385790290241	0.3501634271311602	0.36791461109318085	1.0
IPA_MITF_UP	-0.09991357319195597	0.33311398059275765	0.3611323712480981	1.0
IPA_XRCC6_DN	-0.1016957987896253	0.2216825600845058	0.35969846465950484	1.0
IPA_RBL1_DN	-0.10574285397086611	0.26487442746480466	0.3564156945917285	1.0
IPA_SKIL_UP	-0.11452719140750611	0.1722084924913837	0.3487620452764074	1.0
IPA_ARID1A_DN	-0.11487902407022851	0.33080479399888824	0.34847618608511227	1.0
IPA_DAXX_UP	-0.11950786825934982	0.3043423058449687	0.34440499792521556	1.0
IPA_LHX6_DN	-0.13166398019759668	0.25541396150982804	0.33395269491447277	1.0
IPA_MMP3_DN	-0.14552365229407668	0.27133583671315165	0.3210475356171331	1.0
IPA_IRF1_UP	-0.18439434627909093	0.1912924294790599	0.2854396237724192	1.0
IPA_YWHAE_UP	-0.18691821004990888	0.2013906239257128	0.2831481396099405	1.0
IPA_SREBF1_UP	-0.19979095383509685	0.36461274629058654	0.2711558854718982	1.0
IPA_HDAC3_UP	-0.19987792375315605	0.21731270683173154	0.2710636728295449	1.0
IPA_FLI1_UP	-0.20396521927919087	0.35437975362634605	0.2675826455807091	1.0
IPA_HDAC1_UP	-0.20772907879100624	0.24763894703580772	0.26419383097422655	1.0
IPA_RELB_DN	-0.21122257375540585	0.18815322158024275	0.2610954861911568	1.0
IPA_NFE2L2_DN	-0.21475151803647866	0.24808410007300505	0.25822306238185255	1.0
IPA_GRHL2_UP	-0.21547761401605367	0.27999870950029776	0.2576375121029093	1.0
IPA_FOXP3_UP	-0.22231394480199754	0.33393525345427594	0.25226151505371386	1.0
IPA_SKP2_UP	-0.22301049196667125	0.29071968119996416	0.2518050624740652	1.0
IPA_FIGLA_UP	-0.24165542295028336	0.21942894871678875	0.23745216469177924	1.0
IPA_GTF2I_UP	-0.25079491922589164	0.3188333300393268	0.2314076259855226	1.0
IPA_HSF1_UP	-0.26868551647095423	0.1430105167939196	0.21883904283277236	1.0
IPA_VAV1_UP	-0.2796259556257215	0.25671620580081383	0.21162340356862927	1.0
IPA_XRCC5_DN	-0.2909627267932574	0.3933824143499424	0.2040481349993084	1.0
IPA_JUP_DN	-0.31838509106679214	0.2919812921323951	0.18603900594771544	1.0
IPA_STAT1_DN	-0.3191187108278133	0.3258506710905377	0.1855502789432431	1.0
IPA_MMP3_UP	-0.3230362228068454	0.34254311206467625	0.18309742265664622	1.0
IPA_SREBF2_UP	-0.3240756635516439	0.3062558720736101	0.1824242703674674	1.0
IPA_NFATC1_UP	-0.3258220913599635	0.19273145623649182	0.1812162847526396	1.0
IPA_FOXM1_DN	-0.3278574146702765	0.2169614247452596	0.18001752040204713	1.0
IPA_LEF1_DN	-0.3367280465120229	0.25922773283311057	0.17400064548849647	1.0
IPA_GLI1_DN	-0.3400589474372166	0.2159349102879491	0.17181981649684172	1.0
IPA_AHRR_UP	-0.3430513153643109	0.16835173746667467	0.16971736825118725	1.0
IPA_SIRT2_UP	-0.343952197194847	0.27402464284929634	0.16909032228318502	1.0
IPA_DDIT3_UP	-0.34704801365949556	0.10708947317939527	0.16683111254552999	1.0
IPA_HIF1AN_DN	-0.3498402177719069	0.3408669985607638	0.16505140854811196	1.0
IPA_YY1_UP	-0.3530733509094688	0.33404935706921485	0.16281525197104524	1.0
IPA_RARG_DN	-0.35826557531825654	0.3086326087969154	0.15935266725068006	1.0
IPA_NR2C1_DN	-0.36313756210095666	0.3949112182097913	0.1560284014938448	1.0
IPA_ATF2_DN	-0.3697827907463051	0.26546197606660976	0.15103508691041542	1.0
IPA_NCL_UP	-0.3734606418729755	0.31863292861748177	0.14845774355664162	1.0
IPA_PCGF2_DN	-0.3734921991038204	0.32179076085087893	0.1484208584997003	1.0
IPA_TP73_UP	-0.3745491441000256	0.24682334701417516	0.14778459126746277	1.0
IPA_RARB_DN	-0.3792397027108852	0.3731347665690434	0.14431739591497994	1.0
IPA_NFKBIA_DN	-0.38096247969391916	0.26282300028137356	0.1430402508183872	1.0
IPA_RPA2_UP	-0.38140500127200555	0.3544294471739003	0.14274517036285675	1.0
IPA_HSF1_DN	-0.3814471947204036	0.2936565924859991	0.14270828530591545	1.0
IPA_CHD4_UP	-0.3828476171209982	0.42410409276546845	0.14160173359767625	1.0
IPA_POU5F1_DN	-0.38551959170557804	0.13548125058685365	0.13964221494766932	1.0
IPA_SOX5_UP	-0.3869906929907615	0.3429164647680096	0.13866015030660703	1.0
IPA_CDK9_UP	-0.3875860888023078	0.18069428969484003	0.13829129973719398	1.0
IPA_ATF6_DN	-0.39227365325212554	0.2561052858164525	0.13511457420812392	1.0
IPA_NF1_UP	-0.394371972841528	0.18994503908772956	0.13366222509106	1.0
IPA_TCF7_UP	-0.4049796029930131	0.1767482655280115	0.1259670800866799	1.0
IPA_HDAC5_UP	-0.4213094857484795	0.18491370200174242	0.11582830005993822	1.0
IPA_MYOCD_DN	-0.42133857402322	0.2736276674469749	0.11580985753146757	1.0
