Set	S6	S4	S2	S1	S7	S8	S5	S3
GSE7831_1H_VS_4H_CPG_STIM_PDC_DN	0.419177202754137	0.37797300337110845	0.458831195272624	0.4584899828041205	0.3986281022370176	0.37875387772947006	0.39750517552545617	0.44097919517676787
GARCIA_TARGETS_OF_FLI1_AND_DAX1_UP	0.49046690880856875	0.5307589665456837	0.4528192694956015	0.4291161649014593	0.38462799721000884	0.47014062922926037	0.4401797693971157	0.5017728079853783
MIR488_5P	0.3910461717122799	0.43310473742981315	0.39734425812433133	0.4769079521445961	0.42652215706531754	0.40196428169645965	0.4623631074919667	0.43700216757392224
GSE41176_UNSTIM_VS_ANTI_IGM_STIM_BCELL_24H_DN	0.4146485810190568	0.40147464879723394	0.3942020651068629	0.4524245975363207	0.4453621519069743	0.39394470283482225	0.45747102531941053	0.3860610746252528
GOMF_INORGANIC_PHOSPHATE_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	0.4578992655976149	0.612286669509514	0.8365388929196	0.7755834271168882	0.4856374032962479	-0.49081735620591854	0.5324386049805886	0.5577531113353306
GSE2770_TGFB_AND_IL4_VS_IL12_TREATED_ACT_CD4_TCELL_48H_DN	0.3877083326233545	0.4162671587309017	0.365884113240272	0.4836480611803417	0.36725997444670017	0.41188015672045536	0.41846593305050417	0.40098993887794454
BIOCARTA_VOBESITY_PATHWAY	0.5249721959383289	0.49336453325709967	0.40762619134990674	0.6472728328335571	0.6728756127001079	0.3971167702128952	0.436452936822897	0.4882084055063528
GOMF_C_X3_C_CHEMOKINE_BINDING	0.5575033629407705	0.3583344544598214	0.46249907089408626	0.6566689002814413	-0.6605004708732414	0.44481642611272715	0.5133998813256968	0.8000642940219079
GSE37416_CTRL_VS_12H_F_TULARENSIS_LVS_NEUTROPHIL_DN	0.3782385677893477	0.3923257205501335	0.3774206531372061	0.5051647411030167	0.39012096346726055	0.41047066725456	0.396303530422141	0.4070888932746008
GSE360_CTRL_VS_B_MALAYI_HIGH_DOSE_MAC_UP	0.40587611416197417	0.40312178744025895	0.4144006134245847	0.5137248348845704	0.37360899141357523	0.39852430862434757	0.4086950760434932	0.4100439437635191
GOMF_OPSIN_BINDING	0.5159314224594512	0.4176296314196062	0.6433219299275497	0.6879390450186306	0.7964769909106504	0.5564076690211658	0.6023025451047139	0.502964302146926
GOBP_NEGATIVE_REGULATION_OF_DEVELOPMENTAL_GROWTH	0.4767818069061873	0.47691700407869636	0.37196618417177196	0.35977447787169436	0.38042128347476867	0.428105942643557	0.45491584832466514	0.39439756175131735
GSE7460_TCONV_VS_TREG_THYMUS_DN	0.3880813714587736	0.3451819406373479	0.3966740280385015	0.40565402090665753	0.39756031773573947	0.3809314709835064	0.3933433273152139	0.4811546122982186
REACTOME_SUMOYLATION_OF_INTRACELLULAR_RECEPTORS	0.4202662726015558	0.47360810855476865	0.3876468545378344	0.4601391549371714	0.4889478296427305	0.4677810326752334	0.3812604087191694	0.41391685297110403
BIOCARTA_CTBP1_PATHWAY	0.49554218967730246	-0.559413268738947	0.44944930401447913	0.7320784510101427	0.5634212626326636	0.37862285461463446	0.5572903326088966	0.7032562060323126
TTGCACT_MIR130A_MIR301_MIR130B	0.4316138817839017	0.37301307880001455	0.3919000020767113	0.4498306524131284	0.3896130879424887	0.38269493547600336	0.36940891526194064	0.4003878649575582
GSE5960_TH1_VS_ANERGIC_TH1_UP	0.45446656136505376	0.4690728217972125	0.39677408929235103	0.5328322953522749	0.43384353468434345	0.373536276744185	0.4105231713000757	0.3942359958535525
HP_ABNORMALITY_OF_THE_FOREARM	0.41973964945208	0.41688157729918596	0.39936305982904446	0.4306191234776036	0.42196133689606524	0.41164454292079633	0.35880854254129896	0.3870415250699976
GSE40274_CTRL_VS_GATA1_TRANSDUCED_ACTIVATED_CD4_TCELL_DN	0.41486984237081864	0.3948408799245906	0.3911761207242588	0.4376206980494349	0.36875526763155825	0.36081822170551375	0.43665086430451644	0.40981782147803125
HP_VELOPHARYNGEAL_INSUFFICIENCY	0.46228452438896767	0.43584828292699457	0.38924434905929917	0.46946592809091564	0.3700543700015961	0.4474994099731376	0.5570232648077618	0.4561038069603989
CREIGHTON_ENDOCRINE_THERAPY_RESISTANCE_2	0.3955878882998416	0.3964272218484779	0.3802487178238192	0.3259347615345961	0.38930317937405307	0.3757743763363856	0.40447852516202	0.42425530195371386
