	Score	MoE	P-Value	Q-Value
MYO1D	0.8055785935233806	0.0295542736621574	0.0044586415601882	1.0
WNT10B	0.6780259693281563	0.0724101458156955	0.017236045729657	1.0
NAALADL1	0.6633843657951293	0.0764354077650371	0.0196166778749159	1.0
NCF2	0.5842931076733735	0.1088110653924126	0.0359179556153328	1.0
COL6A1	0.4914536853641758	0.0542043926813179	0.066738399462004	1.0
HTRA1	0.4668047863940666	0.1084759283490035	0.0769670477471419	1.0
RCAN1	0.4496148158842628	0.0671293681029503	0.0843039677202421	1.0
FAM110C	0.4212334742198343	0.0754906720904729	0.0975790181573638	1.0
PZP	0.3808651879578453	0.0982271527648537	0.1197915265635507	1.0
DUSP4	0.3490124538619224	0.0927415607711632	0.138836583725622	1.0
BBOF1	0.3209058193382757	0.2649970035192555	0.1580968392737054	1.0
SPRYD7	0.31735617733831	0.1842771736936257	0.1607397444519166	1.0
CPE	0.2982146998427497	0.0363817794140206	0.1784599865501008	1.0
PLAC8	0.2788957014167559	0.0881319245854144	0.1963819771351715	1.0
LIPT2	0.2719883702943514	0.109833560382409	0.2028043039677202	1.0
RAPGEF2	0.2180525299238904	0.1495009638559311	0.255191661062542	1.0
CD200	0.2154567791924244	0.0653610625711719	0.2581170141223941	1.0
GALNT12	0.1989201641436489	0.0782876206940794	0.2776260928043039	1.0
MET	0.1849420087376153	0.2186830360581189	0.3289643577673167	1.0
LRRC32	0.1834341275267059	0.2546978144134555	0.3308540685944855	1.0
TNFRSF4	0.1832664219340363	0.123491374223346	0.3310558170813719	1.0
YAP1	0.1812938872729581	0.0738423377958115	0.3334297242770679	1.0
GZMK	0.1811304456668576	0.1181410767211499	0.3336045729657028	1.0
IGFBP3	0.1757307396697268	0.1802326273291708	0.3395359784801613	1.0
MEMO1	0.1733339528129805	0.1474402012299754	0.3428513786146603	1.0
MAP1LC3A	0.1684450064871767	0.1183734931353965	0.3488769334229993	1.0
RAB19	0.1679336558587173	0.0692384017505259	0.3494620040349697	1.0
ZNF583	0.1478938073008684	0.1092641542323045	0.3759583053127101	1.0
ACSL6	0.1477568575160299	0.1993186367406638	0.3761398789509079	1.0
KLHL3	0.142966109082247	0.2364007484856308	0.3830665770006725	1.0
TRIB1	0.1358933174554099	0.1911050030910519	0.3935776731674512	1.0
TANC2	0.1354017299517388	0.1644658251509846	0.3942636180228648	1.0
SPINT1	0.1287027725680482	0.1883746599414981	0.4047410894418292	1.0
CPNE7	0.1279110224901264	0.1342530025164773	0.4058238063214526	1.0
TNFSF8	0.1242453123564509	0.1446040468896489	0.4112037659717552	1.0
DPP10	0.1194389529377197	0.0939151044467805	0.4182918628110289	1.0
MPP1	0.1148827683489423	0.1549050220540223	0.4242770679219906	1.0
TOX2	0.1115841997691755	0.0976444414781332	0.4285541358439811	1.0
TNS2	0.1076761018898181	0.1982732020731008	0.4332683254875588	1.0
HYAL3	0.0971832197502403	0.1963716163787825	0.4451311365164761	1.0
ANKRD20A1	0.0956272103329977	0.1333118670094631	0.4468123739071957	1.0
ZNHIT6	0.0924024107091491	0.1877021300917939	0.4503429724277067	1.0
C11orf21	0.0822314037195542	0.1567857558852963	0.4609280430396772	1.0
GMEB2	0.0656353547583363	0.1789015352985847	0.4767989240080699	1.0
