	Score	MoE	P-Value	Q-Value
TSPYL2	0.9250121372917712	0.0014136726207528	0.0003227975790181	0.9910131350382322
TRABD2A	0.9248751498478868	0.001024092885934	0.0003227975790181	0.9910131350382322
WWC2	0.9223053662102572	0.0014418337543109	0.0005850706119704	0.9998007840373412
PSTPIP2	0.9203807914585898	0.0025113502443589	0.0007666442501681	0.9999856541436764
RASGRF2	0.9196120800894044	0.0020830274406748	0.0008473436449226	0.9999955331081258
RNF130	0.9190435067373414	0.0042804516786207	0.0009751176866173	0.999999293321296
APBA2	0.91895954271075	0.0030309267203739	0.0009751176866173	0.999999293321296
TIGD6	0.9171407657358884	0.0014863979329293	0.0011768661735036	0.9999999612589408
HOOK1	0.916598335694756	0.0014810698689627	0.0012642905178211	0.9999999889941024
ACVR1C	0.915929526348615	0.0043469881393175	0.0013449899125756	0.9999999965440872
IFNGR2	0.9146804204151052	0.0051852453779636	0.0014929388029589	0.999999999584292
CCR7	0.9144019648037686	0.0035853018286901	0.0015265635507733	0.9999999997433572
IL21R	0.9131358598429582	0.002803047326065	0.001654337592468	0.9999999999589012
PLAG1	0.911254307564376	0.0040046066012982	0.0018897108271687	0.9999999999985756
HAVCR1	0.9099961102021916	0.0042421197126009	0.001983860121049	0.9999999999996256
NME4	0.9097216036513764	0.0056903401981965	0.0020107599193006	0.999999999999744
GGT7	0.9079809819570588	0.0087986932918274	0.0021721587088096	0.999999999999974
ASB13	0.9075126983893832	0.0058191573315709	0.0022192333557498	0.9999999999999868
MCTP2	0.9050701139337471	0.0061325985198038	0.0025487558843308	1.0
MYB	0.9016479927553602	0.0119267854111171	0.0029455279085406	1.0
USP44	0.8966402628739605	0.0045374156320233	0.003530598520511	1.0
TLE2	0.8960847046595304	0.014573376003066	0.0035843981170141	1.0
IRGM	0.8920708255356088	0.0141193907391981	0.0039946200403496	1.0
NADSYN1	0.8835635962375994	0.023336278788103	0.0050100874243443	1.0
DPP4	0.8546177385567875	0.032074984569634	0.0082918628110289	1.0
C10orf95	0.8519350043854477	0.0245123933792338	0.0086886348352387	1.0
RNF157	0.8482333840848927	0.0317020857951463	0.009166106254203	1.0
SFI1	0.845726576350633	0.0238699919680127	0.0093745796906523	1.0
ENPP5	0.8376125732057579	0.02279789066818	0.0102420981842636	1.0
ZNF772	0.8235271544737213	0.0737360100475575	0.0121788836583725	1.0
ZSCAN20	0.8228246947918011	0.0559593348155183	0.0122528581035642	1.0
LIPT2	0.8226519977907222	0.0631996678223189	0.0122663080026899	1.0
SMKR1	0.8133032513117768	0.0126869281741954	0.0132078009414929	1.0
AXIN2	0.7969662428615583	0.0748640170979868	0.0151580363147276	1.0
BIRC3	0.7969638082443601	0.0581681901524379	0.0151647612642905	1.0
GNG8	0.7939339261019563	0.0426728372855764	0.0156422326832548	1.0
IFT140	0.7874787288635788	0.0492303605825205	0.0164021519838601	1.0
USP9Y	0.7827176409224765	0.0844212700846089	0.017121721587088	1.0
RANGAP1	0.7724410329436932	0.0444997023187101	0.0186213853396099	1.0
PRKCA	0.7675664574498986	0.0707453214872777	0.0193006052454606	1.0
CDK18	0.757063395429893	0.0557424307795343	0.020773369199731	1.0
ZNF681	0.7570451226542853	0.0660688715966197	0.0207800941492938	1.0
FBXL22	0.7471106505244499	0.0769818800668606	0.022151983860121	1.0
NPAS2	0.7419630767279983	0.0830729351326096	0.0229993275050437	1.0
DEPDC7	0.741048869516622	0.100559510649785	0.0231069266980497	1.0
MCF2L	0.7381020314671553	0.0912558901190182	0.0236650975117686	1.0
ACVR2B	0.7347565527313166	0.1020580039926751	0.0243106926698049	1.0
FAM117B	0.7296368041302675	0.0628434604700449	0.0252118359112306	1.0
ZNF225	0.7144364059398435	0.0826120424825233	0.0288702084734364	1.0
BARX2	0.7105120958093821	0.0281368904912073	0.030329522528581	1.0
LY75	0.7006107150746579	0.1125752618532033	0.032871553463349	1.0
ADAM23	0.6825137882477268	0.0421043328299728	0.0377807666442501	1.0
DPH5	0.6788954823683313	0.1344417428120295	0.0387155346334902	1.0
SAXO2	0.6758646175417183	0.1045216784843774	0.0396570275722932	1.0
MTMR4	0.6696241096174002	0.1415368418991356	0.0413046402151983	1.0
SLC34A2	0.6642006583548635	0.072322396710225	0.0427639542703429	1.0
PAXBP1	0.661215701981556	0.1177646679657647	0.0434633490248823	1.0
UNC119	0.6592387586879093	0.1445974290809147	0.0440013449899125	1.0
ARHGEF4	0.6559791734375748	0.2353306919627078	0.0448957632817753	1.0
STXBP1	0.6486351407821347	0.1131385797054464	0.0468258238063214	1.0
SETD7	0.6460430660645692	0.1363374095544208	0.0476395427034297	1.0
HSPA1L	0.6406920602757764	0.1066406957017417	0.049166106254203	1.0
RAB13	0.630888812125759	0.1203773763760899	0.0519031607262945	1.0
ANKEF1	0.628025679966655	0.3506290718103964	0.0527908540685944	1.0
LEF1	0.6252415295233991	0.1129546818202914	0.0535305985205111	1.0
ADAMDEC1	0.6208383306812618	0.1205362046370589	0.0549092131809011	1.0
ZNF516	0.609878352808387	0.3868639456882346	0.0582111634162743	1.0
SERF1B	0.6072989179379774	0.0817586391672731	0.0589912575655682	1.0
MBLAC1	0.604394295559497	0.1334494249131702	0.0598453261600538	1.0
BOLA1	0.5877757479638138	0.2847763611818648	0.0651109616677874	1.0
CTSW	0.5871160800976117	0.1041514062962856	0.0653059852051109	1.0
ZNF33B	0.56800368663054	0.1120508562267572	0.0714391392064559	1.0
MYOT	0.5640694981569452	0.0945414181777448	0.0727841291190316	1.0
GOLGA7B	0.5546090457628811	0.1360953074142693	0.0759852051109616	1.0
GRIP1	0.5358387393689924	0.1974701556557448	0.0821587088096839	1.0
NCAPH2	0.5243409930250108	0.2183994642805787	0.0863012777404169	1.0
MS4A2	0.5225171837437748	0.2384357277587964	0.0869334229993275	1.0
VSIG1	0.5040308035144729	0.1145254481370265	0.0935642232683254	1.0
SQLE	0.5017363670606233	0.2938569127001162	0.0943577673167451	1.0
DDX39A	0.4795475128094547	0.1531496729305241	0.1032078009414929	1.0
PIM2	0.470946960996753	0.2255946239185654	0.1066240753194351	1.0
SLC18A2	0.4662029601686174	0.3686898685773906	0.1086348352387357	1.0
ADORA2B	0.4624526956208027	0.3326679719553091	0.1103631472763954	1.0
FBXO28	0.457810236134592	0.1286164826385584	0.112320107599193	1.0
RNF144A	0.4575001854117614	0.3136035322105094	0.1124142568930733	1.0
TMEM259	0.4406711849484576	0.2361811610865937	0.1198117014122394	1.0
HSD17B14	0.4359243849136469	0.1293286404332224	0.1221250840618695	1.0
SERPINB5	0.4348356574920979	0.3179733215593883	0.1226025554808338	1.0
EIF1AY	0.42675885168011	0.2309085315014201	0.1266442501681237	1.0
RNASE1	0.4232588359371059	0.1816646988226372	0.1443913920645595	1.0
KEL	0.4232588359371059	0.1816646988226372	0.1443913920645595	1.0
VCAN	0.4210163788363591	0.3863507275034145	0.154310692669805	1.0
TRPV1	0.4179865203241151	0.2609766475585482	0.1557229320780094	1.0
TXK	0.4008175990194815	0.3644848390871527	0.1651311365164761	1.0
TTC14	0.3986769112700378	0.28031086287338	0.1663819771351715	1.0
GOLGA8J	0.3855445825610934	0.3878631845697446	0.1739609952925353	1.0
CHRNA6	0.3763795990107186	0.2216281422215661	0.178836583725622	1.0
EFNA3	0.3754023278472323	0.2690955071235527	0.1794014794889038	1.0
APOM	0.3705774035189996	0.3099909178143962	0.182098184263618	1.0
RAB6B	0.340820683696303	0.2668210626845668	0.1998520511096166	1.0
RIMBP3	0.33904006009803	0.2853658928996935	0.2009482178883658	1.0
ACKR3	0.3332997232214089	0.3530952906915688	0.2045595158036314	1.0
SNTG2	0.3311768506961297	0.2729123839199818	0.2058507061197041	1.0
MYADM	0.3222492015167518	0.1985619274614105	0.211983860121049	1.0
PSMD12	0.3155276685063713	0.3080213229121145	0.2163550773369199	1.0
C11orf95	0.307416441480725	0.3188619559588221	0.2216476126429051	1.0
MYH10	0.3040368453793238	0.1190915704446721	0.2238399462004034	1.0
HSD17B2	0.3025772420112647	0.2933166561939651	0.2249092131809011	1.0
C3orf33	0.2940728504014556	0.2816822875340035	0.2305783456624075	1.0
KCNH4	0.2912404001200075	0.350429104178924	0.2327908540685944	1.0
NME6	0.2869342640955869	0.2955837870329524	0.2359179556153328	1.0
BAG6	0.2535911171830346	0.3561016435073942	0.2615669132481506	1.0
CCDC189	0.2485061598551236	0.3057914001185741	0.2653059852051109	1.0
LRRTM4	0.2433590390114796	0.3707641735360565	0.2694014794889038	1.0
ARHGEF7	0.2385510343561643	0.3706332391071522	0.2731809011432414	1.0
PIM3	0.2375751092666421	0.2986114907270862	0.2742299932750504	1.0
AFF3	0.2350535477610199	0.261587725693543	0.2762609280430397	1.0
LAIR1	0.2332259477185462	0.3000924802156079	0.2776126429051782	1.0
MAP4K3	0.2321534742328728	0.3060664245484059	0.2784868863483524	1.0
ZNF595	0.2315779810822748	0.2916280910989857	0.2790114324142569	1.0
SLC2A14	0.2302789466310035	0.2816363870770954	0.2800672494956288	1.0
ACSL6	0.2285735682394436	0.2921477530956858	0.2815601882985877	1.0
GABPB1	0.2262202057209432	0.1280235518580374	0.2837861466039004	1.0
ZNF883	0.2222609754302657	0.2119956188443043	0.2873839946200403	1.0
RIMBP3B	0.2175972748794526	0.334727425183954	0.2914256893073302	1.0
NMT1	0.2101338869495657	0.2780187998869423	0.2985003362474781	1.0
GPR137B	0.2055233420301774	0.4050043233156995	0.3026698049764627	1.0
ZNF418	0.2037443622350249	0.2757836882735932	0.3042905178211163	1.0
WDR86	0.1954274316063463	0.2290425030153673	0.3123940820443847	1.0
TFDP2	0.1881324474056916	0.287306915001732	0.3193275050437121	1.0
DAXX	0.1878888058684625	0.4091916613062418	0.3195494283792872	1.0
LRRC70	0.1858317566059281	0.2137823501902808	0.3216408876933423	1.0
SLC9A7	0.1824906073435537	0.3157815501861493	0.3252925353059852	1.0
SLC14A1	0.1702408256948848	0.3256326069956426	0.3365366509751177	1.0
GPRC5A	0.1690804645491606	0.3245447458809011	0.3377404169468729	1.0
TYK2	0.1643175029035769	0.3045350335532903	0.342595830531271	1.0
MAGI1	0.1594229498896244	0.3251725792409166	0.347404169468729	1.0
PIANP	0.1589786218371098	0.4262454686700707	0.3477942165433759	1.0
CHN1	0.146999333270984	0.3915494185348936	0.3602017484868863	1.0
ZC3H7A	0.1431347627067664	0.4433299565389828	0.3639071956960323	1.0
PTTG1	0.1430142194807366	0.2960560592937076	0.3640954942837929	1.0
FAM110A	0.1417935964328815	0.3242942071289612	0.3652320107599193	1.0
COL9A2	0.1416449886997407	0.3527866162620089	0.3653732347007397	1.0
NIT2	0.1374635543643076	0.3461372021047446	0.369226630800269	1.0
ICOSLG	0.1371909818406102	0.2655384146553475	0.369448554135844	1.0
WNT10B	0.1299472300978351	0.3078520236402949	0.3765433759246805	1.0
TRIB1	0.1196676721889731	0.328739454945897	0.3868392737054472	1.0
ZBTB22	0.1166093961161983	0.2902763481480768	0.3898117014122394	1.0
ORC6	0.1082800951036874	0.3084135311873697	0.3982716879623403	1.0
PNPLA4	0.0993363193525222	0.2763583985873882	0.4070342972427707	1.0
SLC6A6	0.0945482985403747	0.34584057042315	0.4119771351714862	1.0
ARHGEF40	0.0922938135918322	0.2790832584806453	0.4143241425689307	1.0
CLUH	0.0916171971404538	0.3594365540641057	0.4149293880295898	1.0
MATK	0.089209769720052	0.3606504249703834	0.4174983187626093	1.0
PSD	0.0806324141187139	0.2893066223079357	0.4252252858103564	1.0
IL18	0.0790329205213052	0.3561544300678167	0.4266240753194351	1.0
CAMKK1	0.07646413058316	0.3584145675468955	0.4285272360457297	1.0
SORL1	0.0763107985507779	0.2564263949117626	0.4286415601882986	1.0
TNFRSF25	0.0692105711030669	0.2840125339844087	0.4339071956960322	1.0
CHN2	0.0657578934142001	0.2811217327096628	0.4365568258238063	1.0
F5	0.0585342484647263	0.3044213431103506	0.4415736381977135	1.0
ZBTB47	0.0505311806852232	0.4642031809755444	0.446630800268998	1.0
NKIRAS1	0.0491679904458433	0.3100846324459967	0.4476126429051782	1.0
SH3BP5	0.0482553883674701	0.2841421279439508	0.4482515131136516	1.0
HSPA1B	0.0385471316651062	0.2861000491080961	0.4536852723604573	1.0
CHRD	0.0245988472254109	0.3238012470054326	0.4593275050437121	1.0
AIFM2	-0.0236403468367799	0.3035660848161552	0.4706254203093477	1.0
ZNF749	-0.0289028430873097	0.25105055223297	0.4725016812373907	1.0
CRLF2	-0.0478509703320048	0.2854124253731911	0.4816072629455279	1.0
TRIB3	-0.051259066799505	0.3250360719904306	0.4839273705447209	1.0
GLRX2	-0.0688759458616827	0.3669544331632606	0.4868661735036987	1.0
SLC34A1	-0.0698626453466374	0.2694371078590028	0.4859381304640215	1.0
SLC35F2	-0.0718527117718451	0.3619152988909709	0.4846536650975118	1.0
RNF25	-0.0825352021657618	0.2989378753375269	0.4760860793544048	1.0
ALPK2	-0.0841284419669763	0.3774142011440244	0.4745393409549428	1.0
CD38	-0.0848725007623378	0.2222332296785329	0.4739071956960323	1.0
MSX2	-0.0859696482417204	0.3645853317418488	0.4726227303295225	1.0
MS4A1	-0.0870855668443979	0.3069730094760526	0.4716879623402824	1.0
CAMK1	-0.0873606035363423	0.4112904389718413	0.4713517148621385	1.0
CD4+ in Celiac Disease 2	-0.0941584179732907	0.276502994856194	0.3658767116971737	1.0
KCNN4	-0.0969905428037322	0.1544085416813378	0.4619569603227976	1.0
AOC1	-0.108097935334711	0.3002446226344368	0.4505312710154673	1.0
TRIM66	-0.1094224288318011	0.3581780408624405	0.4488903833221251	1.0
PRELID2	-0.1130389198990397	0.1994167689691931	0.4450033624747814	1.0
IGFBP3	-0.1173177003946294	0.3385631455049295	0.4406186953597848	1.0
C16orf95	-0.1222408767876681	0.3067485736508018	0.4353732347007397	1.0
OAZ3	-0.1361238888740297	0.3525965004249462	0.4213718897108272	1.0
TGM2	-0.1452002920228764	0.2928257200728615	0.4120511096166779	1.0
POU2AF1	-0.1484139849196906	0.3796421204148587	0.4084129119031607	1.0
CEP55	-0.1586746504669503	0.2221537070589589	0.3972763954270343	1.0
C16orf71	-0.1622776236845984	0.3237480218986304	0.3932952252858103	1.0
PTGER2	-0.1664860643377106	0.3098757514898061	0.3886751849361129	1.0
PLCB1	-0.173135660257126	0.2415319753528906	0.3814391392064559	1.0
ZADH2	-0.1742573510593656	0.2535646974346687	0.3801143241425689	1.0
CNTLN	-0.1769488542572676	0.3546265021464219	0.3774983187626092	1.0
INAFM2	-0.1786119454352714	0.319566495096677	0.3759583053127101	1.0
RAPGEF2	-0.2023667852415203	0.3957348768560429	0.3504572965702757	1.0
MISP	-0.2086428006268167	0.3532290388484617	0.3441829186281103	1.0
PZP	-0.2104690299921077	0.4094300216986553	0.3422999327505043	1.0
SH2D1A	-0.2184204978884732	0.4259265960461485	0.3346805648957632	1.0
SPARCL1	-0.2184786836038023	0.2431135028143313	0.3345998655010087	1.0
ZNF628	-0.2226206073165172	0.3082968637433023	0.3309616677874916	1.0
CD68	-0.2240171643656879	0.2822968262256339	0.3297310020174848	1.0
FKBP5	-0.22465086317875	0.3544805716528733	0.3291190316072629	1.0
TRIM34	-0.2371210902167915	0.2284209394253436	0.3178950907868191	1.0
KCTD10	-0.2372514937333182	0.1837913220435324	0.3177942165433759	1.0
USP4	-0.2433336957616665	0.4160559964912445	0.3122864828513786	1.0
LZTS1	-0.2453289238163116	0.2887829853774145	0.3105917955615332	1.0
CATSPERB	-0.2590440876633492	0.3314521880907987	0.298897108271688	1.0
TNFSF8	-0.2615848525864226	0.3249869749620507	0.2967182246133154	1.0
PPARG	-0.2675500432347031	0.3374059239546459	0.2917552118359112	1.0
DUSP4	-0.2795882185455721	0.245525687843609	0.2819435104236718	1.0
IGFLR1	-0.2812771790217169	0.2561384486236797	0.280551445864156	1.0
NFATC2IP	-0.2814895696478863	0.3542918340079916	0.2804102219233356	1.0
CDYL2	-0.2873262604227927	0.2629173443798364	0.2757498318762609	1.0
CENPP	-0.2988372943807997	0.1175355778031256	0.2668123739071957	1.0
NME9	-0.3013745307877369	0.4157864578613033	0.2649831876260928	1.0
MTMR7	-0.3041830857807677	0.2651399577393893	0.2628648285137861	1.0
ZFAND3	-0.3081583934737517	0.3275278548515556	0.260161398789509	1.0
SUV39H2	-0.3169815160405192	0.4352477124174627	0.2537188971082716	1.0
TPSB2	-0.3228280040450655	0.2858282091576629	0.249502353732347	1.0
BBOF1	-0.3280109623548211	0.3544844644895326	0.245689307330195	1.0
ADAM22	-0.337563917263699	0.2888724302393264	0.2389509078681909	1.0
TMX3	-0.34107351390171	0.1787425945109703	0.2366039004707464	1.0
B3GNT8	-0.3584248135214294	0.1910714004932381	0.2253799596503026	1.0
N4BP1	-0.3630827816324326	0.2376868099732184	0.2222663080026899	1.0
TULP2	-0.3918089408263337	0.2128831321402613	0.2041829186281102	1.0
MID1IP1	-0.3948233976027159	0.0938029198496354	0.2022797579018157	1.0
CAPN12	-0.3977187924814894	0.3420816615890057	0.2004303967720242	1.0
HLA-DRB3	-0.3995330132987805	0.2390232525907836	0.1993207800941493	1.0
RPS6KA6	-0.4145335814957069	0.2679121399933257	0.1897444519166106	1.0
CLCN7	-0.4151725982894922	0.2371969251580233	0.1894216543375924	1.0
CDC42BPG	-0.4232588359371003	4.083405305999679e-17	0.1841627437794216	1.0
CXCL2	-0.4232588359371066	4.083405305999679e-17	0.176018829858776	1.0
KCNA6	-0.4232588359371084	0.1816646988226363	0.1690652320107599	1.0
CA8	-0.4232588359371085	0.0	0.1681977135171486	1.0
MYO7A	-0.4297204665355109	0.2384940103137055	0.1546805648957633	1.0
GTPBP1	-0.4335338887718472	0.2153169063013154	0.1526227303295225	1.0
LAMA4	-0.4337715129853458	0.1668716550576644	0.1524209818426362	1.0
LAIR2	-0.4343172945101159	0.2379279691625669	0.1521452589105581	1.0
GBP5	-0.4351647634843357	0.247978905086195	0.1515669132481506	1.0
ZC2HC1A	-0.4389902283557672	0.1994319634308071	0.1495763281775386	1.0
LTK	-0.4406085384997936	0.0754415245372868	0.1485944855413584	1.0
NR3C1	-0.4464685949574863	0.3090086570101186	0.145743106926698	1.0
ST6GALNAC2	-0.4475814283025189	0.0662672534017297	0.1452521856086079	1.0
