	Enrichment	P-Value	Q-Value
HP_DILATATED_INTERNAL_AUDITORY_CANAL	0.8957558188919702	0.1	1.0
COLE_BLOOD_FLUMIST_QUADRIVALENT_AGE_03_17YO_7DY_UP	0.8855469015340366	0.1	1.0
GOBP_HISTONE_H3_K27_TRIMETHYLATION	0.8841304587029416	0.1	1.0
GOBP_VESICLE_TETHERING_TO_GOLGI	0.8778185622248282	0.1	1.0
GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_PEPTIDE_ANTIGEN_VIA_MHC_CLASS_IB	0.8717001520871622	0.1	1.0
GOBP_PYRIMIDINE_NUCLEOBASE_TRANSPORT	0.8472941491279181	0.1	1.0
GOBP_RESPONSE_TO_DIACYL_BACTERIAL_LIPOPEPTIDE	0.8469662316695417	0.1	1.0
IPA_NKX3-1_UP	0.8260206541006014	0.1	1.0
GOMF_LIPOPROTEIN_LIPASE_ACTIVITY	0.8236997646995019	0.1	1.0
HP_AUTOPHAGIC_VACUOLES	0.8128329212112538	0.1	1.0
MIZUKAMI_HYPOXIA_DN	0.8113948234624723	0.1	1.0
GOBP_NEGATIVE_REGULATION_OF_NLRP3_INFLAMMASOME_COMPLEX_ASSEMBLY	0.8113289210123296	0.1	1.0
HP_HAMSTRING_CONTRACTURES	0.8102611637157916	0.1	1.0
GOBP_AGGRESOME_ASSEMBLY	0.808945245454801	0.1	1.0
GOMF_C_PALMITOYLTRANSFERASE_ACTIVITY	0.8082632825187889	0.1	1.0
GOMF_TAP1_BINDING	0.8045903761299861	0.1	1.0
VALK_AML_WITH_T_8_21_TRANSLOCATION	0.8003773550066672	0.1	1.0
GOMF_ACETYLESTERASE_ACTIVITY	0.7995425803847411	0.1	1.0
GOMF_VASCULAR_ENDOTHELIAL_GROWTH_FACTOR_BINDING	0.7971300422060967	0.1	1.0
GOMF_PHOSPHATIDYLINOSITOL_3_5_BISPHOSPHATE_PHOSPHATASE_ACTIVITY	0.7962439872129313	0.1	1.0
BIOCARTA_MSP_PATHWAY	0.7954178410295967	0.1	1.0
HP_LUPUS_ANTICOAGULANT	0.794964487643302	0.1	1.0
GOBP_NEGATIVE_REGULATION_OF_NEUTROPHIL_MIGRATION	0.7939025013995273	0.1	1.0
GOBP_OSSIFICATION_INVOLVED_IN_BONE_REMODELING	0.7904885051215677	0.1	1.0
GOMF_PRIMARY_AMINE_OXIDASE_ACTIVITY	0.7893511337844769	0.1	1.0
GOMF_INOSITOL_HEXAKISPHOSPHATE_5_KINASE_ACTIVITY	0.7891379342254554	0.1	1.0
HP_TYPE_1_FIBERS_RELATIVELY_SMALLER_THAN_TYPE_2_FIBERS	0.7877122069167489	0.1	1.0
HP_RENAL_AMYLOIDOSIS	0.7857659514922066	0.1	1.0
GOBP_PYRIMIDINE_NUCLEOSIDE_TRANSPORT	0.7852270193536401	0.1	1.0
GOMF_URIDINE_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	0.7852270193536401	0.1	1.0
GOMF_ACTIVIN_RECEPTOR_ACTIVITY_TYPE_I	0.7838274818189237	0.1	1.0
GOMF_L_ORNITHINE_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	0.783765166089071	0.1	1.0
HP_EXUDATIVE_VITREORETINOPATHY	0.7835909296647877	0.1	1.0
GOCC_CORTICAL_ENDOPLASMIC_RETICULUM	0.7834890580763022	0.1	1.0
GOBP_HISTONE_DEPHOSPHORYLATION	0.7820577333003816	0.1	1.0
GOMF_PROTEIN_TYROSINE_KINASE_INHIBITOR_ACTIVITY	0.778804459669983	0.1	1.0
GOBP_RESPONSE_TO_IRON_III_ION	0.7753446487944284	0.1	1.0
HP_RECURRENT_THROMBOPHLEBITIS	0.774069582766031	0.1	1.0
GOMF_PHOSPHATIDYLINOSITOL_3_5_BISPHOSPHATE_3_PHOSPHATASE_ACTIVITY	0.7705700978860355	0.1	1.0
BIOCARTA_CTBP1_PATHWAY	0.7651277467992328	0.1	1.0
IPA_CTCF_UP	0.7645306117129043	0.1	1.0
GOBP_TYPE_I_PNEUMOCYTE_DIFFERENTIATION	0.7621657465809368	0.1	1.0
IPA_ZBTB20_UP	0.7617694288965522	0.1	1.0
REACTOME_GRB7_EVENTS_IN_ERBB2_SIGNALING	0.7599232489701416	0.1	1.0
IPA_HDAC6_DN	0.7586117331825735	0.1	1.0
MCBRYAN_TERMINAL_END_BUD_DN	0.7567886462067469	0.1	1.0
GOBP_REGULATION_OF_SREBP_SIGNALING_PATHWAY	0.7566544070843881	0.1	1.0
