	Enrichment	P-Value	Q-Value
IPA_ATF2_DN	0.9186017764555873	0.1	1.0
REACTOME_SUMO_IS_CONJUGATED_TO_E1_UBA2_SAE1	0.8955668975829532	0.1	1.0
GOCC_BRISC_COMPLEX	0.890608333317026	0.1	1.0
GOBP_THYMOCYTE_MIGRATION	0.8434577867474173	0.1	1.0
GOBP_NEGATIVE_REGULATION_OF_TRANSCRIPTION_BY_RNA_POLYMERASE_I	0.8374717707931778	0.1	1.0
GOCC_AIM2_INFLAMMASOME_COMPLEX	0.8311644121883637	0.1	1.0
GOBP_POSITIVE_REGULATION_OF_CELL_CELL_ADHESION_MEDIATED_BY_INTEGRIN	0.8199691319849305	0.1	1.0
IPA_IRF9_DN	0.8133818680546392	0.1	1.0
HP_THYMUS_HYPERPLASIA	0.8109108031750268	0.1	1.0
GOBP_POSITIVE_REGULATION_OF_FC_GAMMA_RECEPTOR_SIGNALING_PATHWAY_INVOLVED_IN_PHAGOCYTOSIS	0.8075175575425252	0.1	1.0
GOBP_DNA_ENDOREDUPLICATION	0.8066437644456661	0.1	1.0
IPA_POU2F2_DN	0.806345371396101	0.1	1.0
HP_PARTIAL_DUPLICATION_OF_THE_DISTAL_PHALANGES_OF_THE_HAND	0.8039017827111024	0.1	1.0
IPA_RFXANK_UP	0.8027341013822369	0.1	1.0
CHUANG_OXIDATIVE_STRESS_RESPONSE_DN	0.7958497239589655	0.1	1.0
BIOCARTA_SUMO_PATHWAY	0.7919170230372343	0.1	1.0
IPA_MEIS2_UP	0.786594688513716	0.1	1.0
MONTERO_THYROID_CANCER_POOR_SURVIVAL_UP	0.7844578388333808	0.1	1.0
BIOCARTA_KREB_PATHWAY	0.7819707570484029	0.1	1.0
HP_SPOTTY_HYPOPIGMENTATION	0.7781122293133038	0.1	1.0
HP_ABNORMAL_JEJUNUM_MORPHOLOGY	0.7759838546922142	0.1	1.0
HP_JEJUNAL_ATRESIA	0.7759316561280446	0.1	1.0
GOMF_HISTONE_METHYLTRANSFERASE_ACTIVITY_H3_K27_SPECIFIC	0.7746621744221063	0.1	1.0
HP_AGENESIS_OF_MAXILLARY_INCISOR	0.7724065239371024	0.1	1.0
HP_BICORONAL_SYNOSTOSIS	0.7703022482353592	0.1	1.0
GOBP_REGULATION_OF_CD8_POSITIVE_ALPHA_BETA_T_CELL_DIFFERENTIATION	0.7693777360726387	0.1	1.0
GOBP_REGULATION_OF_FC_GAMMA_RECEPTOR_SIGNALING_PATHWAY_INVOLVED_IN_PHAGOCYTOSIS	0.768248272604691	0.1	1.0
CROSBY_E2F4_TARGETS	0.766318410753079	0.1	1.0
GOBP_POSITIVE_REGULATION_OF_MICROTUBULE_NUCLEATION	0.7652867551836764	0.1	1.0
GOCC_IPAF_INFLAMMASOME_COMPLEX	0.7646984731558247	0.1	1.0
HP_NEVUS_FLAMMEUS_OF_THE_FOREHEAD	0.761757327670946	0.1	1.0
HP_IMBALANCED_HEMOGLOBIN_SYNTHESIS	0.7613858055835673	0.1	1.0
GOMF_CCR1_CHEMOKINE_RECEPTOR_BINDING	0.7609982510426015	0.1	1.0
GOBP_POSITIVE_REGULATION_BY_SYMBIONT_OF_ENTRY_INTO_HOST	0.758201205516047	0.1	1.0
BIOCARTA_TCAPOPTOSIS_PATHWAY	0.7580989755285865	0.1	1.0
HP_DEEP_SET_NAILS	0.7535755901549063	0.1	1.0
GOBP_POSITIVE_REGULATION_OF_FC_RECEPTOR_MEDIATED_STIMULATORY_SIGNALING_PATHWAY	0.751277725718249	0.1	1.0
GOBP_REGULATION_OF_FC_RECEPTOR_MEDIATED_STIMULATORY_SIGNALING_PATHWAY	0.7498915454433076	0.1	1.0
HP_APLASIA_HYPOPLASIA_INVOLVING_THE_MUSCULATURE_OF_THE_UPPER_LIMBS	0.749831831023751	0.1	1.0
GOBP_REGULATION_OF_EOSINOPHIL_MIGRATION	0.7488221537240866	0.1	1.0
GOBP_MEIOTIC_MISMATCH_REPAIR	0.7470080437298918	0.1	1.0
REACTOME_G2_M_DNA_REPLICATION_CHECKPOINT	0.7447023208880479	0.1	1.0
GOMF_PROTEIN_PHOSPHATASE_2B_BINDING	0.7437166142767844	0.1	1.0
HP_ABNORMAL_VESTIBULO_OCULAR_REFLEX	0.743634066177227	0.1	1.0
WP_DUAL_HIJACK_MODEL_OF_VIF_IN_HIV_INFECTION	0.7428137766984582	0.1	1.0
HP_ABNORMALITY_OF_DERMAL_MELANOSOMES	0.7413561146239073	0.1	1.0
HP_ABNORMAL_MITOCHONDRIAL_NUMBER	0.7396067341955715	0.1	1.0
GOMF_HEMOGLOBIN_ALPHA_BINDING	0.7395896400941958	0.1	1.0
IPA_STAT4_DN	0.7381964774198884	0.1	1.0
HP_OLIGURIA	0.7381913605168444	0.1	1.0
HP_NARROW_FORAMEN_OBTURATORIUM	0.7380423814329934	0.1	1.0
GOBP_POSITIVE_REGULATION_OF_MAINTENANCE_OF_SISTER_CHROMATID_COHESION	0.7374018903266079	0.1	1.0
GOBP_REGULATION_OF_NK_T_CELL_PROLIFERATION	0.7373831729204341	0.1	1.0
GOBP_POSITIVE_REGULATION_OF_RETINOIC_ACID_RECEPTOR_SIGNALING_PATHWAY	0.7369714329742499	0.1	1.0
GOMF_DEOXYCYTIDINE_DEAMINASE_ACTIVITY	0.7323163967520071	0.1	1.0
GOBP_POSITIVE_REGULATION_OF_SENSORY_PERCEPTION_OF_PAIN	0.7314813515137902	0.1	1.0
REACTOME_ACTIVATION_OF_CASPASES_THROUGH_APOPTOSOME_MEDIATED_CLEAVAGE	0.7306797240116694	0.1	1.0
HP_PERIANAL_ABSCESS	0.7291624621594971	0.1	1.0
GOMF_SMALL_PROTEIN_ACTIVATING_ENZYME_BINDING	0.7284224688867285	0.1	1.0
HP_SCLEROSING_CHOLANGITIS	0.7271571399769938	0.1	1.0
HP_MULTIPLE_EXOSTOSES	0.726693790176104	0.1	1.0
HP_SILVER_GRAY_HAIR	0.7264836478030667	0.1	1.0
GOMF_ANAPHASE_PROMOTING_COMPLEX_BINDING	0.7257177793543439	0.1	1.0
GOBP_REGULATION_OF_MICROTUBULE_NUCLEATION	0.725449462644694	0.1	1.0
IPA_PLAGL1_UP	0.7250674124374776	0.1	1.0
GOBP_REGULATION_OF_MAINTENANCE_OF_SISTER_CHROMATID_COHESION	0.7238097854727861	0.1	1.0
GOMF_CALMODULIN_DEPENDENT_PROTEIN_PHOSPHATASE_ACTIVITY	0.7237148089777815	0.1	1.0
HP_LOW_LEVELS_OF_VITAMIN_B1	0.7228902653297714	0.1	1.0
