	Score	MoE	P-Value	Q-Value
ERAP2	2.60562418174346	0.5157880921591457	0.0001546738399462004	0.8997589900633705
APIP	2.3923740115512713	0.12079924736762794	0.00026227303295225284	0.9797631325019241
TBCA	2.2085466718268467	0.14808441370724687	0.0003564223268325488	0.9950095628704183
SLC9A3R1	2.087678128930902	0.35266820908373836	0.00045057162071284466	0.998769282380213
NCF2	2.0498006815092213	0.31700201522954347	0.0004707464694014795	0.9990879034439901
HLA-A	2.031778835538727	0.05889230458439221	0.0005110961667787492	0.9994992415422214
APMAP	1.8671676818365284	0.5572648132394918	0.0007464694014794889	0.9999848826048295
VEGFB	1.7222052563427273	0.35110270520348946	0.0009213180901143242	0.9999988773995219
LIMS2	1.7148183056298736	0.2405713518631429	0.0009347679892400807	0.9999990801167229
CD3E	1.6987429563487355	0.25479271118443597	0.000941492938802959	0.9999991669041725
LRRC37A	1.6478646724993367	0.039495179772945026	0.0010087424344317419	0.9999996933252645
MSC	1.6052408703190815	0.3665252482308727	0.0011566913248150638	0.9999999660108423
MYL12B	1.5510855490859798	0.12056029363887409	0.0013113651647612642	0.9999999965916935
LYSMD2	1.5435173958357944	0.2546168073794263	0.0013382649630127774	0.9999999977127567
RP9	1.511052475079923	0.29396632575121856	0.0014862138533960996	0.9999999997464897
EIF4EBP1	1.5060794437585758	0.4503951709921921	0.001499663752521856	0.9999999997921545
ST6GALNAC1	1.469800386234004	0.13432699329728612	0.0016543375924680565	0.9999999999791545
FAM110A	1.4686086324572445	0.34973934760477254	0.0016610625420309347	0.9999999999811079
CD2	1.468155798893163	0.3969469134475692	0.0016610625420309347	0.9999999999811079
MIS18A	1.4594505442587256	0.11257826936421533	0.0016946872898453262	0.9999999999885055
ZCRB1	1.4186478452120248	0.1554387414929925	0.001882985877605918	0.9999999999993007
SPINK2	1.3509189582516528	0.29302393334042426	0.002273032952252858	0.9999999999999979
CCL4	1.3440496112571503	0.643496872860908	0.0022797579018157365	0.9999999999999981
BEX3	1.2879863930347053	0.1679527986331791	0.002582380632145259	1.0
PPIL1	1.267506558350391	0.3408759504392375	0.0027639542703429723	1.0
PEX11B	1.264871958360469	0.20984954607023595	0.0028043039677202422	1.0
PSME1	1.2507100695234232	0.07738264599961962	0.0028917283120376597	1.0
SQOR	1.2397946162709532	0.3946492629633936	0.003019502353732347	1.0
ZWINT	1.232247568477348	0.19517468853959685	0.0030531271015467386	1.0
VBP1	1.2293257566844684	0.22889154077579102	0.0030867518493611296	1.0
DDX11	1.2055676934097685	0.05643906587436168	0.0033624747814391394	1.0
TFG	1.1885441139638853	0.4504637004857355	0.0035440484196368528	1.0
CALHM6	1.1838107581455155	0.2705505448633286	0.0035843981170141223	1.0
