	Score	MoE	P-Value	Q-Value
MODULE_305	0.9210740398855772	0.0012668060173298193	0.0006989689417420457	0.9999999997483124
MORF_MAP2K7	0.9000135619751195	0.013600789026033731	0.003852236068062496	1.0
MODULE_495	0.8978470019709268	0.012986361716922938	0.004171674362704788	1.0
MODULE_403	0.8852351153069056	0.019491063330704658	0.006357138338920868	1.0
MODULE_165	0.8788367392272962	0.0032364107491802837	0.007438800683155165	1.0
MODULE_221	0.8498361331957773	0.0241712115542663	0.012894553735214118	1.0
MODULE_184	0.8303242376444169	0.016635701010200257	0.01663293060914669	1.0
GNF2_FOS	0.825757147744422	0.04054246394644315	0.017376178126383705	1.0
MODULE_458	0.8009920913676001	0.05395205606584627	0.022129799481308117	1.0
GNF2_MKI67	0.7900629320318522	0.0705356485236346	0.024425959896261625	1.0
GCM_HMGA2	0.7835130966677524	0.09126105775552833	0.025744828894933267	1.0
GNF2_CD14	0.7409814253389972	0.054408038101845295	0.03589411094945917	1.0
MORF_CTSB	0.7325284020133026	0.08244024979020657	0.038145992788917706	1.0
MORF_THPO	0.7302536811436138	0.09966924554918048	0.03870263773799734	1.0
MODULE_153	0.7294253731638438	0.08659878275276432	0.03898412296792966	1.0
MORF_MAGEA8	0.728900275237464	0.10453552098828085	0.039110633183629576	1.0
MODULE_396	0.7254047357423605	0.07565656145910639	0.040100575621481435	1.0
GCM_TEC	0.7165870359376041	0.09697624861318103	0.04275729015117971	1.0
MORF_THRA	0.7090463954074566	0.0745697162180025	0.045100891897020684	1.0
GNF2_GSTM1	0.6898460047741799	0.0684065260022135	0.051375798595736606	1.0
MODULE_522	0.6850110641377012	0.08816612367703325	0.053080523752292996	1.0
MORF_CAMK4	0.6810087148026497	0.13893233474808084	0.054427857549497125	1.0
MODULE_385	0.680876460303028	0.07273489685497989	0.05450060092352457	1.0
MORF_TTN	0.6706591407801352	0.09947156484444447	0.058118793092542226	1.0
MODULE_234	0.669560457821671	0.05538650872147477	0.058473021696501995	1.0
MORF_IL4	0.6694037628651521	0.1477697983345095	0.05852362578278196	1.0
MODULE_214	0.6564719466036997	0.12299320183631059	0.06316655069896894	1.0
GNF2_LCAT	0.6529850171465522	0.07252110803176161	0.06456765133784553	1.0
MODULE_372	0.6456198240772931	0.06915377373893844	0.0672370168891138	1.0
MODULE_366	0.6340759937986027	0.13668803586289596	0.07143083053956607	1.0
MODULE_397	0.6257683540961266	0.30910719206624143	0.07467581757226896	1.0
MODULE_451	0.6234949433979899	0.3956825444960388	0.07543804162186096	1.0
MORF_IFNA1	0.6201733198567827	0.10568592283570094	0.07684546777152255	1.0
GNF2_PTX3	0.6083955670863345	0.21095714955788522	0.0815389967739895	1.0
MORF_FSHR	0.6026698554371217	0.07853066281280859	0.08391106331836296	1.0
GNF2_HPX	0.6010036263730769	0.06877082253693963	0.08450566133215257	1.0
MODULE_272	0.590244522112013	0.2916404426147748	0.08920551584540452	1.0
GNF2_HPN	0.5886503750508526	0.06984014506924831	0.08992346131950155	1.0
MORF_CD8A	0.5886004349710254	0.18327451723004518	0.08996141438421153	1.0
MORF_SUPT3H	0.5740800319556014	0.07007950661721275	0.09644506293883232	1.0
GNF2_CDKN1C	0.556843874514258	0.27065376676294023	0.10442785754949713	1.0
GNF2_DNM1	0.5559447461526975	0.07549475581403263	0.10485166677209184	1.0
MODULE_274	0.5488388228789353	0.24087163957536192	0.10839711556708204	1.0
GNF2_CD33	0.5432536939611982	0.2492828463723642	0.11112657347080777	1.0
MODULE_210	0.5379150021387953	0.3049402205257693	0.11404579669808337	1.0
MODULE_284	0.5348533312902884	0.17325532708940813	0.11569359225757479	1.0
GCM_PRKAG1	0.5343286452726214	0.3431901731296115	0.11594344993358213	1.0
GNF2_PRDX2	0.5293477416832391	0.24333962204593296	0.118476817002973	1.0
MORF_PDCD1	0.529032383150119	0.2884286135594599	0.1186159782402429	1.0
GNF2_SPTA1	0.5130954207752785	0.2860320900520662	0.1265861218293377	1.0
MODULE_295	0.5127426625941892	0.39158707625515815	0.1267695616421026	1.0
MODULE_199	0.5125728896867728	0.39304992959487617	0.12683281674995256	1.0
MORF_MAGEA9	0.5056810438131588	0.30697897333261237	0.13063761148712758	1.0
GCM_DDX11	0.49065684154666644	0.2904409188231488	0.13919602757922703	1.0
GNF2_TST	0.48482632660195724	0.08288736855362487	0.1426434309570498	1.0
GNF2_RAB3A	0.4839465742023347	0.13725897778659846	0.14314630906445697	1.0
GNF2_IGF1	0.4837626198131508	0.103263460037941	0.1432380289708394	1.0
MODULE_146	0.4829321201936452	0.11033068360954018	0.14369979125814408	1.0
MODULE_514	0.48059831371646966	0.12440306115481027	0.14515465873869315	1.0
MODULE_448	0.4683834945138836	0.25657562083923235	0.15295401353659308	1.0
MODULE_377	0.4650454909924837	0.21642886936089686	0.15524068568536908	1.0
MODULE_67	0.4643510848257707	0.2354599264258291	0.15566133215257133	1.0
GNF2_MYL2	0.4612446603630111	0.08629630181218745	0.1578404706180024	1.0
MORF_KDR	0.45585776972717085	0.18130247084250625	0.16174647352773736	1.0
MORF_CCNF	0.4518976005591654	0.2868626092798317	0.16453602378392054	1.0
CAR_HPX	0.44646842923721464	0.10212104209736848	0.16849895629072048	1.0
MODULE_172	0.4371207310511875	0.34881988287241855	0.1763141248655829	1.0
MODULE_134	0.43549954875862734	0.33901907469226217	0.17761718008729205	1.0
CAR_IGFBP1	0.43319608153184386	0.08716541568213415	0.1795432981213233	1.0
GNF2_MAPT	0.4304436834050727	0.09148207787559409	0.18169713454361439	1.0
MODULE_297	0.4295276382774315	0.22189251566596943	0.1824656841039914	1.0
MODULE_357	0.4287686429923842	0.1794539171947184	0.18316149029034096	1.0
MODULE_326	0.42867156306877513	0.10471926336300408	0.1832468846859384	1.0
GCM_PTPRU	0.4249986428100484	0.2712447956606677	0.18640964007843633	1.0
MODULE_71	0.4239197458289767	0.13529540448038732	0.18736795496236322	1.0
MORF_FLT1	0.4209485010412494	0.3468605579387309	0.18988234549939909	1.0
