	Score	MoE	P-Value	Q-Value
GOBP_OSSIFICATION_INVOLVED_IN_BONE_REMODELING	0.926156358492223	0.0008376861171362338	0.00010753368334493011	0.9666328307954815
GOBP_REGULATION_OF_IRON_ION_TRANSMEMBRANE_TRANSPORT	0.926084582944228	0.0008239766743503024	0.00010753368334493011	0.9666328307954815
GOMF_ARACHIDONATE_COA_LIGASE_ACTIVITY	0.9214028259867897	0.001366131188092282	0.0006483648554620786	0.9999999987540976
GOBP_PROTEIN_KINASE_C_ACTIVATING_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	0.9199295481863949	0.0023127401010576594	0.0008476184451894491	0.999999999997709
HP_METHYLMALONIC_ACIDURIA	0.919830145825329	0.0008315303748060058	0.0008539439559744449	0.9999999999981228
GOBP_DOLICHOL_METABOLIC_PROCESS	0.9190021154004974	0.003299870975027285	0.0009361755961793915	0.9999999999998603
GOBP_NEURON_RECOGNITION	0.9185713357420826	0.0033765079384753417	0.0009804541716743626	0.9999999999999655
HP_ABNORMAL_LIVER_PARENCHYMA_MORPHOLOGY	0.9184697662333898	0.0021653881941113237	0.0010025934594218484	0.9999999999999829
GOMF_CYTOSKELETAL_ANCHOR_ACTIVITY	0.9161641692176931	0.002030183173904248	0.0013979378834840914	1.0
GOBP_ALDITOL_BIOSYNTHETIC_PROCESS	0.9161264753004046	0.004028749405392948	0.001410588905054083	1.0
GOCC_ENDOPLASMIC_RETICULUM_CHAPERONE_COMPLEX	0.9154843385755254	0.0045383472981943	0.001527610854576507	1.0
GOBP_OLIGODENDROCYTE_DIFFERENTIATION	0.9153941893904207	0.004064019067881162	0.0015339363653615028	1.0
GOBP_GLYCOPROTEIN_BIOSYNTHETIC_PROCESS	0.9139466801364893	0.005285455331007528	0.0017490037320513632	1.0
GOBP_CHANGES_TO_DNA_METHYLATION_INVOLVED_IN_EMBRYO_DEVELOPMENT	0.9108567771414371	0.003047999470542276	0.002267695616421026	1.0
HP_ABNORMAL_PUPILLARY_LIGHT_REFLEX	0.9103988814247692	0.0017858330287081113	0.0023436017458409765	1.0
GOMF_OXIDOREDUCTASE_ACTIVITY_ACTING_ON_THE_CH_NH_GROUP_OF_DONORS	0.9088887672740603	0.001433567468820428	0.002561831867923335	1.0
GOBP_PROTEIN_O_LINKED_GLYCOSYLATION	0.9019272343538037	0.005343186726513886	0.003570750838130179	1.0
HP_Y_SHAPED_METACARPALS	0.9017809882490972	0.008879926561181415	0.0035992156366626603	1.0
GOBP_EXTRACELLULAR_MATRIX_ASSEMBLY	0.9010955097254567	0.011555875456900238	0.0037194003415775825	1.0
GOBP_PROTEIN_O_LINKED_FUCOSYLATION	0.9006548648313399	0.0062175873749129446	0.0037478651401100637	1.0
GOBP_PROTEIN_POLY_ADP_RIBOSYLATION	0.9000669014070163	0.006178537556085419	0.003842747801885002	1.0
GOBP_BONE_MATURATION	0.8994461193235304	0.013784710836193452	0.003966095262192422	1.0
GOBP_BEHAVIORAL_RESPONSE_TO_NICOTINE	0.8984515091521694	0.005475205437018772	0.004070466190144854	1.0
GOMF_DICARBOXYLIC_ACID_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	0.8957664126393861	0.015350380104982103	0.004500600923524575	1.0
GOBP_VERY_LONG_CHAIN_FATTY_ACID_METABOLIC_PROCESS	0.8951878597524333	0.007211988771309334	0.004614460117654501	1.0
GOCC_PRERIBOSOME_SMALL_SUBUNIT_PRECURSOR	0.8950527507868813	0.010465188262627143	0.004623948383831994	1.0
HP_MASTOIDITIS	0.8934010241946363	0.008904945875087326	0.0048801315706243275	1.0
HP_INSULIN_RESISTANCE	0.8928866579052289	0.00530339732785133	0.004968688721614271	1.0
GOMF_RNA_DEPENDENT_ATPASE_ACTIVITY	0.8920353028875538	0.008838658345665057	0.0051426402682016575	1.0
GOBP_REGULATION_OF_DNA_DEPENDENT_DNA_REPLICATION	0.8909434418492016	0.014134553644617819	0.005392497944208995	1.0
HP_ABNORMAL_GLOMERULAR_FILTRATION_RATE	0.8907365434902252	0.019828632737288656	0.0054209627427414765	1.0
HP_RETINAL_FLECKS	0.8902772835839924	0.006422984041944007	0.005503194382946423	1.0
GOBP_PROLINE_METABOLIC_PROCESS	0.8886656056521525	0.02702714131996863	0.0058068189006262256	1.0
GOMF_SERINE_TYPE_EXOPEPTIDASE_ACTIVITY	0.8886650687746916	0.026942411511027973	0.0058068189006262256	1.0
GOBP_REGULATION_OF_ATP_BIOSYNTHETIC_PROCESS	0.8876136628717792	0.008845715408172373	0.005996584224176102	1.0
GOMF_MICROTUBULE_SEVERING_ATPASE_ACTIVITY	0.8874607861284811	0.007955914660320319	0.006009235245746094	1.0
GOBP_PHOTORECEPTOR_CELL_MAINTENANCE	0.8872311528186821	0.005165909894003704	0.006059839332026061	1.0
GOMF_CALMODULIN_DEPENDENT_PROTEIN_PHOSPHATASE_ACTIVITY	0.8864208764409118	0.015429640184100335	0.00619900056929597	1.0
GOBP_NUCLEOSIDE_TRIPHOSPHATE_BIOSYNTHETIC_PROCESS	0.8862282221906778	0.019923422301458635	0.006240116389398444	1.0
HP_EXTERNAL_EAR_MALFORMATION	0.8852249235514492	0.023446764487982084	0.006357138338920868	1.0
HP_ANHIDROSIS	0.8844432837895951	0.021632200209748712	0.0064615092668733	1.0
HP_DIMPLE_CHIN	0.884186158042343	0.028122002507562856	0.006512113353153267	1.0
GOMF_OXIDOREDUCTASE_ACTIVITY_ACTING_ON_THE_CH_NH_GROUP_OF_DONORS_NAD_OR_NADP_AS_ACCEPTOR	0.883549471697165	0.011933541639216073	0.006613321525713201	1.0
HP_ABNORMAL_DELIVERY	0.8821428761783945	0.005587552346370944	0.006834714403188057	1.0
GOBP_ASPARAGINE_METABOLIC_PROCESS	0.8794393080214892	0.016679220107356885	0.0073249414890252385	1.0
GOBP_POSITIVE_REGULATION_OF_ACTIN_FILAMENT_BUNDLE_ASSEMBLY	0.8777387319203807	0.027001133919690754	0.007612752229742552	1.0
HP_ABNORMALITY_OF_DENTAL_COLOR	0.8773314714234683	0.014429500217645263	0.007650705294452527	1.0
HP_PIGMENTARY_RETINOPATHY	0.8763025282701155	0.03370886066828012	0.007872098171927383	1.0
GOBP_COMPLEMENT_ACTIVATION_LECTIN_PATHWAY	0.8757158916190226	0.031330592759436414	0.00798595736605731	1.0
GOBP_POSITIVE_REGULATION_OF_ENDOPLASMIC_RETICULUM_STRESS_INDUCED_INTRINSIC_APOPTOTIC_SIGNALING_PATHWAY	0.875452561039133	0.018672854680574846	0.008036561452337276	1.0
HP_INCREASED_SERINE_FAMILY_AMINO_ACID_IN_URINE	0.8745384548519306	0.003929614060129642	0.008210512998924663	1.0
HP_FASTING_HYPOGLYCEMIA	0.8744787791046255	0.02550702488029064	0.008220001265102157	1.0
GOBP_GLYCOSYLATION	0.8744069390772341	0.013448512934174643	0.008238977797457145	1.0
HP_FASTING_HYPERINSULINEMIA	0.8739367264241171	0.01653921859418656	0.008355999746979568	1.0
GOBP_DOLICHYL_DIPHOSPHATE_BIOSYNTHETIC_PROCESS	0.8736015487098343	0.016489012979548533	0.008441394142577012	1.0
