	Score	MoE	P-Value	Q-Value
HALLMARK_KRAS_SIGNALING_DN	0.7697053695719652	0.05595714276891447	0.029103675121766082	1.0
HALLMARK_KRAS_SIGNALING_UP	0.669832191284627	0.03729266837980293	0.058362325257764566	1.0
HALLMARK_IL2_STAT5_SIGNALING	0.5739335304949935	0.1134558012370615	0.09650831804668226	1.0
HALLMARK_CHOLESTEROL_HOMEOSTASIS	0.3989580665579681	0.36913565970292633	0.21021253716237587	1.0
HALLMARK_APICAL_JUNCTION	0.37829560618846614	0.12604312054063008	0.23119109368081472	1.0
HALLMARK_COAGULATION	0.37796307961699394	0.37961842435504795	0.2315200202416345	1.0
HALLMARK_BILE_ACID_METABOLISM	0.3759971232382297	0.39819101963164477	0.23361060155607566	1.0
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	0.3307453014719046	0.3686015670940545	0.2787589347839838	1.0
HALLMARK_XENOBIOTIC_METABOLISM	0.3102159905394201	0.35345681109535204	0.2987317350876083	1.0
HALLMARK_ESTROGEN_RESPONSE_LATE	0.3047244220196951	0.36949806397451135	0.30425390600290975	1.0
HALLMARK_MYC_TARGETS_V2	0.30017681260577767	0.34632005765666946	0.3085868808906319	1.0
HALLMARK_HEDGEHOG_SIGNALING	0.22586546728624216	0.2745315143132562	0.38068505281801507	1.0
HALLMARK_PANCREAS_BETA_CELLS	0.21997556834435608	0.2622894415010139	0.38670693908533116	1.0
HALLMARK_ESTROGEN_RESPONSE_EARLY	0.2118871489610285	0.33703164745536673	0.39567651337845533	1.0
HALLMARK_FATTY_ACID_METABOLISM	0.1975031087833092	0.3010129629926611	0.41131633879435764	1.0
HALLMARK_NOTCH_SIGNALING	0.17573350732681808	0.3938397461436756	0.43550509203618193	1.0
HALLMARK_HEME_METABOLISM	0.15825400932456168	0.33593035845294944	0.45452590296666456	1.0
HALLMARK_GLYCOLYSIS	0.14084234993405925	0.2504966723958542	0.4725820735024353	1.0
HALLMARK_E2F_TARGETS	0.12498567914916531	0.310396435500353	0.48887342652919225	1.0
HALLMARK_MYOGENESIS	0.06682495000750756	0.3094118324791201	0.46050351065848566	1.0
HALLMARK_APICAL_SURFACE	0.06122845867052082	0.280467010737734	0.4566860648997407	1.0
HALLMARK_PROTEIN_SECRETION	0.04014076448224075	0.3136420894256525	0.4446422923651085	1.0
HALLMARK_TGF_BETA_SIGNALING	-0.05175690758516419	0.3040825893647175	0.4182522613701056	1.0
HALLMARK_SPERMATOGENESIS	-0.12801720906174258	0.4009114288123316	0.3605983933202606	1.0
HALLMARK_PEROXISOME	-0.17900860696162926	0.29324918950363327	0.31347333797204124	1.0
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	-0.2154849887700238	0.35906050179280413	0.28063761148712757	1.0
HALLMARK_MITOTIC_SPINDLE	-0.2714124204409374	0.26805258397139814	0.23838003668796257	1.0
HALLMARK_G2M_CHECKPOINT	-0.2806548259238573	0.2665674843184713	0.23208299070149915	1.0
HALLMARK_ANGIOGENESIS	-0.2842044897973671	0.287928355585321	0.22970459864634069	1.0
HALLMARK_APOPTOSIS	-0.3139584386746864	0.13061054173304096	0.2092384085014865	1.0
HALLMARK_DNA_REPAIR	-0.3421513481150184	0.2844625475086384	0.18887026377379973	1.0
HALLMARK_MYC_TARGETS_V1	-0.4107322051126353	0.2532251552818343	0.13442026693655512	1.0
HALLMARK_INTERFERON_ALPHA_RESPONSE	-0.423964237113393	0.13920898585657368	0.12516288190271366	1.0
HALLMARK_WNT_BETA_CATENIN_SIGNALING	-0.43660292041892274	0.2273448446369302	0.11713897147194637	1.0
HALLMARK_INFLAMMATORY_RESPONSE	-0.4434937715890215	0.1853003876490318	0.11286608893668164	1.0
HALLMARK_PI3K_AKT_MTOR_SIGNALING	-0.4456478007580688	0.2517997287714849	0.11166740464292492	1.0
HALLMARK_INTERFERON_GAMMA_RESPONSE	-0.466535254602737	0.08494983155019475	0.10083813017901196	1.0
HALLMARK_ALLOGRAFT_REJECTION	-0.47372127446639745	0.08964631033714386	0.09762793345562654	1.0
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	-0.48377535419061035	0.07498650933028664	0.0935290024669492	1.0
HALLMARK_ANDROGEN_RESPONSE	-0.5482932576793926	0.20575423387088843	0.07050414320956418	1.0
HALLMARK_IL6_JAK_STAT3_SIGNALING	-0.5830701012664256	0.08536968540556715	0.06022835093933835	1.0
HALLMARK_P53_PATHWAY	-0.592832297935832	0.05074030854885162	0.05747675374786514	1.0
HALLMARK_UV_RESPONSE_UP	-0.6793402145138797	0.14040495176788223	0.03561895123031185	1.0
HALLMARK_OXIDATIVE_PHOSPHORYLATION	-0.6896369363560783	0.06622562838413572	0.03315516477955595	1.0
HALLMARK_MTORC1_SIGNALING	-0.7016514299199126	0.08406104363203892	0.03049212473907268	1.0
HALLMARK_TNFA_SIGNALING_VIA_NFKB	-0.7064790051296899	0.10014639529052949	0.029344044531595927	1.0
HALLMARK_COMPLEMENT	-0.7159537325202653	0.1098300871028259	0.02727876526029477	1.0
HALLMARK_UV_RESPONSE_DN	-0.7268227450647943	0.08555876526235047	0.025235625276741096	1.0
HALLMARK_ADIPOGENESIS	-0.7476142489352745	0.09341997733547021	0.02185780251755329	1.0
HALLMARK_HYPOXIA	-0.9142194654084772	0.0029379550574423394	0.0012556138908216838	1.0
