	Score	MoE	P-Value	Q-Value
GOBP_OSSIFICATION_INVOLVED_IN_BONE_REMODELING	0.926156358492223	0.0008376861171362338	0.00010753368334493011	0.9666328307954815
HAY_BONE_MARROW_CD34_POS_LMPP	0.926088786731688	0.0006983509523834116	0.00010753368334493011	0.9666328307954815
GOBP_REGULATION_OF_IRON_ION_TRANSMEMBRANE_TRANSPORT	0.926084582944228	0.0008239766743503024	0.00010753368334493011	0.9666328307954815
GAO_SMALL_INTESTINE_24W_C2_PROCRPOS_PROGENITOR	0.9248918762630123	0.000633612912755624	0.0002498576760073376	0.999629344476792
VERNELL_RETINOBLASTOMA_PATHWAY_UP	0.9246848399413393	0.001599146714237003	0.00028464798532481497	0.9998766077688398
GOMF_ARACHIDONATE_COA_LIGASE_ACTIVITY	0.9214028259867897	0.001366131188092282	0.0006483648554620786	0.9999999987540976
HMEF2_Q6	0.9213348048157761	0.0017150180506940538	0.0006641786324245683	0.9999999992440082
MODULE_305	0.9210740398855772	0.0012668060173298193	0.0006989689417420457	0.9999999997483124
LEE_METASTASIS_AND_ALTERNATIVE_SPLICING_UP	0.920999517685529	0.0010832911001653488	0.0007116199633120375	0.9999999998312014
MIR4441	0.9209727420380883	0.0027384186313942505	0.0007116199633120375	0.9999999998312014
IPA_RELB_UP	0.9203949681071951	0.002596114767974857	0.0007685495603770004	0.9999999999720793
GOBP_PROTEIN_KINASE_C_ACTIVATING_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	0.9199295481863949	0.0023127401010576594	0.0008476184451894491	0.999999999997709
HP_METHYLMALONIC_ACIDURIA	0.919830145825329	0.0008315303748060058	0.0008539439559744449	0.9999999999981228
SCIAN_INVERSED_TARGETS_OF_TP53_AND_TP73_UP	0.9197861693082597	0.0023001682664134677	0.0008760832437219306	0.9999999999990673
WP_TYPE_III_INTERFERON_SIGNALING	0.9195716253905535	0.004378168901145423	0.0008855715098994244	0.9999999999993086
GOBP_DOLICHOL_METABOLIC_PROCESS	0.9190021154004974	0.003299870975027285	0.0009361755961793915	0.9999999999998603
MIR188_3P	0.91870414473683	0.0018217039670591075	0.000964640394711873	0.9999999999999432
GOBP_NEURON_RECOGNITION	0.9185713357420826	0.0033765079384753417	0.0009804541716743626	0.9999999999999655
HP_ABNORMAL_LIVER_PARENCHYMA_MORPHOLOGY	0.9184697662333898	0.0021653881941113237	0.0010025934594218484	0.9999999999999829
GOMF_CYTOSKELETAL_ANCHOR_ACTIVITY	0.9161641692176931	0.002030183173904248	0.0013979378834840914	1.0
