	Score	MoE	P-Value	Q-Value
EIF2AK4	0.7296357612860483	0.0496523958280568	0.0109885675857431	1.0
NNT	0.5015842333629611	0.1517154472727062	0.0630127774041694	1.0
KRAS	0.2297141869112266	0.1477870602041459	0.2432750504371217	1.0
MDM4	0.2291240224826408	0.1283140217206383	0.2439542703429724	1.0
STAR	0.2124312791971351	0.0768130546441065	0.2615400134498991	1.0
BRCA2	0.1728748857821313	0.1145930770927131	0.3434700739744452	1.0
CDKN2A	0.1690084927031985	0.1452143100975123	0.3480699394754539	1.0
SMAD4	0.156020030337658	0.1303768425154574	0.3647814391392064	1.0
PALB2	0.1393563791263636	0.1683803656948304	0.3885675857431069	1.0
TXNRD2	-0.0545935108252211	0.1139800496770704	0.477565568258238	1.0
NLRP3	-0.0724734822812286	0.1471301762169018	0.4627908540685945	1.0
HP_CHRONIC_FATIGUE	-0.1136337872558155	0.2002380244236865	0.4268644443038775	1.0
TK2	-0.130228562811676	0.1709139889987696	0.3964963012777404	1.0
TP53	-0.29111187906648	0.1091006377707502	0.2260659045057162	1.0
BRCA1	-0.3290811575925632	0.1274293589253578	0.199502353732347	1.0
SMAD3	-0.3395341852372746	0.1255886973624423	0.1928110289172831	1.0
IVNS1ABP	-0.4798285196598962	0.1057950536773606	0.1158843308675185	1.0
PALLD	-0.5202932073425659	0.1310168927604068	0.0980497646267653	1.0
