	Score	MoE	P-Value	Q-Value
PMS2	0.8414922682414033	0.0212480865185082	0.0023402824478816	0.9999999999999992
EIF2AK4	0.7296357612860483	0.0496523958280568	0.0109885675857431	1.0
SLC25A26	0.6524038001762278	0.0813048138588863	0.0212575655682582	1.0
KCNN4	0.6418476472114951	0.050684289724873	0.0231876260928043	1.0
CD46	0.6385096324672941	0.0529423426701226	0.0238130464021519	1.0
SOD1	0.5264210417500872	0.298271764426874	0.0536785474108944	1.0
MLH1	0.522046876697132	0.1135543852391275	0.0552656355077336	1.0
NNT	0.5015842333629611	0.1517154472727062	0.0630127774041694	1.0
CHMP2B	0.4922140585593376	0.0868789854045762	0.0663887020847343	1.0
ANXA11	0.4901127258236268	0.0590190601948772	0.0671889710827168	1.0
CHCHD10	0.4783747452957899	0.102743908500805	0.0721452589105581	1.0
BCL10	0.473502412680032	0.1168206491281406	0.0740551445864156	1.0
SQSTM1	0.4528643517592364	0.103434203288932	0.0830060524546065	1.0
COL1A1	0.4467670928918272	0.0719218405774925	0.0855951580363147	1.0
CCNF	0.415031265437904	0.0824955655052539	0.1010289172831203	1.0
SLC22A4	0.3922392488851348	0.0818532935164494	0.1131203765971755	1.0
AP2S1	0.3904106680646795	0.0817968305374184	0.1142770679219905	1.0
MORC2	0.3859940012796139	0.1027838113794877	0.1167989240080699	1.0
DNAJC6	0.3638435650410921	0.0662847146682999	0.1299798251513113	1.0
UBAC2	0.3597143371140095	0.1133505392817974	0.1324882313382649	1.0
FIP1L1	0.3504770971363209	0.0801866685889951	0.1380026899798251	1.0
DMPK	0.3493645103612587	0.1136267954980811	0.1386482851378614	1.0
GNAS	0.3458360090433511	0.12069050918936	0.1407330195023537	1.0
MEN1	0.323139651104619	0.16725041196469	0.1565366509751176	1.0
PROP1	0.3048629028577554	0.0676727416134225	0.1706119704102219	1.0
BTK	0.3037015422283395	0.0278095780340829	0.1722797579018157	1.0
POU1F1	0.3018476578549661	0.0729184003210881	0.1743241425689307	1.0
EPCAM	0.2918801303464655	0.0632496609850482	0.1849899125756557	1.0
ALB	0.2867523500264663	0.0898205775284997	0.1895763281775386	1.0
GLT8D1	0.2866747514029062	0.0621289676185402	0.1896301277740417	1.0
ASXL1	0.2838022030484748	0.1900757007255473	0.1920511096166778	1.0
ERCC2	0.2733138198429826	0.1686864144809719	0.2015131136516476	1.0
PRKACA	0.2590905297429648	0.159992828657247	0.2142636180228648	1.0
PTPN3	0.2577429601479417	0.1513371233324884	0.2154404841963685	1.0
TSHR	0.256049615228336	0.0813463097630286	0.2170208473436449	1.0
ERBB4	0.2547874111127258	0.0498844820743155	0.2182515131136516	1.0
KCNQ1	0.2531314219599657	0.081200791883646	0.2197108271687962	1.0
PIGT	0.2523834410284989	0.1814072066165699	0.220437121721587	1.0
COQ2	0.2480057091303742	0.2319555991784999	0.2245460659045057	1.0
BCL2	0.245907058098996	0.1434101017735173	0.2266644250168124	1.0
KRAS	0.2297141869112266	0.1477870602041459	0.2432750504371217	1.0
MDM4	0.2291240224826408	0.1283140217206383	0.2439542703429724	1.0
TBX20	0.2289168552184525	0.1521378028620929	0.2442299932750504	1.0
ABL1	0.2280097420481191	0.173814601350035	0.2451983860121049	1.0
NAGS	0.2224601753950574	0.1085094143391028	0.2502824478816409	1.0
PPARGC1A	0.2205403708353395	0.0481491289430671	0.2525487558843308	1.0
HP_FATIGUE	0.2200243661725913	0.1945428919476121	0.2836074388006832	1.0
STAR	0.2124312791971351	0.0768130546441065	0.2615400134498991	1.0
LHX4	0.1963607214790635	0.0487336768761936	0.3041560188298587	1.0
