	Score	MoE	P-Value	Q-Value
DACT1	0.9276009928495715	0.0004816047220265503	2.6899798251513112e-05	0.3251967690849532
DLG4	0.9275410772356796	0.0004328066426864874	2.6899798251513112e-05	0.3251967690849532
MYBBP1A	0.9275223828114112	0.0004657798829499192	2.6899798251513112e-05	0.3251967690849532
PPIP5K1	0.9271550518189847	0.00045401637702873295	6.724949562878279e-05	0.6258705562830866
FER	0.9270215804342741	0.00045769242226399416	0.00010087424344317417	0.7711421176586026
POLG2	0.9270024793670225	0.00028790199797110524	0.00010087424344317417	0.7711421176586026
ZNF10	0.9269857714671275	0.0005011183301596963	0.00011432414256893073	0.8119518422477147
MMS19	0.9268869402622604	0.00042623554210102343	0.00012104909213180902	0.8295374349328841
MAN1C1	0.9268259070253986	0.00040942403945712965	0.00013449899125756557	0.8599422517001272
GDF5	0.926760032065428	0.0009999630059800868	0.00013449899125756557	0.8599422517001272
RIN3	0.9266255929401448	0.0006826702751030921	0.00014794889038332213	0.8849040467200769
TNK1	0.9266228326328213	0.0008156212054526419	0.00014794889038332213	0.8849040467200769
IMPDH2	0.9265863240461187	0.00046435237271467625	0.00014794889038332213	0.8849040467200769
HDAC11	0.9262689309522518	0.0006824460984101564	0.00016139878950907868	0.9053969171787367
NELFCD	0.9262318728536484	0.001159953800672761	0.00016139878950907868	0.9053969171787367
CNKSR1	0.9262148851969475	0.0009044443111678576	0.00016139878950907868	0.9053969171787367
EPS8	0.9262061486213439	0.0007006547771697003	0.00016139878950907868	0.9053969171787367
ENPP2	0.9261147782025481	0.000448974391312402	0.00016812373907195696	0.9141929099911423
SLC40A1	0.9260629736354146	0.0006987737036562976	0.00016812373907195696	0.9141929099911423
SLC7A6	0.92604692002763	0.0007953989027919319	0.00016812373907195696	0.9141929099911423
CHMP7	0.9259909024686568	0.0006088071026781102	0.00019502353732347007	0.9420405363666498
GP5	0.9258495331659083	0.0005213246796633399	0.00022192333557498318	0.9608620316382759
YES1	0.9257506258654227	0.0006599752840629943	0.00022192333557498318	0.9608620316382759
ATG16L2	0.9256942390814848	0.0008516767204299725	0.00023537323470073976	0.9678266984009491
MMP28	0.9256503706390773	0.0007591596022199328	0.00023537323470073976	0.9678266984009491
MLLT3	0.9255047116771205	0.0006252637372635674	0.0002555480833893746	0.9760242429411746
RSL1D1	0.9250887575629516	0.00074065346588917	0.0003093476798924008	0.989066647170623
TSPYL2	0.9250121372917713	0.0014136726207528436	0.00032279757901815736	0.9910131350382322
TRABD2A	0.9248751498478868	0.0010240928859340521	0.00032279757901815736	0.9910131350382322
MLX	0.9246698187526711	0.0008848863856011855	0.0003362474781439139	0.9926104215805482
NET1	0.9246431914191937	0.0009193218645975974	0.0003362474781439139	0.9926104215805482
ZNF276	0.9246420537356379	0.0019426286915438936	0.0003362474781439139	0.9926104215805482
