	Score	MoE	P-Value	Q-Value
chr1q22	0.8527412891586266	0.015026272979263643	0.0021443481561136063	1.0
chr17p13	0.7509038418407665	0.04129567409687938	0.01064583465114808	1.0
chr17q25	0.5702045113163078	0.0669272346429129	0.06376747422354355	1.0
chr7q22	0.5664666947096829	0.11732965919372457	0.06548801315706243	1.0
chr19q13	0.5170821857383395	0.05027886513293605	0.08362641533303815	1.0
chr8p21	0.47902548029405034	0.1365005722877411	0.09900056929597065	1.0
chr16q11	0.4480470093188337	0.11657448297789319	0.11239800113859194	1.0
chr3p21	0.4208637375859534	0.06938468534650392	0.12577329369346574	1.0
chr14q22	0.36161004752394105	0.10051606545521737	0.1595262192422038	1.0
chr22q13	0.15251849217348962	0.1742026851508054	0.3719969637548232	1.0
chr16q24	0.11486570376926498	0.09214013427410628	0.43361692706686067	1.0
chr7p22	-0.07633983568317622	0.19276573772233543	0.46195837813903473	1.0
chr19p13	-0.082168532717096	0.10158580242381333	0.4573913593522677	1.0
chr16p13	-0.09501563540190854	0.15009271010899533	0.44597697514074264	1.0
chr2p23	-0.10225359100761822	0.19554818712998942	0.4389240306154722	1.0
chr16q22	-0.11136719978907227	0.17222574756032247	0.4294167879056234	1.0
chr17q12	-0.14710176271902015	0.1988886883284036	0.3741729394648618	1.0
chr1p35	-0.15702901676116401	0.16780489212806007	0.356217977101651	1.0
chr9q34	-0.16000412225701394	0.16916564869155784	0.3510626858118793	1.0
chr16q13	-0.19152683819780783	0.11825519321452228	0.30162881902713645	1.0
chr15q15	-0.1975243961532407	0.19656670578147076	0.29331709785565185	1.0
chr9q32	-0.28047424664860726	0.17466827728330778	0.20821051299892465	1.0
