	Score	MoE	P-Value	Q-Value
HALLMARK_G2M_CHECKPOINT	0.8547855967068694	0.023465969750095947	0.00203048896198368	1.0
HALLMARK_WNT_BETA_CATENIN_SIGNALING	0.7068634852171255	0.0514696568191886	0.01715478524890885	1.0
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	0.6067462282572839	0.09257050507556469	0.04392434689101145	1.0
HALLMARK_E2F_TARGETS	0.5909208166443279	0.08247513048233232	0.05340312480232779	1.0
HALLMARK_PANCREAS_BETA_CELLS	0.5812273868344975	0.11996071717910471	0.05860585742298691	1.0
HALLMARK_INFLAMMATORY_RESPONSE	0.4841044864974833	0.08963220376430069	0.09695110380163198	1.0
HALLMARK_APICAL_SURFACE	0.47650424383085593	0.08742057067881309	0.10003479030931747	1.0
HALLMARK_GLYCOLYSIS	0.4237247142408083	0.08873960031711521	0.12438800683155164	1.0
HALLMARK_UV_RESPONSE_DN	0.38054752914247686	0.04986621338964071	0.14759314314630906	1.0
HALLMARK_TGF_BETA_SIGNALING	0.37319432308996564	0.15479550222545832	0.15207476753747864	1.0
HALLMARK_ESTROGEN_RESPONSE_EARLY	0.3531854994870262	0.163382706139277	0.16486495034474033	1.0
HALLMARK_ANGIOGENESIS	0.3319429909450915	0.10833448559478052	0.1793693465747359	1.0
HALLMARK_MTORC1_SIGNALING	0.3188790670783483	0.08996286627286908	0.18905686634195712	1.0
HALLMARK_DNA_REPAIR	0.3057480343721054	0.10964612237505479	0.19940856474160287	1.0
HALLMARK_SPERMATOGENESIS	0.281129564572638	0.10026545102803996	0.22026377379973433	1.0
HALLMARK_APICAL_JUNCTION	0.27098846126124787	0.08762553068479208	0.22914795369726104	1.0
HALLMARK_HYPOXIA	0.25309040081814943	0.17225972579352214	0.24705863748497692	1.0
HALLMARK_PI3K_AKT_MTOR_SIGNALING	0.25284529226457797	0.10603994530104231	0.24728635587323677	1.0
HALLMARK_IL2_STAT5_SIGNALING	0.25277139887068717	0.2083161785901644	0.2473590992472642	1.0
HALLMARK_MYC_TARGETS_V1	0.20415249055191775	0.1322030973249376	0.30256815737870835	1.0
HALLMARK_HEDGEHOG_SIGNALING	0.20150167386695705	0.11480053147444445	0.30572142450502876	1.0
HALLMARK_MYC_TARGETS_V2	0.19619730209572844	0.2381211464066595	0.3123885128724144	1.0
HALLMARK_COAGULATION	0.18126947233686264	0.14242021688449666	0.3313840217597571	1.0
HALLMARK_ALLOGRAFT_REJECTION	0.16509543294465326	0.10178363205108698	0.35335884622683283	1.0
HALLMARK_PROTEIN_SECRETION	0.15874141967856542	0.17043146108574558	0.36259092921753433	1.0
HALLMARK_OXIDATIVE_PHOSPHORYLATION	0.15124676564944173	0.15695858738153018	0.3740337782275919	1.0
HALLMARK_INTERFERON_ALPHA_RESPONSE	0.14552835262975322	0.1376583390091745	0.38325953570750837	1.0
HALLMARK_KRAS_SIGNALING_DN	0.14211632717415748	0.14872321085712742	0.3887943576443798	1.0
HALLMARK_INTERFERON_GAMMA_RESPONSE	0.13476670853159764	0.1330437852293974	0.4018597001707888	1.0
HALLMARK_MITOTIC_SPINDLE	0.13435963895266453	0.13938490044644364	0.4025238788032134	1.0
HALLMARK_FATTY_ACID_METABOLISM	0.1269518466706521	0.26394004579061464	0.41532354987665254	1.0
HALLMARK_ADIPOGENESIS	0.12517993797530524	0.10841247711435743	0.4183091909671706	1.0
HALLMARK_APOPTOSIS	0.1157573985892606	0.13589111885843225	0.432348662154469	1.0
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	0.11027476878039118	0.15271989528894622	0.43947118729837437	1.0
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	0.10342072480622473	0.1455459195659227	0.44822253146941615	1.0
HALLMARK_XENOBIOTIC_METABOLISM	0.08064471075513305	0.15865173442323227	0.4728762097539376	1.0
HALLMARK_ESTROGEN_RESPONSE_LATE	0.04877430278947698	0.17385900257229991	0.4981149977860712	1.0
HALLMARK_PEROXISOME	0.03980753561707805	0.17653450960764952	0.4972800303624518	1.0
HALLMARK_MYOGENESIS	-0.042994622038290235	0.13008797328056534	0.4824909861471314	1.0
HALLMARK_BILE_ACID_METABOLISM	-0.06681583611151083	0.16019966959153575	0.46905243848440764	1.0
HALLMARK_KRAS_SIGNALING_UP	-0.10000861257902019	0.10517524809895856	0.4412296792966032	1.0
HALLMARK_COMPLEMENT	-0.14722359378572603	0.1840648065562309	0.3739420583212094	1.0
HALLMARK_HEME_METABOLISM	-0.15151805885793346	0.1778200259421451	0.36606996014928206	1.0
HALLMARK_ANDROGEN_RESPONSE	-0.18140582297802446	0.18720758220878628	0.3164083749762793	1.0
HALLMARK_P53_PATHWAY	-0.18923126772694362	0.18326271654353418	0.3048738060598393	1.0
HALLMARK_CHOLESTEROL_HOMEOSTASIS	-0.19936206949850682	0.15577530130171915	0.290758428743121	1.0
HALLMARK_IL6_JAK_STAT3_SIGNALING	-0.2031259841738899	0.07733064311792422	0.28577076348915176	1.0
HALLMARK_NOTCH_SIGNALING	-0.2251648276406762	0.1572898911202769	0.2602884432917958	1.0
HALLMARK_UV_RESPONSE_UP	-0.25787397532910195	0.188435419375358	0.22773103928142197	1.0
HALLMARK_TNFA_SIGNALING_VIA_NFKB	-0.2880863424344602	0.17611965823724451	0.2023214624580935	1.0
