	Score	MoE	P-Value	Q-Value
IPA_ZBTB20_UP	0.8719825983870525	0.019830909126606795	0.001249288380036688	1.0
IPA_ASF1A_DN	0.8414300166548996	0.013779029627453856	0.002773736479220697	1.0
IPA_XRCC6_UP	0.8320778990409232	0.017559160702055043	0.0034442406224302613	1.0
IPA_NCOA1_UP	0.8034823484136318	0.03882384160375723	0.005636030109431337	1.0
IPA_GABPB1_UP	0.7979642281369927	0.030355588033674955	0.00613890821683851	1.0
IPA_HNF4A_DN	0.7927402248638378	0.031236365850514872	0.006515276108545765	1.0
IPA_HNF1A_DN	0.7769519834295168	0.017160575776724873	0.008087165538617243	1.0
IPA_AHR_UP	0.7687348877409544	0.06398977099877959	0.008789297235751788	1.0
IPA_HSF1_UP	0.7471759199647455	0.031567171448213374	0.011072806629135302	1.0
IPA_CTNNB1_DN	0.7463993584540227	0.02577667173255115	0.011167689290910242	1.0
IPA_RBL2_UP	0.7407208688374507	0.06940169239493564	0.011891960275792271	1.0
IPA_YBX1_UP	0.7352746491718731	0.06448996909006134	0.012638370548421785	1.0
IPA_SP7_DN	0.724342869013199	0.07646133706056642	0.014273515086343223	1.0
IPA_ID3_DN	0.7212659949302173	0.04445345717464349	0.01469099879815295	1.0
IPA_ID3_UP	0.7079248055684535	0.06192478575785244	0.017009298500853944	1.0
IPA_SMAD2_DN	0.6963500569923303	0.07677019016324799	0.019125181858435068	1.0
IPA_NR0B2_UP	0.6941976797382248	0.08573595943862865	0.019504712505534823	1.0
IPA_FOXO3_DN	0.690152357551909	0.036378200031462436	0.020181542159529383	1.0
IPA_NCOA1_DN	0.6797020450068563	0.04982394610159099	0.022069707128850653	1.0
IPA_MXI1_DN	0.6764391553660615	0.0413890301264453	0.022730723005882726	1.0
IPA_PTF1A_UP	0.6740527241105077	0.05507744506399782	0.023167183250047442	1.0
IPA_ATF3_DN	0.6626861198132336	0.052837920377051754	0.025681573787083307	1.0
IPA_CTNNB1_UP	0.650470223174481	0.06362222819938863	0.028490100575621482	1.0
IPA_E2F1_UP	0.6487229810168805	0.060761919407804406	0.028910747042823707	1.0
IPA_THRA_DN	0.6478864535397308	0.0466633663880141	0.029097349610981087	1.0
IPA_TP73_UP	0.6440589323677934	0.060311406056494175	0.03019798848757037	1.0
IPA_TWIST1_UP	0.6370796622740846	0.06253088908907138	0.03210196723385413	1.0
IPA_RXRA_UP	0.6203582022178806	0.08664418039745848	0.037529255487380606	1.0
IPA_NFATC3_UP	0.6146506560857855	0.11085539962444842	0.03991081029793156	1.0
IPA_NFIL3_UP	0.6120942067301117	0.09230323602960698	0.04113163387943576	1.0
IPA_HMGB1_UP	0.6092721596654049	0.09844363696663443	0.04250110696438737	1.0
IPA_IRF5_UP	0.6086907279296467	0.09426368401001796	0.04283003352520716	1.0
IPA_STAT3_DN	0.6069759521609799	0.07228227761779844	0.043775697387564046	1.0
IPA_SOX4_DN	0.6033570337933829	0.08682733711967765	0.04592004554367765	1.0
IPA_CREBBP_DN	0.5972306442392786	0.042648990478857424	0.04957619077740528	1.0
IPA_POU2F2_DN	0.5932209676021735	0.11497055721451406	0.0520083496742362	1.0
IPA_E2F2_UP	0.5913989532974705	0.09655688748337227	0.053083686507685496	1.0
IPA_MLXIPL_UP	0.5913326481657484	0.14818103525742066	0.05313429059396546	1.0
IPA_CTCF_UP	0.5905477232967586	0.08376509626359636	0.053580239104307675	1.0
IPA_PSAP_UP	0.5900254610078401	0.06872647087876221	0.053855398823455	1.0
IPA_EGR2_DN	0.5873596017630477	0.09545401054136317	0.055303940793219056	1.0
IPA_KMT2D_UP	0.5865228015964955	0.16112627077872968	0.05579100512366374	1.0
IPA_HDAC1_UP	0.5841844663351454	0.10416202854754335	0.05709089758998039	1.0
IPA_HSF1_DN	0.5841387123219601	0.06968857948251328	0.05712252514390537	1.0
IPA_NFKB1_DN	0.5834450833340319	0.08565420735147017	0.05747675374786514	1.0
IPA_ETV5_DN	0.5833771781017216	0.11834496142894445	0.05752735783414511	1.0
IPA_PCGF2_UP	0.5769557090711164	0.19642561087630941	0.060664811183503066	1.0
IPA_AHRR_UP	0.5674594189954613	0.25309423465746267	0.0650768549560377	1.0
IPA_CDK2_UP	0.5661832539420076	0.06209169659965446	0.06562401163893984	1.0
IPA_MSX2_DN	0.5652552250984175	0.23803598868507594	0.06600986779682459	1.0
IPA_NR2F2_DN	0.5649085956705996	0.1251399330887573	0.066145866278702	1.0
IPA_YY1_DN	0.5625110478906622	0.06764987548607033	0.06722120311215131	1.0
IPA_EOMES_DN	0.5562073312504722	0.20104752762913802	0.06970712885065469	1.0
IPA_SPI1_UP	0.5471537396477453	0.125097868440937	0.07296476690492758	1.0
IPA_CDK1_UP	0.5439052206663596	0.09247139231277131	0.07418242773103928	1.0
IPA_HDAC1_DN	0.5409218209723774	0.11613719170041716	0.07519767221203112	1.0
IPA_PGR_UP	0.5277795865375917	0.09230969081023156	0.07990701499146056	1.0
IPA_MMP3_UP	0.527208517970282	0.1186815490644675	0.08013473337972041	1.0
IPA_PGR_DN	0.522685822851764	0.08586988666359792	0.08172559934214688	1.0
IPA_SATB1_DN	0.5144611619810298	0.11747779009877733	0.08466696185716997	1.0
IPA_SMARCB1_DN	0.5094461375122957	0.10564433031741903	0.08669745081915364	1.0
IPA_ID1_DN	0.509444260436997	0.09697866516972493	0.08669745081915364	1.0
IPA_JUNB_DN	0.5029388131731716	0.09162742381496207	0.08930356126257195	1.0
IPA_MYOG_UP	0.49862175233664197	0.06707340143378936	0.09116958694414574	1.0
IPA_DDIT3_DN	0.49372986861714774	0.11082176154318339	0.09322221519387691	1.0
IPA_HOXA7_UP	0.492191437692668	0.07184043431138877	0.09387690556012399	1.0
IPA_RB1_DN	0.49105908303639634	0.07147666656189755	0.09434815611360617	1.0
IPA_AR_DN	0.4898275533811968	0.0981270656841759	0.0947814536023784	1.0
IPA_ATF6_DN	0.489815597997921	0.09386295024289598	0.09478461635777088	1.0
IPA_EP300_DN	0.48704848724357463	0.08422331916418363	0.09583465114808021	1.0
IPA_HIST1H1C_DN	0.4808217195471427	0.0930816568599983	0.09823518249098614	1.0
IPA_SIM1_UP	0.4765590674361125	0.08517434584870937	0.10000632551078499	1.0
IPA_IKZF1_UP	0.4583576523423215	0.0853808991935139	0.10782781959643241	1.0
IPA_EP300_UP	0.45317021328418117	0.11490314514689999	0.1101619330760959	1.0
IPA_POU5F1_UP	0.44314903583340365	0.09864814986035388	0.11484913656777784	1.0
IPA_CREB3L1_UP	0.4284197852277519	0.15247675797864663	0.12197166171168322	1.0
IPA_EGR2_UP	0.42651969619747626	0.12226012749362879	0.12288569802011512	1.0
IPA_TCF12_DN	0.42169493703783745	0.08734913938744822	0.12540957682332848	1.0
IPA_GATA3_UP	0.41958978778183204	0.0729722323488476	0.12649756467834777	1.0
IPA_TBX2_DN	0.4189513371760346	0.05358248819550019	0.12680435195142006	1.0
IPA_ETV5_UP	0.4158545259855975	0.11365136004595215	0.12836991587070656	1.0
IPA_ID2_UP	0.40706765072269774	0.06927883495499328	0.1330634448731735	1.0
IPA_STAT1_DN	0.404037614652934	0.10079992079961314	0.13459105572775001	1.0
IPA_MEIS1_UP	0.4008685419529866	0.10324223144441468	0.13619773546713898	1.0
IPA_STAT2_UP	0.39681219192523304	0.11512972229683406	0.13854766272376495	1.0
IPA_E2F4_UP	0.3960271597052778	0.1633995949807882	0.13896830919096717	1.0
IPA_ESR1_UP	0.3956689396186128	0.09607173744818755	0.13915807451451706	1.0
IPA_ARID1A_DN	0.3883783122179295	0.08712536220847154	0.14301347333797204	1.0
IPA_SKP2_UP	0.3847693860886397	0.09670250093580063	0.14512619394016066	1.0
IPA_IL18_UP	0.38377694665313955	0.1312709139186692	0.14559428173825037	1.0
IPA_SRF_UP	0.3836543946493792	0.07633469988539528	0.1456701878676703	1.0
IPA_RBL1_DN	0.38269303029870766	0.12985232571593353	0.14634069201087987	1.0
IPA_PPARD_DN	0.378865782031796	0.0861988670216049	0.14850717945474098	1.0
IPA_RUVBL1_UP	0.37079918086330815	0.18261029457703906	0.1533841482699728	1.0
IPA_HIST1H1A_UP	0.3683604348932733	0.11044459862627183	0.15503194382946422	1.0
IPA_CREM_DN	0.35829812880391804	0.10692046732990772	0.1615503826934025	1.0
IPA_EHF_UP	0.3567418340643764	0.09915529240317243	0.16262888228224429	1.0
IPA_JUN_DN	0.3545539347914255	0.07368809319060632	0.16393193750395343	1.0
IPA_FIGLA_UP	0.3530898260965148	0.05705576108735085	0.16490290340945032	1.0
IPA_NFKBIA_DN	0.3506933802839973	0.13537223538158097	0.16637358466696187	1.0
IPA_NFATC1_DN	0.34786099224741657	0.10087250478842519	0.1681700297299007	1.0
IPA_CBFB_UP	0.3476417721362108	0.08104727547428216	0.16828388892403062	1.0
IPA_MYBL2_UP	0.3465034570971076	0.08706628131764754	0.16898918337655766	1.0
