	Score	MoE	P-Value	Q-Value
GOBP_INTRINSIC_APOPTOTIC_SIGNALING_PATHWAY_IN_RESPONSE_TO_OSMOTIC_STRESS	0.8945744777106689	0.014324489015399984	9.488266177493832e-06	0.2591828336870342
GOBP_FUCOSE_CATABOLIC_PROCESS	0.8936231088001583	0.014311161957303203	4.7441330887469166e-05	0.7768671934383036
ATM_TARGET_GENES	0.8932713920759293	0.014169419112057463	6.325510784995888e-05	0.864656155664311
GOBP_REGULATION_OF_INTRINSIC_APOPTOTIC_SIGNALING_PATHWAY_IN_RESPONSE_TO_OSMOTIC_STRESS	0.8930148734607745	0.014242662245111407	7.590612941995066e-05	0.9092696506102795
GOBP_POSTTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE_TRANSLOCATION	0.8925715805418275	0.014274522702180716	0.000113859194129926	0.9726694320864645
GOBP_CYTIDINE_TO_URIDINE_EDITING	0.8922677998978387	0.014295092582936717	0.0001296729710924157	0.9834209834367945
GOBP_DISACCHARIDE_BIOSYNTHETIC_PROCESS	0.8912569772508253	0.014100962326785066	0.0002530204313998355	0.9996643675641782
GOBP_POST_CHAPERONIN_TUBULIN_FOLDING_PATHWAY	0.8910442557671948	0.013090127714185816	0.00027515971914732115	0.9998332926672232
GOBP_POSITIVE_REGULATION_OF_HORMONE_METABOLIC_PROCESS	0.8903689566434133	0.01417750177678885	0.0003637168701372636	0.9999898616126915
HP_SPONTANEOUS_HEMOLYTIC_CRISES	0.8903213905225811	0.01420245320863423	0.00037004238092225945	0.999991696506967
GOBP_PEPTIDYL_ARGININE_METHYLATION_TO_ASYMMETRICAL_DIMETHYL_ARGININE	0.8902490366688018	0.014483625970037111	0.00037953064709975333	0.9999938464520087
GOMF_PROTEIN_ARGININE_OMEGA_N_ASYMMETRIC_METHYLTRANSFERASE_ACTIVITY	0.8902490366688018	0.014483625970037111	0.00037953064709975333	0.9999938464520087
GOMF_TRANSLATION_TERMINATION_FACTOR_ACTIVITY	0.8901239383092289	0.014060627861435844	0.0004079954456322348	0.9999974962860344
HP_SUDDEN_LOSS_OF_VISUAL_ACUITY	0.8893567111799112	0.014671354919043637	0.0005092036181921691	0.9999998979169509
GOBP_NEGATIVE_REGULATION_OF_HISTONE_DEACETYLATION	0.8880578835943683	0.014498353954096701	0.0006578531216395723	0.999999999071668
REACTOME_PTK6_REGULATES_RTKS_AND_THEIR_EFFECTORS_AKT1_AND_DOK1	0.8868343401127111	0.015263887107119192	0.0007400847618445189	0.9999999999310444
GOCC_PIP_BODY	0.8860159988839551	0.014622269133560864	0.000793851603516984	0.9999999999873992
GOBP_FOREBRAIN_DEVELOPMENT	0.8856093037464805	0.014915091670091833	0.0008223164020494655	0.9999999999948741
MIR767_5P	0.883548477656163	0.015554050364757573	0.000904548042254412	0.9999999999996193
GSE14308_TH1_VS_NATURAL_TREG_DN	0.8835482040763035	0.015752555289781665	0.000904548042254412	0.9999999999996193
S8_01	0.8830564702687232	0.01614944710578795	0.0009171990638244038	0.9999999999997443
HP_METABOLIC_ACIDOSIS	0.8820293137603047	0.017038179572124248	0.0009709659054968688	0.9999999999999533
VANTVEER_BREAST_CANCER_ESR1_UP	0.8783535123958498	0.017759267755872606	0.0010626858118793093	0.9999999999999974
GOBP_TELENCEPHALON_DEVELOPMENT	0.8768063015311839	0.01861373615056314	0.0011196154089442723	0.9999999999999996
MIR665	0.8762325459599498	0.014410725757539905	0.001129103675121766	0.9999999999999997
GOBP_N_TERMINAL_PROTEIN_AMINO_ACID_MODIFICATION	0.8761512584952744	0.017559345703789864	0.001129103675121766	0.9999999999999997
GSE2770_IL4_ACT_VS_ACT_CD4_TCELL_6H_DN	0.8756247270637182	0.014373120452733939	0.001132266430514264	0.9999999999999997
MIR4302	0.8735797703696527	0.015653659825605414	0.001195521538364223	1.0
BROWNE_HCMV_INFECTION_16HR_DN	0.873141402395618	0.01240967890836033	0.0012176608261117085	1.0
IL2_UP.V1_DN	0.87310378692922	0.015285772573363216	0.0012176608261117085	1.0
PATEL_SKIN_OF_BODY_ZOSTAVAX_AGE_70_93YO_VZV_CHALLENGE_3DY_UP	0.872801249367454	0.017166352001521428	0.0012239863368967044	1.0
IPA_ZBTB20_UP	0.8719825983870525	0.019830909126606795	0.001249288380036688	1.0
HP_ACUTE_PANCREATITIS	0.8718944543103038	0.012919614768474764	0.001252451135429186	1.0
HP_GENERALIZED_AMINOACIDURIA	0.8708967636470871	0.014583259613964991	0.0012872414447466633	1.0
HP_ALOPECIA_OF_SCALP	0.8697759416993702	0.010961981221006195	0.0013220317540641408	1.0
MEIS1_01	0.8688341915219275	0.016204701848368055	0.001359984818774116	1.0
MOREIRA_RESPONSE_TO_TSA_DN	0.8669338499843248	0.016032049464180156	0.0014264026820165728	1.0
ZNF830_TARGET_GENES	0.8668594492959112	0.015639873781169676	0.0014422164589790625	1.0
AMIT_EGF_RESPONSE_480_MCF10A	0.8654477650023327	0.01888797339659896	0.0015244480991840092	1.0
MIR6830_3P	0.8653411168736512	0.01933531620077679	0.001527610854576507	1.0
GOBP_NEGATIVE_REGULATION_OF_ENDOCYTOSIS	0.8646227461613398	0.016600585575622103	0.0015592384085014864	1.0
GSE20152_SPHK1_KO_VS_HTNFA_OVEREXPRESS_ANKLE_UP	0.8634855746079343	0.01924669349238081	0.0016130052501739515	1.0
MIR150_5P	0.8626665161480673	0.011814578347325189	0.0016699348472389145	1.0
HNF1_C	0.862643941354448	0.018262144131102484	0.0016699348472389145	1.0
GRAESSMANN_APOPTOSIS_BY_SERUM_DEPRIVATION_DN	0.8621442556858989	0.020532409270484563	0.0016920741349864	1.0
GOMF_INSULIN_RECEPTOR_BINDING	0.8618009766963344	0.023846321913539026	0.001701562401163894	1.0
MORI_LARGE_PRE_BII_LYMPHOCYTE_UP	0.8613295301520097	0.016637371408569704	0.0017268644443038776	1.0
YAO_TEMPORAL_RESPONSE_TO_PROGESTERONE_CLUSTER_5	0.861325396671368	0.010560043591678817	0.0017268644443038776	1.0
HP_HIGH_ANTERIOR_HAIRLINE	0.8603501299652245	0.0210552575796657	0.0017490037320513632	1.0
GOMF_ISOPEPTIDASE_ACTIVITY	0.8598838855152271	0.023048069879380035	0.0017679802644063507	1.0
MATZUK_EMBRYONIC_GERM_CELL	0.8594419028534288	0.011936149094151556	0.0017869567967613385	1.0
GOBP_CARBOHYDRATE_TRANSMEMBRANE_TRANSPORT	0.8585710842565044	0.013219920013462219	0.001818584350686318	1.0
DISTECHE_ESCAPED_FROM_X_INACTIVATION	0.8584276202799457	0.015416660549074082	0.0018312353722563096	1.0
MIR12135	0.8581135415704467	0.02266832273794911	0.0018438863938263015	1.0
HP_ABNORMALITY_OF_DENTAL_MORPHOLOGY	0.8573456749635099	0.01040774921707282	0.001875513947751281	1.0
JACKSON_DNMT1_TARGETS_DN	0.8573301143094484	0.019073285438005277	0.001875513947751281	1.0
REACTOME_BBSOME_MEDIATED_CARGO_TARGETING_TO_CILIUM	0.856374474567027	0.023409579832424855	0.0019419318109937377	1.0
GSE15659_CD45RA_NEG_CD4_TCELL_VS_ACTIVATED_TREG_UP	0.8552024484300497	0.01874321037895302	0.0020020241634511986	1.0
GSE6674_UNSTIM_VS_ANTI_IGM_STIM_BCELL_UP	0.8549528039305144	0.017649050999419873	0.002024163451198684	1.0
HALLMARK_G2M_CHECKPOINT	0.8547855967068694	0.023465969750095947	0.00203048896198368	1.0
GSE23505_IL6_IL1_VS_IL6_IL1_TGFB_TREATED_CD4_TCELL_DN	0.8547024887666286	0.023369509040363282	0.002049465494338668	1.0
GOBP_AXONAL_TRANSPORT_OF_MITOCHONDRION	0.8542589914153478	0.02595787219968258	0.002077930292871149	1.0
KAAB_HEART_ATRIUM_VS_VENTRICLE_DN	0.8531326560625735	0.02178571572811012	0.0021222088683661208	1.0
chr1q22	0.8527412891586266	0.015026272979263643	0.0021443481561136063	1.0
