	Score	MoE	P-Value	Q-Value
STK33_NOMO_DN	0.8434137174689121	0.036741700156946465	0.013992029856410905	1.0
SRC_UP.V1_DN	0.7716769945813613	0.06558436365307892	0.02860079701435891	1.0
ATF2_S_UP.V1_UP	0.7540228296470038	0.07664747927405391	0.0327724713770637	1.0
KRAS.PROSTATE_UP.V1_UP	0.7009921161852428	0.10801197664302337	0.04777974571446644	1.0
MYC_UP.V1_UP	0.6880401082228862	0.1947090627857981	0.05202100069580619	1.0
CSR_LATE_UP.V1_DN	0.677138076719293	0.05412760235689865	0.0558384464545512	1.0
STK33_DN	0.6725437400653115	0.13025779376412813	0.05742298690619267	1.0
ATM_DN.V1_UP	0.6526253399973627	0.11448957346193828	0.06471313808590044	1.0
AKT_UP.V1_DN	0.637728419533851	0.04880441896149255	0.07017205389335189	1.0
BCAT_GDS748_DN	0.6339333110025357	0.3179997001822405	0.07148143462584604	1.0
CRX_NRL_DN.V1_DN	0.6320952106443792	0.08169559198905596	0.07222468214308306	1.0
HOXA9_DN.V1_DN	0.6285501856825707	0.12831507035668135	0.07358782971724967	1.0
DCA_UP.V1_UP	0.6246895021578078	0.08650104283357536	0.07505851097476121	1.0
KRAS.LUNG_UP.V1_UP	0.6128102405755599	0.29852404966297846	0.0798374343728256	1.0
IL2_UP.V1_DN	0.6084253032837275	0.25259989469362687	0.0815326712632045	1.0
PGF_UP.V1_DN	0.5975858184590923	0.09409113831026111	0.08596052881270162	1.0
BRCA1_DN.V1_UP	0.5485633991940553	0.07691692576401653	0.10849832373964198	1.0
KRAS.300_UP.V1_UP	0.5318439942778096	0.3009515453236865	0.11718325004744133	1.0
IL21_UP.V1_UP	0.5274152528603302	0.35516387739443195	0.11933392371433993	1.0
AKT_UP_MTOR_DN.V1_DN	0.5075143720414926	0.30826177393746274	0.12962869251692075	1.0
ATF2_UP.V1_DN	0.5013252357749667	0.0863059996719786	0.133041305585426	1.0
MEL18_DN.V1_UP	0.493338834653831	0.3837775029417548	0.13759567335062306	1.0
P53_DN.V2_UP	0.47318719336479487	0.21548778239391242	0.14989562907204756	1.0
KRAS.600_UP.V1_UP	0.4551552347455816	0.3493027740196333	0.16220823581504207	1.0
ALK_DN.V1_DN	0.45007596849554127	0.2078573529013218	0.16588652033651718	1.0
CRX_DN.V1_DN	0.44324780424966276	0.109182694728392	0.1710829274463913	1.0
IL21_UP.V1_DN	0.4379780701509956	0.19168574992343648	0.17549813397431843	1.0
KRAS.LUNG.BREAST_UP.V1_DN	0.4351840297931641	0.37774945842148905	0.17790182807261687	1.0
ATF2_S_UP.V1_DN	0.42969435855847304	0.30019844358636	0.182304383578974	1.0
PTEN_DN.V2_UP	0.4171143061314196	0.2571482644698028	0.19343411980517428	1.0
STK33_SKM_UP	0.41484549199153564	0.37977215934370206	0.19527484344360807	1.0
KRAS.600_UP.V1_DN	0.37654451364560976	0.09238088676502082	0.23298437598836105	1.0
PKCA_DN.V1_UP	0.37296771598553446	0.25455426599477177	0.23673540388386363	1.0
KRAS.PROSTATE_UP.V1_DN	0.370741496137015	0.28592208079399223	0.23885761275222975	1.0
KRAS.KIDNEY_UP.V1_UP	0.3640330283183394	0.3543808337887615	0.24550256183186792	1.0
PRC2_EZH2_UP.V1_UP	0.3633287334080319	0.08023727299536337	0.24633436650009488	1.0
CAHOY_OLIGODENDROCUTIC	0.34605362633682407	0.2123968833327365	0.26362198747548865	1.0
CAHOY_NEURONAL	0.34396092270167067	0.15443096365692377	0.26568094123600483	1.0
IL15_UP.V1_DN	0.3388583147925699	0.19578148102646034	0.2704788411664242	1.0
RELA_DN.V1_DN	0.3316971553361474	0.40145815380463773	0.2777405275475995	1.0
NFE2L2.V2	0.31782102196872763	0.28009230112297695	0.29155544310203046	1.0
WNT_UP.V1_UP	0.3153345630780879	0.13157330896382533	0.29394964893415143	1.0
KRAS.LUNG_UP.V1_DN	0.3147765191953552	0.3000110641809623	0.2945126193940161	1.0
YAP1_DN	0.30614647098995723	0.18435591919188374	0.30289075842874313	1.0
RAPA_EARLY_UP.V1_UP	0.2998033925606041	0.26989484562194155	0.3088936681637042	1.0
RB_P130_DN.V1_UP	0.2915872170710037	0.23670008631818742	0.3169365551268265	1.0
JNK_DN.V1_DN	0.2884775397309287	0.3029038970835492	0.3197229426276172	1.0
KRAS.KIDNEY_UP.V1_DN	0.28749617737019584	0.22957445170081084	0.3207919539502815	1.0
CAHOY_ASTROGLIAL	0.28103021199882605	0.2886910011752097	0.3265608197861977	1.0
STK33_UP	0.2756179934123496	0.38233979069787133	0.331592763615662	1.0
TGFB_UP.V1_UP	0.27561769644620426	0.23403665120962167	0.331592763615662	1.0
IL2_UP.V1_UP	0.271736178745114	0.3334286506016415	0.3353817445758745	1.0
PTEN_DN.V2_DN	0.2713470590192242	0.3356437545811868	0.3356948573597318	1.0
LTE2_UP.V1_UP	0.27106841833603484	0.41325177635121607	0.33591625023720667	1.0
KRAS.600.LUNG.BREAST_UP.V1_UP	0.27067433769162474	0.2347144251866435	0.3362768043519514	1.0
ATM_DN.V1_DN	0.2693198679110862	0.36839900124976005	0.337646277436903	1.0
ERBB2_UP.V1_UP	0.25344241300329673	0.37550172824590944	0.3528275033208932	1.0
EGFR_UP.V1_UP	0.2510909680744301	0.3062414161364707	0.3552153836422291	1.0
KRAS.50_UP.V1_UP	0.2187061735703277	0.15645867695057283	0.3881649693212727	1.0
MEL18_DN.V1_DN	0.21755475908358185	0.4140867769885383	0.3894964893415143	1.0
KRAS.600.LUNG.BREAST_UP.V1_DN	0.21360573274174513	0.35417254416904104	0.3937693718767791	1.0
CTIP_DN.V1_UP	0.21062141588873695	0.3275243156771405	0.39702068442026694	1.0
PDGF_ERK_DN.V1_DN	0.20512832625550112	0.343440202738637	0.40317856916946043	1.0
IL15_UP.V1_UP	0.1983330172870334	0.3367285738147279	0.41044025555063574	1.0
CAHOY_ASTROCYTIC	0.19831783201311343	0.17386259800390694	0.4104592320829907	1.0
ERBB2_UP.V1_DN	0.19489624928564944	0.23040883296833503	0.4142956543740907	1.0
TGFB_UP.V1_DN	0.1899588639751489	0.3587568247380912	0.4198526155987096	1.0
SNF5_DN.V1_DN	0.18767776591846466	0.2137568575959999	0.42241128471124045	1.0
PKCA_DN.V1_DN	0.1865216598213913	0.2942922505789208	0.4236510848250996	1.0
BCAT.100_UP.V1_UP	0.18589414489424474	0.3493559603469682	0.4243184262129167	1.0
KRAS.AMP.LUNG_UP.V1_UP	0.18251947418990966	0.3677292153323611	0.4279745714466443	1.0
PRC1_BMI_UP.V1_UP	0.18195034490823467	0.2599237660060845	0.4286514011006389	1.0
PTEN_DN.V1_UP	0.17570995687226915	0.3222238003357823	0.4355430451008919	1.0
NOTCH_DN.V1_DN	0.1684968654495426	0.3124863083266432	0.4435574672654817	1.0
E2F1_UP.V1_DN	0.1631743032377653	0.39134794812289475	0.449269403504333	1.0
