	Score	MoE	P-Value	Q-Value
IPA_RELB_UP	0.9203949681071951	0.002596114767974857	0.0007685495603770004	0.9999999999720793
IPA_MITF_DN	0.8890629259089219	0.015599172718474863	0.005743563792776267	1.0
IPA_MYOG_UP	0.8733918621127109	0.017737614894682036	0.008482509962679486	1.0
IPA_SOX11_UP	0.8496571070611676	0.022306379867212966	0.0129230185337466	1.0
IPA_CREB3L1_UP	0.8365530219384757	0.019853044237791117	0.015320387121260041	1.0
IPA_MBD2_UP	0.8228196640925545	0.05677273476205059	0.01781263837054842	1.0
IPA_ABL1_DN	0.7997186026058254	0.05415709725638363	0.022370168891137958	1.0
IPA_GATA1_DN	0.7980449118300303	0.014514452992044624	0.02272439749509773	1.0
IPA_HOXA10_UP	0.7588373111208538	0.07446691654705369	0.031513694730849515	1.0
IPA_SREBF1_DN	0.7551250824834099	0.09112212193942103	0.0324625213485989	1.0
IPA_MLXIPL_DN	0.7531197623615729	0.06223346808534658	0.032997027009931054	1.0
IPA_EHF_UP	0.7482590861936457	0.01626561161531775	0.03407236384338035	1.0
IPA_IRF8_UP	0.747810687525624	0.11694275520029807	0.034211525080650264	1.0
IPA_SMAD7_DN	0.7403764192782434	0.09251060156381874	0.036052248719084065	1.0
IPA_NEUROD2_UP	0.7311429633906932	0.10640739918353138	0.03846859383895249	1.0
IPA_SMARCB1_DN	0.7253664578474968	0.07774732578999695	0.040116389398443926	1.0
IPA_SOX10_DN	0.7197949525788756	0.09301086378423212	0.041824277310392816	1.0
IPA_MEIS1_UP	0.7178270053280947	0.06891336136621255	0.04237775950407995	1.0
IPA_HHEX_DN	0.6938677716927508	0.3052300398551486	0.05001581377696249	1.0
IPA_CRX_UP	0.6908377225223615	0.2775618614643272	0.05105319754570182	1.0
IPA_MYB_UP	0.6869369048201729	0.15380230840834433	0.05239104307672845	1.0
IPA_FOSB_DN	0.6864843781306543	0.14541369737148893	0.05252071604782086	1.0
IPA_JUP_UP	0.6787475375560021	0.3313854598528447	0.05526282497311658	1.0
IPA_MECOM_UP	0.6688759169310444	0.24247441599853048	0.05867860079701436	1.0
IPA_FOSL2_UP	0.6688060992068737	0.04882117793465068	0.058697577329369345	1.0
IPA_RXRA_DN	0.6618315745425248	0.12456176325727268	0.061161363780125245	1.0
IPA_CDK1_UP	0.6534849489835421	0.17981778898134237	0.06434942121576318	1.0
IPA_MEIS2_UP	0.6523953323336535	0.395242560521776	0.06481118350306787	1.0
IPA_HOXA9_UP	0.6523399282987681	0.10080691667252961	0.06482067176924537	1.0
IPA_OTX2_UP	0.6490648681592368	0.10823165221750335	0.06591814789044215	1.0
IPA_EPAS1_UP	0.6382839851341882	0.3505187978403601	0.06995066101587703	1.0
IPA_CTCF_UP	0.6242066797772716	0.21565036268394386	0.07520716047820862	1.0
IPA_STAT5A_UP	0.6131963722525843	0.1493852650838249	0.07965083180466823	1.0
IPA_PITX2_DN	0.6027150958648502	0.24421700727685836	0.08389841229679297	1.0
IPA_MYOD1_UP	0.5914653480595232	0.29391470076091003	0.08872477702574483	1.0
IPA_HDAC2_UP	0.5842173512864343	0.07515582902586466	0.09197925232462521	1.0
IPA_E2F2_UP	0.5813239678770292	0.3056309526791101	0.09321272692769941	1.0
IPA_EGR1_UP	0.5762142812518825	0.07521036500528487	0.09548358529951294	1.0
IPA_KDR_UP	0.5727735099087361	0.06124942400046443	0.09696059206780948	1.0
IPA_TRIM28_UP	0.5569732937040792	0.20684778439576632	0.10435827693086216	1.0
IPA_THRA_DN	0.5536918553777552	0.23004981088858445	0.10592067809475615	1.0
IPA_HMGB1_DN	0.55146425841594	0.3601445207963398	0.10709722310076539	1.0
IPA_MAX_UP	0.5459578631656185	0.3944614573553908	0.10980454171674363	1.0
IPA_DBP_DN	0.5427734738587523	0.10090605972917287	0.1113985704345626	1.0
IPA_FOXO4_DN	0.5369498624075983	0.1783815131000512	0.11457713960402302	1.0
IPA_GATA1_UP	0.5347228392271635	0.2591655486027473	0.11574103358846227	1.0
IPA_SULT2A1_UP	0.5328581833771355	0.25573527987330313	0.11669302296160415	1.0
IPA_STAT5B_UP	0.5314404118415452	0.23470660257420825	0.11742361945727117	1.0
IPA_HIST1H1A_DN	0.5210309861044496	0.31487717514440444	0.12249351635144538	1.0
IPA_E2F4_UP	0.5083289342137559	0.21632633472726745	0.12918590676197103	1.0
IPA_NFATC1_DN	0.5080401836508365	0.18679291000551448	0.12932190524384843	1.0
IPA_LMO2_UP	0.5061690916567901	0.09811683847186008	0.13034980074641028	1.0
IPA_CREB3L2_UP	0.5061270311158615	0.4097595422307485	0.13038142830033525	1.0
