	Score	MoE	P-Value	Q-Value
LRRC6	0.8772565038269747	0.0142403580413036	0.0005447209145931	0.9996959726324806
RIMBP3	0.7920411506689355	0.0502061544935171	0.0053665097511768	1.0
MS4A1	0.7592656227498786	0.0336972206020602	0.008063214525891	1.0
WNT10B	0.6780259693281563	0.0724101458156955	0.017236045729657	1.0
KCNN4	0.6418476472114951	0.050684289724873	0.0231876260928043	1.0
CEP55	0.6299305747025298	0.0896707639469514	0.025689307330195	1.0
FAM110A	0.6114302668785297	0.0826005832842815	0.0295359784801613	1.0
ANKEF1	0.5770070286400325	0.1103568244248805	0.037841291190316	1.0
SLC34A2	0.5400837643169345	0.0751141763886292	0.049058507061197	1.0
CENPP	0.5316773098829123	0.1096092499432755	0.0518897108271688	1.0
GINS2	0.4868399099394145	0.0703309142523425	0.0686617350369872	1.0
SLC2A14	0.4713340798419412	0.1024103019731159	0.0749899125756556	1.0
HTRA1	0.4668047863940666	0.1084759283490035	0.0769670477471419	1.0
CHN1	0.4567551786455487	0.0646765496514577	0.0813718897108271	1.0
ZNF681	0.453200011248132	0.1319645860963293	0.0828581035642232	1.0
PCGF3	0.4119435666594215	0.1172970553570033	0.1025823806321452	1.0
SNTG2	0.4103352093716816	0.1172077291273136	0.1033624747814391	1.0
ZFAND3	0.4078494442802324	0.1213682708089336	0.1045729657027572	1.0
ORC6	0.3954082854808545	0.1245298285557289	0.1112979152656355	1.0
PZP	0.3808651879578453	0.0982271527648537	0.1197915265635507	1.0
DUSP4	0.3490124538619224	0.0927415607711632	0.138836583725622	1.0
LAMA4	0.3282726649815689	0.1039545002188981	0.1526967047747142	1.0
NIT2	0.3239237575486784	0.1615627576869146	0.1558574310692669	1.0
BBOF1	0.3209058193382757	0.2649970035192555	0.1580968392737054	1.0
PSMD12	0.3180995546170517	0.0831273975438772	0.1602420981842636	1.0
PIM3	0.3173272046426866	0.1425137147879404	0.1607531943510423	1.0
HSD17B2	0.3160093156888269	0.1699356504187882	0.1615870880968392	1.0
MISP	0.3121628506888822	0.0396378241803054	0.1643846671149966	1.0
NME6	0.3067149912052408	0.0743827421777986	0.1678883658372562	1.0
CPE	0.2982146998427497	0.0363817794140206	0.1784599865501008	1.0
WDR86	0.2948102379513518	0.0875192572195894	0.1822663080026899	1.0
INAFM2	0.2835003805337148	0.1230149164831692	0.1922730329522528	1.0
TULP2	0.2774687106828925	0.0725883427160321	0.1975453934095494	1.0
GNG8	0.274278592571329	0.057847092957681	0.2006859448554135	1.0
RPS6KA6	0.2727284270083301	0.1616299657827861	0.2021183591123066	1.0
MYH10	0.2721852433232049	0.1081374001084948	0.2026698049764626	1.0
LIPT2	0.2719883702943514	0.109833560382409	0.2028043039677202	1.0
C7orf61	0.27073248338864	0.0658317157025154	0.2039004707464694	1.0
MATN2	0.2571922841174165	0.1747224034714989	0.2159045057162071	1.0
AIFM2	0.247840660881443	0.1856564955068331	0.2247679892400807	1.0
SUV39H2	0.243573964401724	0.0920612597464535	0.2289643577673167	1.0
SPIN2B	0.2434170597406998	0.1184432948309413	0.2292131809011432	1.0
DDX3Y	0.2424199363552441	0.0564141411922173	0.2301143241425689	1.0
TMEM108	0.2345145993432925	0.1184155519988176	0.2381708137188971	1.0
MAGI1	0.2325868691649489	0.1650363765723492	0.2400605245460659	1.0
ARID5B	0.2231300394320938	0.1422089259488105	0.2495225285810356	1.0
N4BP1	0.2228902686154799	0.1723474149283954	0.2497848016139879	1.0
