	Score	MoE	P-Value	Q-Value
PDHA1	0.6649490546109574	0.0864829786561711	0.0193476798924008	1.0
SLC25A1	0.5493007227522241	0.102128145917893	0.0462474781439139	1.0
CHRNE	0.348235868345199	0.1471650219936967	0.1393678547410894	1.0
AGRN	0.3139150573753191	0.1320737094972231	0.1630329522528581	1.0
CHAT	0.1905714444223391	0.0989385960431138	0.3224478816408876	1.0
VAMP1	0.0750091521541512	0.1970981911601698	0.4683187626092804	1.0
MYO9A	-0.1364849282713887	0.1743282689679224	0.3866375252185609	1.0
HP_APNEIC_EPISODES_PRECIPITATED_BY_ILLNESS_FATIGUE_STRESS	-0.1629217913072684	0.1373527333259738	0.346131950154975	1.0
SNAP25	-0.16882341117119	0.1452020356895949	0.3428850033624748	1.0
SYT2	-0.6288603367850047	0.1538559658302809	0.0544586415601883	1.0
