	Score	MoE	P-Value	Q-Value
ZNF583	0.9219483488428516	0.0031590217973008	0.0006321452589105	0.9998992784993358
THRA	0.9217433979721368	0.0013640975773737	0.0006455951580363	0.9999171418489652
ZNF441	0.9205203797929412	0.0025084373488425	0.0007599193006052	0.9999842152749088
PSTPIP2	0.9203807914585898	0.0025113502443589	0.0007666442501681	0.9999856541436764
RASGRF2	0.9196120800894044	0.0020830274406748	0.0008473436449226	0.9999955331081258
APBA2	0.91895954271075	0.0030309267203739	0.0009751176866173	0.999999293321296
CD55	0.918006623990649	0.0035513927429501	0.0010894418291862	0.9999998639002584
HOOK1	0.916598335694756	0.0014810698689627	0.0012642905178211	0.9999999889941024
LYPD3	0.9134173405422256	0.0027278467208462	0.0016341627437794	0.9999999999453294
PLAG1	0.911254307564376	0.0040046066012982	0.0018897108271687	0.9999999999985756
LCMT2	0.9112143788324948	0.0077988384245738	0.0018897108271687	0.9999999999985756
PLEKHA4	0.9106196405030884	0.0111054298405617	0.001930060524546	0.9999999999991956
HAVCR1	0.9099961102021916	0.0042421197126009	0.001983860121049	0.9999999999996256
TIGD7	0.9086184759964764	0.0072656151335425	0.0021049092131809	0.9999999999999326
SELL	0.9052845163143628	0.0041347446409991	0.0025353059852051	1.0
MCTP2	0.9050701139337471	0.0061325985198038	0.0025487558843308	1.0
IRGM	0.8920708255356088	0.0141193907391981	0.0039946200403496	1.0
PLAC8	0.8859177235111853	0.0149860629298628	0.0046334902488231	1.0
BNIP3	0.869742856446458	0.0196253760825243	0.0065568258238063	1.0
DPP4	0.8546177385567875	0.032074984569634	0.0082918628110289	1.0
RNF157	0.8482333840848927	0.0317020857951463	0.009166106254203	1.0
DHRS13	0.8406118467197131	0.0421303126809158	0.009939475453934	1.0
ENPP5	0.8376125732057579	0.02279789066818	0.0102420981842636	1.0
CHD7	0.8263387553773044	0.0537631842300335	0.01182246133154	1.0
LIPT2	0.8226519977907222	0.0631996678223189	0.0122663080026899	1.0
GCNT4	0.8179856641879467	0.0657821712555807	0.0127975790181573	1.0
ZNF256	0.8155850584596068	0.0739397714666498	0.0130060524546065	1.0
C12orf66	0.8120114080374108	0.0464126876959526	0.0133624747814391	1.0
GPAT3	0.8113307660810268	0.0533149157432076	0.013476798924008	1.0
SUSD4	0.8087107393938158	0.0567334856547149	0.0137726967047747	1.0
WDR3	0.7914547691418619	0.0816702987535658	0.0158776059179556	1.0
MPP1	0.7572442351866723	0.1131263803071634	0.0207531943510423	1.0
SLC25A4	0.7480530041453938	0.0684004692963669	0.0220376597175521	1.0
DTX1	0.7403426573261466	0.068415235072979	0.0232279757901815	1.0
