	Score	MoE	P-Value	Q-Value
SNAP25	0.5975446792913105	0.3120737160673139	0.0621452589105581	1.0
SLC25A1	0.537053135068982	0.1276433916986307	0.0817148621385339	1.0
AGRN	0.43515261974656	0.1775480148233273	0.1224142568930733	1.0
PDHA1	0.3423248320057453	0.3815548240931665	0.1989576328177538	1.0
MYO9A	0.0910222099739107	0.2795769137163748	0.4155884330867518	1.0
VAMP1	-0.0664785552244692	0.3010574180345293	0.4888096839273705	1.0
SYT2	-0.0935418861884907	0.3415996572968771	0.4653799596503026	1.0
CHAT	-0.147576404877756	0.4273912619590937	0.4094485541358439	1.0
CHRNE	-0.4045214712053252	0.337679981351614	0.195965030262273	1.0
HP_APNEIC_EPISODES_PRECIPITATED_BY_ILLNESS_FATIGUE_STRESS	-0.4626434004605163	0.2197798597104978	0.1027009931051932	1.0
