	Score	MoE	P-Value	Q-Value
POLG2	0.9270024793670224	0.0002879019979711	0.0001008742434431	0.7711421176586026
SLC40A1	0.9260629736354146	0.0006987737036562	0.0001681237390719	0.9141929099911424
MLX	0.9246698187526712	0.0008848863856011	0.0003362474781439	0.9926104215805482
SMAD4	0.9194265167975972	0.0035644311203114	0.0009011432414256	0.9999979463836712
FAN1	0.9176634438612864	0.0025686941024598	0.001102891728312	0.9999998874256262
FOXP1	0.913081670760446	0.0069545782659858	0.001654337592468	0.9999999999589012
CARMIL2	0.9067925810482664	0.0021153089809325	0.0023133826496301	0.9999999999999964
POLG	0.8969840670372811	0.0080629611669083	0.0034835238735709	1.0
TGFBR2	0.8948119753375331	0.0099767189627265	0.0036919973100201	1.0
C9orf72	0.886139536149642	0.0141381716404146	0.0046200403496973	1.0
STAT3	0.8851684841081625	0.0031068821889236	0.0047545393409549	1.0
C1QBP	0.8840250926490194	0.0136830130224786	0.0048890383322125	1.0
MORC2	0.8815531035570878	0.0115388543972116	0.0052858103564223	1.0
EIF2AK4	0.8760514197008071	0.0167715597365215	0.0059314055144586	1.0
DNM1L	0.8729731022067271	0.0221017659847027	0.0062004034969737	1.0
PADI4	0.871455356634557	0.0137087142124232	0.0063080026899798	1.0
MST1	0.8645927231802497	0.0345560020106483	0.0071486213853396	1.0
ATM	0.862557911022362	0.0325876723950534	0.0073301950235373	1.0
TAZ	0.823311748044898	0.0554043888941793	0.0121990585070611	1.0
COMP	0.8138474842226797	0.0608877540224429	0.0131674512441156	1.0
UBAC2	0.8092501730213884	0.0603296139309769	0.0137457969065232	1.0
BIRC3	0.7969638082443601	0.0581681901524379	0.0151647612642905	1.0
IKZF1	0.7880061871526527	0.0703588832124784	0.0163281775386684	1.0
MMADHC	0.7825634847036961	0.1008477893506012	0.0171418964357767	1.0
HFE	0.7760445642413967	0.0204968618356903	0.0180564895763281	1.0
MALT1	0.7669585559060561	0.0910357051572447	0.0193409549428379	1.0
NFKBIL1	0.7635666167150951	0.0787148081881328	0.0198655010087424	1.0
MLH1	0.7574426354623464	0.0707457158799459	0.0207195696032279	1.0
SLC25A4	0.7480530041453938	0.0684004692963669	0.0220376597175521	1.0
IRF2BP2	0.7470580623384384	0.117261235128569	0.0221587088096839	1.0
SLC3A1	0.7375162574031096	0.0390925454531739	0.0237995965030262	1.0
COL5A2	0.7366759276511045	0.116699534519385	0.0239340954942837	1.0
MLH3	0.7346631690871445	0.0547244152443454	0.0243443174176193	1.0
TLR3	0.7184806053916487	0.115645507588876	0.0273638197713517	1.0
ARMC5	0.7181390273024216	0.1136098409392012	0.0274310692669805	1.0
TAF15	0.7038562213031916	0.0628265685632073	0.0321990585070611	1.0
PRPH	0.7012141828178408	0.1483286054639485	0.0327639542703429	1.0
INSR	0.6995493749481901	0.0756078174368251	0.0332078009414929	1.0
GLT8D1	0.6982651260577288	0.0538506216204418	0.0335440484196368	1.0
GCK	0.6968989178424483	0.1483286054639486	0.033920645595158	1.0
RRM2B	0.6927721630151568	0.1002589343772191	0.0350302622730329	1.0
PNPLA8	0.692727451457012	0.0347336165526697	0.0350369872225958	1.0
IL18BP	0.6789349209793111	0.1015433845765331	0.0386886348352387	1.0
BCL2	0.678225698625233	0.1287297541421347	0.0389778076664425	1.0
NPM1	0.677339575447508	0.4209271802959438	0.0392535305985205	1.0
BTK	0.6751082989126884	0.1039247377902738	0.0399327505043712	1.0
ALB	0.6693706189548881	0.1483286054639486	0.0413651647612642	1.0
HNRNPA1	0.6620782416455386	0.2212569715260519	0.0432817753866846	1.0
FUS	0.6550277351326423	0.0730235214435968	0.0450975117686617	1.0
TARDBP	0.6550036105901009	0.1240745731442421	0.0451109616677874	1.0
COL1A1	0.6526670488551569	0.0908471592304372	0.0456960322797579	1.0
GPR35	0.6513244592707651	0.2221956633667041	0.0460591795561533	1.0
PIGA	0.6487357124651794	0.0886148851483564	0.0468056489576328	1.0
EPOR	0.6389562523893912	0.083889229203658	0.0496704774714189	1.0
SVIL	0.6346528893342877	0.1479727976536065	0.050773369199731	1.0
MDM4	0.6323851829024448	0.3860784771067784	0.0514256893073301	1.0
