	Enrichment	P-Value	Q-Value
GOBP_REGULATION_OF_CD4_POSITIVE_CD25_POSITIVE_ALPHA_BETA_REGULATORY_T_CELL_DIFFERENTIATION	0.9660321517454747	0.1	1.0
IPA_ATF2_DN	0.9186017764555873	0.1	1.0
GOBP_DISACCHARIDE_BIOSYNTHETIC_PROCESS	0.9137627752243259	0.1	1.0
REACTOME_SUMO_IS_CONJUGATED_TO_E1_UBA2_SAE1	0.8955668975829532	0.1	1.0
GOCC_BRISC_COMPLEX	0.890608333317026	0.1	1.0
GOBP_POSITIVE_REGULATION_OF_TRANSMISSION_OF_NERVE_IMPULSE	0.8578731418578092	0.1	1.0
HP_ABNORMAL_OSSIFICATION_OF_THE_PUBIC_BONE	0.850474204614246	0.1	1.0
GOBP_THYMOCYTE_MIGRATION	0.8434577867474173	0.1	1.0
HP_SPONTANEOUS_HEMOLYTIC_CRISES	0.8403993429062526	0.1	1.0
GOBP_NEGATIVE_REGULATION_OF_TRANSCRIPTION_BY_RNA_POLYMERASE_I	0.8374717707931778	0.1	1.0
GOMF_SUPERCOILED_DNA_BINDING	0.837017534278046	0.1	1.0
IPA_MECP2_UP	0.8347093665437849	0.1	1.0
GOBP_NEGATIVE_REGULATION_OF_INTERLEUKIN_18_PRODUCTION	0.8315060200443986	0.1	1.0
GOCC_AIM2_INFLAMMASOME_COMPLEX	0.8311644121883637	0.1	1.0
GOMF_CORTICOTROPIN_RELEASING_HORMONE_RECEPTOR_BINDING	0.8270366759631721	0.1	1.0
HP_SPHEROCYTOSIS	0.8233651989323363	0.1	1.0
GOBP_POSITIVE_REGULATION_OF_CELL_CELL_ADHESION_MEDIATED_BY_INTEGRIN	0.8199691319849305	0.1	1.0
PETRETTO_LEFT_VENTRICLE_MASS_QTL_CIS_UP	0.8171520406454588	0.1	1.0
IPA_IRF9_DN	0.8133818680546392	0.1	1.0
HP_THYMUS_HYPERPLASIA	0.8109108031750268	0.1	1.0
GOBP_POSITIVE_REGULATION_OF_FC_GAMMA_RECEPTOR_SIGNALING_PATHWAY_INVOLVED_IN_PHAGOCYTOSIS	0.8075175575425252	0.1	1.0
GOBP_DNA_ENDOREDUPLICATION	0.8066437644456661	0.1	1.0
IPA_POU2F2_DN	0.806345371396101	0.1	1.0
MIR6765_5P	0.8054943360702617	0.1	1.0
GOMF_GPI_LINKED_EPHRIN_RECEPTOR_ACTIVITY	0.8046154335035923	0.1	1.0
GOBP_POSITIVE_REGULATION_OF_HEMATOPOIETIC_PROGENITOR_CELL_DIFFERENTIATION	0.8043824689198629	0.1	1.0
HP_PARTIAL_DUPLICATION_OF_THE_DISTAL_PHALANGES_OF_THE_HAND	0.8039017827111024	0.1	1.0
IPA_RFXANK_UP	0.8027341013822369	0.1	1.0
HP_DUMBBELL_SHAPED_LONG_BONE	0.7965185840727199	0.1	1.0
CHUANG_OXIDATIVE_STRESS_RESPONSE_DN	0.7958497239589655	0.1	1.0
HP_RECURRENT_INTRAPULMONARY_HEMORRHAGE	0.7932523718218591	0.1	1.0
REACTOME_FLT3_SIGNALING_BY_CBL_MUTANTS	0.7927196004671407	0.1	1.0
BIOCARTA_SUMO_PATHWAY	0.7919170230372343	0.1	1.0
LET_7E_3P	0.7893802522526906	0.1	1.0
IPA_MEIS2_UP	0.786594688513716	0.1	1.0
MONTERO_THYROID_CANCER_POOR_SURVIVAL_UP	0.7844578388333808	0.1	1.0
BIOCARTA_KREB_PATHWAY	0.7819707570484029	0.1	1.0
IPA_FOXP3_DN	0.7817847884520692	0.1	1.0
HP_SPOTTY_HYPOPIGMENTATION	0.7781122293133038	0.1	1.0
HP_ABNORMAL_JEJUNUM_MORPHOLOGY	0.7759838546922142	0.1	1.0
HP_JEJUNAL_ATRESIA	0.7759316561280446	0.1	1.0
GOMF_HISTONE_METHYLTRANSFERASE_ACTIVITY_H3_K27_SPECIFIC	0.7746621744221063	0.1	1.0
HP_AGENESIS_OF_MAXILLARY_INCISOR	0.7724065239371024	0.1	1.0
HP_BICORONAL_SYNOSTOSIS	0.7703022482353592	0.1	1.0
GOBP_REGULATION_OF_CD8_POSITIVE_ALPHA_BETA_T_CELL_DIFFERENTIATION	0.7693777360726387	0.1	1.0
GOBP_HYPOTHALAMUS_CELL_DIFFERENTIATION	0.7684408623703038	0.1	1.0
GOBP_REGULATION_OF_FC_GAMMA_RECEPTOR_SIGNALING_PATHWAY_INVOLVED_IN_PHAGOCYTOSIS	0.768248272604691	0.1	1.0
GOBP_PROSTATE_GLANDULAR_ACINUS_MORPHOGENESIS	0.7681379565327218	0.1	1.0
IPA_HMGB1_DN	0.767894825601241	0.1	1.0
CROSBY_E2F4_TARGETS	0.766318410753079	0.1	1.0
