	Score	MoE	P-Value	Q-Value
ZNF776	0.864941676785226	0.018435753435579322	6.767044493317543e-05	0.19666666666666666
DSC1	0.8645715049278766	0.01704440971744288	8.45880561664693e-05	0.19666666666666666
SCML1	0.8641463337346686	0.016749489048854933	0.00011278407488862572	0.19666666666666666
RPS15	0.8641201796331821	0.01837354254406227	0.00011278407488862572	0.19666666666666666
WHAMMP2	0.8640627269892736	0.017450426691088882	0.00011842327863305702	0.19666666666666666
KBTBD11	0.8637751049434346	0.017918416903419575	0.00013534088986635087	0.19666666666666666
IFNL3P1	0.8633927652656908	0.01752696932148472	0.00014661929735521344	0.19666666666666666
GP5	0.8633869410266626	0.01828162422860652	0.00014661929735521344	0.19666666666666666
EDAR	0.8632700016915281	0.017633780662788322	0.00015225850109964472	0.19666666666666666
SH2D3A	0.8631451450038023	0.017871142671173332	0.00016353690858850732	0.19666666666666666
YES1	0.8631400476366392	0.017978177876940123	0.00016353690858850732	0.19666666666666666
PBX3	0.8629227079168847	0.016892331375868676	0.00016353690858850732	0.19666666666666666
FAM240B	0.8624775468029284	0.01926341028056886	0.00018609372356623245	0.19666666666666666
TGFBR2	0.8623389278322802	0.018944259182245002	0.0002030113347995263	0.19666666666666666
NELL2	0.8621111212800253	0.017965543980631438	0.00023120735352168275	0.19666666666666666
ZNF702P	0.8617072845906549	0.017718232485091977	0.0002481249647549766	0.19666666666666666
C1orf162	0.8615611438549629	0.019129279227119742	0.0002481249647549766	0.19666666666666666
TAF4B	0.861527490940059	0.01812148607819676	0.00025376416849940786	0.19666666666666666
HEMGN	0.8614441967521145	0.018572371421568337	0.00025376416849940786	0.19666666666666666
TIGD6	0.8611901364664978	0.018279050960685377	0.00025376416849940786	0.19666666666666666
SELL	0.8610195121969235	0.01851842343764495	0.00027632098347713305	0.19666666666666666
GIMAP3P	0.8609753749728968	0.016607640531480086	0.00027632098347713305	0.19666666666666666
CTH	0.8608906522193174	0.01927277607292227	0.00027632098347713305	0.19666666666666666
SMTNL1	0.8607927471796224	0.01833608800556308	0.00027632098347713305	0.19666666666666666
ARHGEF1	0.8601550362171685	0.01815478690995039	0.0002932385947104269	0.19666666666666666
