	Score	MoE	P-Value	Q-Value
SELL	2.143065607266532	0.13345548936932	2.2556814977725146e-05	0.18750000000000003
DSC1	1.928514560330214	0.07792597791953389	3.383522246658772e-05	0.18750000000000003
CD5	1.8162832256306938	0.6782927171473611	3.383522246658772e-05	0.18750000000000003
IFNL3P1	1.7594173413481866	0.049070066005882255	5.639203744431286e-05	0.18750000000000003
LRRN3	1.6572378218738821	0.22013444065571391	6.767044493317543e-05	0.18750000000000003
ITGB1P1	1.6479895305323153	0.5256091084323127	7.330964867760672e-05	0.18750000000000003
CCR12P	1.5827982638865352	0.14252176258748195	7.8948852422038e-05	0.18750000000000003
KRT1	1.5780109329715033	0.521715012942338	8.45880561664693e-05	0.18750000000000003
ZNF148	1.4590664614872795	0.13908497667071917	0.00011278407488862572	0.22222222222222224
GIMAP3P	1.4372424071007919	0.05284207036626922	0.00012970168612191958	0.23
KRT73	1.4038677440291756	0.08449119282704018	0.00017481531607736988	0.2555555555555556
GP5	1.4015916144329061	0.09666394052615819	0.00017481531607736988	0.2555555555555556
RARRES2P2	1.3561702986281565	0.222610732074058	0.00019737213105509502	0.2555555555555556
RNA5SP229	1.3425744391370007	0.2195440191471969	0.00021428974228838887	0.2555555555555556
ASF1A	1.326114476789485	0.32267753835257607	0.00021992894603282016	0.2555555555555556
TMIGD2	1.319822813121144	0.16362432035497643	0.00023120735352168275	0.2555555555555556
GAPDHP22	1.292596925641496	0.15821389307562442	0.00025940337224383917	0.2555555555555556
EPHX2	1.2869794423630685	0.0724629385142312	0.00025940337224383917	0.2555555555555556
TRBV1	1.2266638267191383	0.1047612444488459	0.00034963063215473977	0.3263157894736842
GNG8	1.2064362830512978	0.3133215287742588	0.00039474426211019004	0.3333333333333333
LCK	1.2050923779899085	0.11691028935846007	0.00039474426211019004	0.3333333333333333
C1orf162	1.1660425452832406	0.059091786109418384	0.00047369311453222807	0.35666666666666663
DHX32	1.1337884424177593	0.145726127427259	0.0005075283369988157	0.35666666666666663
KLHL34	1.1268676656916599	0.07932261385815226	0.000530085151976541	0.35666666666666663
MAML2	1.1216802424921797	0.18719045694890293	0.0005413635594654035	0.35666666666666663
PLEKHF2	1.1029543740713035	0.3388246742817572	0.0005695595781875599	0.35666666666666663
LDLRAP1	1.0962598943109063	0.13227148739196337	0.0005864771894208537	0.35666666666666663
PIK3IP1	1.092944956111696	0.08953185974424022	0.0005921163931652851	0.35666666666666663
C5orf15	1.0837656554057884	0.13383671338211942	0.0005977555969097164	0.35666666666666663
CMPK1	1.081361339063006	0.28115605181694664	0.0006033948006541476	0.35666666666666663
MRPS25	1.0697164011058622	0.09594817523786112	0.000631590819376304	0.36129032258064514
EFNA1	1.0399545278059419	0.09430035461122094	0.0006936220605650482	0.3742857142857143
ETFRF1	1.0368577690446794	0.07262145634336581	0.0007049004680539108	0.3742857142857143
C1GALT1C1	1.0249466819149955	0.16959461243071283	0.0007218180792872047	0.3742857142857143
