Gene	Score	Margin of Error	P-Value	Q-Value
MN1	0.8079232022704537	0.013087381160949032	4.0769830325559084e-05	0.48500000000000004
MZT2A	0.791400555706079	0.009267973343452628	6.655075244319204e-05	0.48500000000000004
PPIA	0.780576061493678	0.013871549254391833	8.873433659092272e-05	0.48500000000000004
HNRNPD	0.767091048088905	0.013575084242576021	0.00012950416691648182	0.48500000000000004
FLT3LG	0.759093615886665	0.015674163562821666	0.00015768331434738294	0.48500000000000004
SOD1	0.7551726868840601	0.014285114901607018	0.0001744708915402602	0.48500000000000004
C1QTNF4	0.7410900447042064	0.015476774646633048	0.0002446189819533545	0.5828571428571429
HNRNPAB	0.7272831090599281	0.016063429987658143	0.00033515198752922837	0.66
ZNF100	0.7245987917532155	0.015817119423058672	0.00035613645902032496	0.66
DDX24	0.7053749743488501	0.014048631187522947	0.0005515918220516818	0.8993441064638783
NAP1L2	0.6946348596772359	0.018796072885296465	0.0006840937706097487	0.8993441064638783
CALR	0.6895718054189891	0.01683816169575749	0.0007482462977396726	0.8993441064638783
GLOD4	0.6890382452916306	0.014976448070869883	0.0007518436357095749	0.8993441064638783
PCNA	0.6886279159089083	0.019821474594272536	0.0007602374243060136	0.8993441064638783
RAB1A	0.6820650848458395	0.02283263714110923	0.0008645602254331794	0.8993441064638783
LRRC37A	0.6760794350772991	0.019249116315403388	0.0009472989987409317	0.8993441064638783
SUPT3H	0.6698471314613533	0.023073960709978976	0.0010546195815096828	0.8993441064638783
FAM174C	0.6671459271603899	0.02078046047424912	0.0010995863061334613	0.8993441064638783
AHSA1	0.6652216125444392	0.014040462945557535	0.0011433539181006055	0.8993441064638783
PPP2R2D	0.6631123884556607	0.023848411012694266	0.001190718868037652	0.8993441064638783
PNMA1	0.661770734750522	0.019857908262630515	0.001215900233826968	0.8993441064638783
ARL1	0.6595773421708405	0.016318502073117615	0.0012668625217339168	0.8993441064638783
ADCK2	0.6561408249812889	0.02647514779643819	0.0013412075064452304	0.8993441064638783
RAN	0.6487060956294236	0.016697600011761456	0.0015132801726722225	0.8993441064638783
NSMCE3	0.6475480529014305	0.022890566071629766	0.0015414593201031237	0.8993441064638783
PHAX	0.6427707317758342	0.024826846935044885	0.001664967923736435	0.8993441064638783
DTD1	0.6414274148734308	0.018032370801851497	0.0016979435217938726	0.8993441064638783
SRSF4	0.6386736341292922	0.025254658677205964	0.0017686911685352838	0.8993441064638783
CYREN	0.6340454552048372	0.02349564664887751	0.0018856046525571077	0.8993441064638783
SLC25A17	0.6331546497950518	0.019230128809842754	0.001904790455063253	0.8993441064638783
DIABLO	0.6305140726112994	0.01806639697825497	0.0019761376581329815	0.8993441064638783
RFC3	0.6281885113540269	0.018432355627748268	0.0020396906289345883	0.8993441064638783
SLC7A13	0.6268417876470184	0.019605285570930504	0.0020810600155884646	0.8993441064638783
OCIAD1	0.6223694764411678	0.02577210155043767	0.002209365069848312	0.8993441064638783
CCDC102A	0.6192510655873692	0.022605490209911448	0.0022980994064392348	0.8993441064638783
PMF1	0.6150554576167534	0.01790435533264113	0.0024359973619521554	0.8993441064638783
TXNDC11	0.6149945639829812	0.024605014265376486	0.0024365969182804726	0.8993441064638783
DTX3L	0.6129048779581455	0.022969402709790577	0.002512740571976737	0.8993441064638783
PSME1	0.6118296515813639	0.021164746275337053	0.002551112176989028	0.8993441064638783
SNRNP25	0.6088598220296034	0.023951068518358397	0.002652437196474609	0.8993441064638783
SSU72	0.6063218318685376	0.020435681765750027	0.002748366209005336	0.8993441064638783
SSC4D	0.605013247562443	0.017133317501375152	0.0027963307152706995	0.8993441064638783
GLTP	0.6037314635663912	0.018423765041346653	0.0028388992145812098	0.8993441064638783
