	Score	MoE	P-Value	Q-Value
FLT3LG	0.8148560689096079	0.02091030552708867	5.0752833699881576e-05	0.46
SLC7A13	0.8146444595558702	0.021290360701142694	6.203124118874415e-05	0.46
TRBV21-1	0.8136669303047994	0.02222231105885789	9.022725991090058e-05	0.46
MDC1	0.8132197985710802	0.022088580104198594	0.00011278407488862572	0.46
TRAV23DV6	0.8130667979312719	0.023211629883907483	0.00012970168612191958	0.46
PPIG	0.8122127802244791	0.020906623528578454	0.00018045451982180117	0.5333333333333333
HM13	0.810286247412987	0.02232051334818019	0.00034963063215473977	0.5890743073047859
PCTP	0.8102161374926734	0.024172454388837857	0.00036090903964360234	0.5890743073047859
CDH15	0.8098975513083283	0.020904958043794164	0.00037782665087689616	0.5890743073047859
YIPF4	0.8094581250123238	0.02118118038865108	0.0004060226695990526	0.5890743073047859
CCNF	0.8082426624750779	0.023077987948032255	0.0005977555969097164	0.5890743073047859
TRBJ1-6	0.808122179547886	0.0233927188850505	0.0006090340043985789	0.5890743073047859
TRAJ8	0.8080552538198312	0.02311143150351773	0.0006259516156318728	0.5890743073047859
TRAJ37	0.8079663706826546	0.01978178310200512	0.0006485084306095979	0.5890743073047859
ABHD12B	0.8078090187743621	0.025552324408417208	0.0006767044493317544	0.5890743073047859
ECPAS	0.80755208311322	0.02042431848819152	0.0007556533017537923	0.5890743073047859
STOML1	0.8074680434448341	0.022464243252610056	0.0007612925054982237	0.5890743073047859
SBF1	0.8065003235002096	0.023943967586041406	0.001381604917385665	0.5890743073047859
PRG4	0.8063591447018512	0.019629074929995303	0.0013928833248745278	0.5890743073047859
HSD17B1P1	0.8059483479471709	0.02070651803749442	0.0014549145660632719	0.5890743073047859
OR9M1P	0.8047204299668208	0.020732761215135335	0.0016297298821406417	0.5890743073047859
TP53RK	0.8045897296726828	0.02454239907338145	0.0016579259008627982	0.5890743073047859
DNAJA1	0.8037238434997885	0.026452948773945658	0.0017481531607736987	0.5890743073047859
FAM210B	0.8019777435546843	0.025679589194436258	0.0019398860880843625	0.5890743073047859
HSPA8P18	0.8019631930090951	0.018263876955012436	0.0019398860880843625	0.5890743073047859
TRBV7-3	0.8017336019971956	0.0203265895772019	0.0019737213105509503	0.5890743073047859
RAD9A	0.8001164997993226	0.021409973349654412	0.002188011052839339	0.5890743073047859
APIP	0.799813126015738	0.02283666197060438	0.0022162070715614954	0.5890743073047859
GSKIP	0.7997965369406361	0.023088204345231345	0.0022162070715614954	0.5890743073047859
ARL17B	0.7987126541418724	0.019403256952107522	0.002379743980150003	0.5890743073047859
MIF	0.7985735980617638	0.021733466284705294	0.002402300795127728	0.5890743073047859
KNOP1	0.798007894419338	0.018124886339663845	0.002481249647549766	0.5890743073047859
EIF5AP2	0.7975088049395943	0.022615186114543693	0.002537641684994079	0.5890743073047859
MIA2	0.7969127448318658	0.021495977949504707	0.002639147352393842	0.5890743073047859
DDX54	0.796761882529409	0.028006675779205015	0.0026729825748604296	0.5890743073047859
LARP7	0.796724303326727	0.021760672475701934	0.0026729825748604296	0.5890743073047859
ST13P11	0.795743192739403	0.02591091204886468	0.0028139626684712117	0.5890743073047859
OR7E84P	0.7957419587133688	0.02095597301787939	0.0028139626684712117	0.5890743073047859
PLA2G4D	0.7953650020288475	0.029342284045752953	0.0028703547059155247	0.5890743073047859
ALKBH7	0.7948066912733415	0.0250185226100306	0.0029211075396154062	0.5890743073047859
SAFB2	0.7936350146354054	0.024194270431326825	0.0030226132070151693	0.5890743073047859
OR8D1	0.7933625799569922	0.029174596586063677	0.0030564484294817573	0.5890743073047859
XRN1	0.7928787953011462	0.01982143198688027	0.0031184796706705013	0.5890743073047859
RPL14P1	0.7927461412076039	0.032904557429476254	0.003163593300625952	0.5890743073047859
AGAP2	0.7920880013713387	0.02302208961149067	0.0032763773755145774	0.5890743073047859
TRAJ29	0.791826926311238	0.02531438156876614	0.0032932949867478713	0.5890743073047859
MED4	0.7899490228008222	0.030314918940584676	0.003563976766480573	0.5890743073047859
MZT2A	0.7890405183459228	0.016171096445782792	0.003648564822647042	0.5890743073047859
C4orf3	0.7889066437763895	0.02664556359030777	0.003659843230135905	0.5890743073047859
MRPS33	0.7886310905486932	0.027987785822920122	0.003688039248858061	0.5890743073047859
MGAT4EP	0.7878786210260975	0.026010337918537647	0.0037726273050245306	0.5890743073047859
FBXL17	0.7871765461895938	0.030172534265009984	0.003840297749957706	0.5890743073047859
PIK3C3	0.7871209615834568	0.02409604335039016	0.0038515761574465686	0.5890743073047859
SPATA2P1	0.7864478004090262	0.02308172372709909	0.004116618733434839	0.5890743073047859
CEP170	0.7858569561754036	0.02908456381493353	0.004308351660745503	0.5890743073047859
MAZ	0.7858184012056949	0.03409440765804697	0.004319630068234366	0.5890743073047859
MN1	0.7856585616164943	0.037172985078812226	0.004376022105678678	0.5890743073047859
ACTL11P	0.7846747301991491	0.023584942159644042	0.004770766367788868	0.5890743073047859
MFSD4BP1	0.7842251656372974	0.015524110132004325	0.00504144814752157	0.5890743073047859
DHRS4L2	0.7839872497299203	0.030127450350624602	0.005188067444876783	0.5890743073047859
UBAC2	0.7837094499451859	0.036087404824326354	0.005340325945976428	0.5890743073047859
RWDD3	0.7826001385204004	0.033937272983066404	0.007601646647493374	0.5890743073047859
HAUS1	0.7824008347184412	0.0314609636279515	0.007787740371059606	0.5890743073047859
SLIRP	0.7822733534231386	0.02835443457229465	0.007855410815992782	0.5890743073047859
OR8B9P	0.7822365302661721	0.017068484659069353	0.007877967630970506	0.5890743073047859
GTF2A2	0.7812380763526043	0.03397841784787862	0.00832346472678058	0.5890743073047859
STRCP1	0.7805049256902391	0.039692497740339505	0.008526476061580105	0.5890743073047859
RNF166	0.7798199660741897	0.0328773320821921	0.008690012970168613	0.5890743073047859
FKBP9P1	0.7797514738680381	0.01765920085004753	0.008690012970168613	0.5890743073047859
MAFIP	0.7772290985766646	0.02853302415882446	0.009462583883155698	0.5890743073047859
MTFMT	0.7771839943839027	0.03670975782052267	0.009473862290644562	0.5890743073047859
VDAC2	0.7769736671750342	0.03852576059679882	0.009547171939322167	0.5890743073047859
DCST1	0.7768067519847296	0.03127428606172423	0.009569728754299893	0.5890743073047859
RPEL1	0.7763674057099199	0.026553907647085387	0.009676873625444088	0.5890743073047859
EVI2A	0.7763673368459862	0.023806319329147747	0.009676873625444088	0.5890743073047859
PSMD13	0.7759857443528018	0.02631283134656817	0.009767100885354988	0.5890743073047859
STRAP	0.7755318387878104	0.02751476421361787	0.00986296734901032	0.5890743073047859
ACTR3C	0.7745176687316226	0.027911933149114474	0.01012237072125416	0.5890743073047859
NFE2L3	0.7737551450905559	0.018518019012687122	0.010319742852309254	0.5890743073047859
GRK6P1	0.7735049366056292	0.0351709217554376	0.010381774093497997	0.5890743073047859
SNRPA1P1	0.7734768581834781	0.021323947279649164	0.010381774093497997	0.5890743073047859
SNW1	0.7731652993784539	0.036882640126328504	0.010449444538431173	0.5890743073047859
PRELID1P1	0.7730188408859047	0.03231665776988085	0.010483279760897761	0.5890743073047859
MYRF	0.7730010720447243	0.015368679344938104	0.010483279760897761	0.5890743073047859
TIMMDC1	0.7724670208195205	0.027541383015835544	0.010590424632041956	0.5890743073047859
TRAJ7	0.7718042036510213	0.043097710506709956	0.01065809507697513	0.5890743073047859
GSDMB	0.7715872268214492	0.026766887069938572	0.010669373484463994	0.5890743073047859
CNOT4	0.771475298804332	0.02702051222707295	0.010669373484463994	0.5890743073047859
RIMBP3	0.7714572946705721	0.037933297193909	0.010669373484463994	0.5890743073047859
CEBPG	0.7709850394461785	0.01852054029995529	0.010737043929397169	0.5890743073047859
DHRS12	0.7699660253101861	0.03545430729188147	0.010861106411774657	0.5890743073047859
WFDC1	0.7685569610063914	0.026701593764788825	0.011126148987762928	0.5890743073047859
PPP1R14B	0.7669802948117013	0.029896648470751838	0.011430665989962218	0.5890743073047859
TMCO4	0.7668417147938162	0.0411502331267402	0.011475779619917668	0.5890743073047859
MBD5	0.7666893581443128	0.03482161980066166	0.011520893249873118	0.5890743073047859
SLC35F5	0.766052401546665	0.0361832748146947	0.01170698697343935	0.5890743073047859
GALNT11	0.7648700811812157	0.02811273592763273	0.011938194326961034	0.5890743073047859
ZNF100	0.7643260797335869	0.03796024504667339	0.012011503975638639	0.5890743073047859
CCDC91	0.764312956990605	0.03679580765377995	0.012011503975638639	0.5890743073047859
SLC24A2	0.7634238655608983	0.030055086366185386	0.012242711329160322	0.5890743073047859
TIMM21	0.7633660132792024	0.03700082859207792	0.012242711329160322	0.5890743073047859
BAZ1A	0.7629040739745839	0.015093878874184551	0.012316020977837929	0.5890743073047859
ATIC	0.762219251165165	0.04535225846023238	0.012440083460215417	0.5890743073047859
NDUFA6	0.7611615738648985	0.025648268771423927	0.012722043647436981	0.5890743073047859
SBNO1	0.7607717212964707	0.0375517134487394	0.012812270907347883	0.5890743073047859
CCDC186	0.7607368985044682	0.04416422114238919	0.012817910111092314	0.5890743073047859
PBK	0.7605186809830785	0.014990129234483583	0.012902498167258783	0.5890743073047859
ZNF705A	0.7602498180547574	0.011153243112452844	0.01297016861219196	0.5890743073047859
FMO7P	0.7600632987737858	0.045890056803620884	0.013049117464613997	0.5890743073047859
TAS2R46	0.759553689111168	0.011627879706957467	0.013144983928269328	0.5890743073047859
ANAPC16	0.7588629665720064	0.006225522530600092	0.013252128799413523	0.5890743073047859
TARBP1	0.7584033966089683	0.03988495485800112	0.01337055207804658	0.5890743073047859
TNFSF4	0.7579409530326332	0.027855785918179245	0.013432583319235324	0.5890743073047859
CCDC138	0.7577000833605916	0.013647807285802754	0.01345514013421305	0.5890743073047859
BNIPL	0.7576792367510707	0.012312421837116403	0.01345514013421305	0.5890743073047859
QRSL1	0.7571912102847072	0.04475149405854889	0.01350589296791293	0.5890743073047859
MTND4P9	0.7561257198137188	0.023705335340236004	0.013686347487734733	0.5890743073047859
TMEM138	0.755914856348119	0.026346488117904746	0.013697625895223595	0.5890743073047859
C17orf114	0.7551898674179397	0.031078641414518226	0.01381040997011222	0.5890743073047859
LGALS12	0.7549113588740957	0.013035505975132299	0.01384988439632324	0.5890743073047859
OR1C1	0.7549029224467807	0.040677273265261445	0.01384988439632324	0.5890743073047859
EIF4E2	0.7546764148159395	0.020973088965370434	0.01389499802627869	0.5890743073047859
OR2T33	0.7536437448824511	0.018641793789192576	0.014086730953589354	0.5890743073047859
TRBJ1-4	0.7535298612496326	0.045991434158554924	0.014098009361078216	0.5890743073047859
LMTK3	0.753500963493566	0.04226176502349895	0.014109287768567078	0.5890743073047859
RPSAP48	0.7534911423594312	0.02777916252946926	0.014114926972311509	0.5890743073047859
BLVRA	0.7510268195056249	0.05194128279875238	0.014504032030677268	0.5890743073047859
CTAGE6	0.750548037632847	0.028787412939954543	0.014594259290588168	0.5890743073047859
IMPDH1P11	0.7504742693513042	0.01636375005019459	0.014605537698077032	0.5890743073047859
ZNF644	0.7494001683618595	0.04467948468648602	0.014746517791687813	0.5890743073047859
NDUFAF7	0.7490585038671166	0.04579811248403662	0.014780353014154401	0.5890743073047859
CWF19L1	0.7489012159911435	0.028313996884470418	0.014802909829132127	0.5890743073047859
UBTFL11	0.7485868469215475	0.01925971601036738	0.014836745051598715	0.5890743073047859
GPX1	0.7482808189649892	0.040170954590441156	0.014898776292787458	0.5890743073047859
IL15	0.7477430956339602	0.04192935410456785	0.015005921163931653	0.5890743073047859
DCUN1D3	0.747508648987644	0.05004194738036524	0.01507923081260926	0.5890743073047859
RPL21P39	0.7474016578071975	0.032831004287512476	0.015096148423842553	0.5890743073047859
ALMS1P1	0.7472573742669976	0.05278718015013748	0.01511870523882028	0.5890743073047859
CEP55	0.747011806649653	0.04634663021103849	0.01520893249873118	0.5890743073047859
SUPT16HP1	0.7468262038445933	0.040299022858210055	0.01520893249873118	0.5890743073047859
ZMYND8	0.7465522241472701	0.05212419610183162	0.015242767721197767	0.5890743073047859
PYY	0.7464189265635004	0.030622835139562977	0.01525968533243106	0.5890743073047859
NDUFAB1P1	0.7458636248885023	0.041405843660035566	0.015372469407319686	0.5890743073047859
METTL23	0.7452129890157304	0.00948561580049786	0.015541645519652625	0.5890743073047859
ZNF277	0.744827903675532	0.04059611709817402	0.015620594372074663	0.5890743073047859
RIOK2	0.7442991902150787	0.04596181081979812	0.01570518242824113	0.5890743073047859
OR10A3	0.743460816786827	0.03432145975299152	0.01583488411436305	0.5890743073047859
NT5C1B-RDH14	0.74282308389756	0.03274526973739481	0.015953307392996108	0.5890743073047859
ELL3	0.7426292002489857	0.03737776270334921	0.015992781819207127	0.5890743073047859
SIM2	0.7421760660101546	0.027540637606458227	0.016054813060395873	0.5890743073047859
MDH1B	0.7413905168218333	0.023218777654013503	0.01622962837647324	0.5890743073047859
PGRMC2	0.7412808651352143	0.023689771514186237	0.016257824395195398	0.5890743073047859
MAST1	0.7407129440701414	0.014786935969235285	0.01635369085885073	0.5890743073047859
SDHAF3	0.740269154556219	0.011321377103905553	0.016427000507528336	0.5890743073047859
C20orf204	0.7399844466238938	0.011819970726189845	0.016460835729994926	0.5890743073047859
RPL7P23	0.7399057055776813	0.03257727883254524	0.016466474933739355	0.5890743073047859
DDX10	0.7397107035338036	0.051565427028280174	0.016489031748717083	0.5890743073047859
FAM240C	0.7394815458763461	0.017100275921151483	0.016579259008627983	0.5890743073047859
TMEM163	0.7393503561591556	0.02473740136148374	0.016596176619861274	0.5890743073047859
BHLHB9P1	0.7391365275718388	0.016632194707637247	0.016641290249816726	0.5890743073047859
KRT8P21	0.7388123571162283	0.02140273119414143	0.01670332149100547	0.5890743073047859
OR7A17	0.7386069590156915	0.05622647468547762	0.016731517509727626	0.5890743073047859
MCM7	0.7378551586845864	0.038013700072526295	0.016906332825804997	0.5890743073047859
TRAJ3	0.7376585283390183	0.034038434772368134	0.016911972029549426	0.5890743073047859
BEND2	0.7374826804936	0.02684079011894802	0.016934528844527154	0.5890743073047859
ZNF280D	0.7367416874604849	0.03381776145943659	0.017086787345626797	0.5890743073047859
ZYX	0.7362030151537499	0.03852321178468803	0.017177014605537697	0.5890743073047859
BAIAP2L1	0.7358873561353468	0.01905724519603036	0.017329273106637344	0.5890743073047859
BLOC1S5	0.7358256998109569	0.01871898653198136	0.017351829921615068	0.5890743073047859
GTF2H1	0.7357324363410175	0.055247137990728286	0.01736310832910393	0.5890743073047859
RPL21P136	0.7352746710363699	0.02896587261453834	0.017391304347826087	0.5890743073047859
CARS1	0.7349886382609643	0.05666829323193844	0.017458974792759263	0.5890743073047859
TRAV14DV4	0.7349034898682054	0.0466588896797673	0.017464613996503692	0.5890743073047859
DHX33	0.7348457094945512	0.02430916474049573	0.017475892403992558	0.5890743073047859
UBTFL9	0.7347396221561034	0.013889180466676294	0.01748717081148142	0.5890743073047859
GOLGA6L4	0.7347286825253849	0.03865484774956701	0.017498449218970282	0.5890743073047859
RBPJP6	0.7337176647243944	0.01733380260517143	0.017661986127558787	0.5890743073047859
DPF2	0.7329889507308638	0.04733006708411359	0.017808605424914	0.5890743073047859
AHSA1	0.7327337784179183	0.05152090244483065	0.01784807985112502	0.5890743073047859
