	Score	MoE	P-Value	Q-Value
TRAV23DV6	2.4596071195590783	0.13136690865399417	2.819601872215643e-05	0.19999999999999998
TRDJ4	2.4577491984386	0.2475925175168497	2.819601872215643e-05	0.19999999999999998
TRBV7-3	2.3186668876593215	0.06941634737880252	3.383522246658772e-05	0.19999999999999998
TECRP1	2.1236993926662864	0.21654429028876165	6.203124118874415e-05	0.275
TRAJ60	1.7754687087179262	0.28882353750395195	0.0001691761123329386	0.5166666666666666
APIP	1.7665086402929067	0.08413250602757517	0.00017481531607736988	0.5166666666666666
NDUFA6	1.6718175107377875	0.1559234802212302	0.00021992894603282016	0.5571428571428572
APMAP	1.5047820191482217	0.4612988166536645	0.0003383522246658772	0.6166666666666666
TRAJ59	1.4917411162040588	0.3348467449294074	0.00034399142841030846	0.6166666666666666
TRAJ61	1.4256556841797798	0.26782174869049113	0.0004116618733434839	0.6166666666666666
RPL39L	1.424104868770748	0.32973498261975837	0.0004116618733434839	0.6166666666666666
MTDH	1.4162316621366409	0.48411629274670825	0.0004173010770879152	0.6166666666666666
MZT2A	1.343819551491567	0.14416749215535332	0.0005695595781875599	0.6636363636363637
RPL13P12	1.289673648600186	0.5541304482162882	0.0006767044493317544	0.6636363636363637
RWDD1	1.2778796884509986	0.35770632649204	0.0006823436530761857	0.6636363636363637
LYSMD2	1.277445750107013	0.3327067337651237	0.0006823436530761857	0.6636363636363637
POLR2I	1.262754925246401	0.09565471776188421	0.0007161788755427734	0.6636363636363637
EIF4EBP1	1.255409429964597	0.40872307726572016	0.0007387356905204985	0.6636363636363637
TRBV6-2	1.2389422083846786	0.15251612521126276	0.0007612925054982237	0.6636363636363637
VEGFB	1.223173709570334	0.22775211412235222	0.0007669317092426549	0.6636363636363637
MIS18A	1.2032308235773657	0.09780278168021644	0.0008120453391981052	0.6636363636363637
BLOC1S5-TXNDC5	1.190579584723054	0.14493356689275497	0.0008233237466869678	0.6636363636363637
MAFIP	1.1186908372049098	0.08572675741224356	0.0010545311002086505	0.7728260869565218
TRAJ29	1.1082978336927907	0.03326608092946615	0.001082727118930807	0.7728260869565218
PIP4P2	1.0818038647998327	0.19948552494432284	0.001201150397563864	0.7728260869565218
TRAJ14	1.060285797719756	0.33414954868008334	0.001263181638752608	0.7728260869565218
ZCRB1	1.018605091567947	0.11257094143841774	0.0015451418259741724	0.7728260869565218
DDX11L2	1.0178120324932398	0.28630044703096563	0.0015507810297186037	0.7728260869565218
PPIG	1.0114129684455602	0.08031719535507438	0.0016184514746517792	0.7728260869565218
MYL12B	1.0111054321981658	0.16109729796729774	0.0016184514746517792	0.7728260869565218
MTCYBP18	0.9812713538002762	0.1651596898152374	0.0017763491794958552	0.7728260869565218
WRNIP1	0.9719241223591422	0.2823211515868516	0.0018383804206845993	0.7728260869565218
SRP72	0.9664145837600377	0.1338458485635514	0.001911690069362206	0.7728260869565218
RP9	0.954588405185445	0.22622713573977618	0.0019793605142953813	0.7728260869565218
NSFP1	0.9541556541220277	0.19914539909783516	0.0019793605142953813	0.7728260869565218
TMEM59	0.9307987740521533	0.13699972393048224	0.002182371849094908	0.7728260869565218
TTC39C	0.9291589495689374	0.08165383738929645	0.0021936502565837704	0.7728260869565218
ISCA1P1	0.9229495545129756	0.21819078935289224	0.002261320701516946	0.7728260869565218
TC2N	0.9144520719687868	0.3424825588747415	0.002300795127727965	0.7728260869565218
TRAJ24	0.914172402727802	0.07929037196955145	0.002306434331472396	0.7728260869565218
MBD2	0.9125008928891245	0.21353180011091155	0.0023177127389612585	0.7728260869565218
TRAJ16	0.908895506725079	0.13600764285820727	0.0023684655726611404	0.7728260869565218
CEBPG	0.9088189833409841	0.049176813933260476	0.0023684655726611404	0.7728260869565218
RNF166	0.9072560899227506	0.07275131999936241	0.002385383183894434	0.7728260869565218
MYCBP	0.9031702044051548	0.20030455538112088	0.002402300795127728	0.7728260869565218
AGAP2	0.900429881861656	0.04642756507362677	0.0024079399988721595	0.7728260869565218
USP1	0.8894811013480478	0.15975369600836797	0.002526363277505216	0.7728260869565218
XRN1	0.8857529114900012	0.08464613935966825	0.002577116111205098	0.7728260869565218
ST20-MTHFS	0.8857343265569604	0.27354032514292853	0.002577116111205098	0.7728260869565218
GPX1	0.885370448439128	0.06765236270140636	0.002577116111205098	0.7728260869565218
MTND6P3	0.8833186974082502	0.23315079549782372	0.0025883945186939606	0.7728260869565218
RPL32P27	0.8777056220080883	0.12291554826735514	0.002639147352393842	0.7728260869565218
CALHM6	0.876266923237345	0.10832132876184658	0.0026560649636271356	0.7728260869565218
NDUFAB1P1	0.8731333347640989	0.06424853047599557	0.0026955393898381546	0.7728260869565218
RNA5SP68	0.8723645601706538	0.08780852070114986	0.0026955393898381546	0.7728260869565218
IL21R	0.870253357507936	0.09176820378883627	0.0027350138160491737	0.7728260869565218
STRAP	0.8671782306589289	0.06515622090782289	0.0027688490385157616	0.7728260869565218
CD27	0.8653592657010274	0.15728464952388743	0.0027914058534934867	0.7728260869565218
PFDN2	0.8642318785371644	0.10663920186758556	0.0028139626684712117	0.7728260869565218
TOPORS	0.8606456401611002	0.27681670315351214	0.002836519483448937	0.7728260869565218
CRIPT	0.8522477347089994	0.19888872494081725	0.0029323859471042687	0.7728260869565218
CCR8	0.8502830735256638	0.15254048685639976	0.0029493035583375627	0.7728260869565218
RHEBP1	0.8445838215837358	0.1014067661650964	0.0030395308182484633	0.7728260869565218
CBWD4P	0.840580160153475	0.1741602685160172	0.0030790052444594823	0.7728260869565218
ARMCX7P	0.838219638884888	0.19595030181358056	0.0031072012631816388	0.7728260869565218
MSC	0.8344031778455534	0.11419368110897642	0.0031805109118592453	0.7728260869565218
HELQ	0.8310220160478419	0.14443110240720017	0.003282016579259009	0.7728260869565218
PPIL1	0.8264566799278354	0.22889207958658242	0.003344047820447753	0.7728260869565218
CD2	0.8233461237010005	0.31361739719823883	0.0033609654316810464	0.7728260869565218
C1GALT1C1	0.821818720155379	0.17176502812980765	0.0033722438391699094	0.7728260869565218
LNX2	0.8205432979813392	0.06896535184417008	0.003383522246658772	0.7728260869565218
LSP1P1	0.816629683233091	0.11060083130630306	0.0034173574691253594	0.7728260869565218
TRAV14DV4	0.8147505994358286	0.09849546727298102	0.003445553487847516	0.7728260869565218
CFAP97	0.8147190819454493	0.17880093906154537	0.003445553487847516	0.7728260869565218
TRBV5-7	0.8112663540082238	0.07732064774745957	0.0034793887103141035	0.7728260869565218
RNA5SP469	0.8086518922555594	0.14080886326928835	0.0035188631365251225	0.7728260869565218
HSPD1	0.7978537659240402	0.18612452025480955	0.0036711216376247675	0.7728260869565218
TRAJ3	0.7944476102709848	0.06262309313069347	0.0037105960638357865	0.7728260869565218
MIF	0.7944179768918369	0.06518904911369995	0.0037105960638357865	0.7728260869565218
MAF1	0.7933903544453119	0.1964951448408414	0.003721874471324649	0.7728260869565218
GSKIP	0.7870817347231768	0.03675030557065247	0.003806462527491118	0.7728260869565218
RNA5SP298	0.7865796232206762	0.20471388009999006	0.003823380138724412	0.7728260869565218
MTND2P28	0.7842474575166127	0.24215002905763758	0.0038346585462132746	0.7728260869565218
GNG8	0.7820278307577511	0.23349044737912825	0.0038684937686798626	0.7728260869565218
PEX11B	0.7811788597876509	0.15468308548767268	0.003879772176168725	0.7728260869565218
AMZ2P1	0.7796297789754094	0.13070084851384048	0.00390232899114645	0.7728260869565218
TRAJ2	0.7793710565505769	0.08767695388177205	0.003913607398635313	0.7728260869565218
CD164	0.77776011800527	0.13974873269732915	0.003941803417357469	0.7728260869565218
PRKCQ	0.7764856238321456	0.1691882614491574	0.003969999436079626	0.7728260869565218
ATIC	0.7756461098988408	0.06516334200320177	0.003981277843568488	0.7728260869565218
RNA5SP260	0.7729230941615159	0.22242474230803863	0.004009473862290645	0.7728260869565218
ZHX2	0.7727996337528468	0.16465637662203622	0.004009473862290645	0.7728260869565218
TPTEP2-CSNK1E	0.7641433397283499	0.23259469523680598	0.004173010770879152	0.7882978723404255
DCLRE1CP1	0.7633201544760297	0.29307594046296676	0.004178649974623583	0.7882978723404255
NFE2L3	0.7563471668191254	0.05081521542237119	0.004364743698189816	0.8124880497131931
TRAJ7	0.7496350864320975	0.06295178035092784	0.004567755032989342	0.8124880497131931
SNRPD2	0.7371775388718186	0.09108635055905374	0.004827158405233181	0.8124880497131931
IGHV4-34	0.7339943729071724	0.17371924921421122	0.004889189646421925	0.8124880497131931
MRPL35	0.7269251012866949	0.15135703375396223	0.004990695313821688	0.8124880497131931
RNA5SP88	0.7224522245930847	0.1821102081401691	0.005064004962499295	0.8124880497131931
TGIF2-RAB5IF	0.7220230211856418	0.07810615650055733	0.005069644166243726	0.8124880497131931
TRAV15	0.7182829016419711	0.16095914788299165	0.005126036203688039	0.8124880497131931
FBXL17	0.7179680726687809	0.048289360786139435	0.00513167540743247	0.8124880497131931
HPCAL1	0.717477042258654	0.09157829719295217	0.005137314611176902	0.8124880497131931
