Gene	Score	Margin of Error	P-Value	Q-Value
ANKRD30BL	2.5318861460020856			
PCSK5	2.468128341133228			
CCL4	1.7422449213201405			
F8A3	1.4450939380528185			
NKG7	1.414159924208362			
GNLY	1.4117638795560055			
C1orf21	1.3152070985130648			
FGFBP2	1.2919157788702984			
PPP2R2B	1.2156888571169895			
PIGY	1.212673227600186			
SLAMF7	1.1729237408335633			
LIMS3	1.1708645072460442			
C16orf54	1.1018434869254783			
CCL5	1.0922610236986117			
GZMK	1.0736794084020822			
HLA-DRB5	1.0378687186267574			
KIAA0513	0.9931922876386463			
CDC20	0.99120173054473			
SERPINB6	0.9576243347487194			
CALHM6	0.9556184949668349			
HLA-DQB1	0.9531304993004994			
IL18RAP	0.9503280176268505			
KLHL11	0.9333319373698921			
CPNE7	0.9288906701629811			
HLA-DRB1	0.899330844043952			
CFD	0.8905744994603526			
DDX11	0.8869676410764828			
FHL1	0.8760981521893934			
FAM168B	0.8749664084156255			
FANCA	0.8729421637011652			
ESM1	0.8605170378355051			
TNFRSF18	0.852631690559539			
GZMH	0.8445800197952842			
S1PR5	0.838152602060986			
ADARB2	0.8339583861528639			
APH1A	0.8196396578939495			
MEX3C	0.8182273828521702			
PDGFD	0.8041498654656298			
LRRC37A	0.8037907320316577			
EOMES	0.8025321812990027			
ACTB	0.8003760308040615			
KIR3DL2	0.7998956688170045			
ADRB2	0.7985825314434782			
DLGAP5	0.7926296721652681			
S100A2	0.7812451941920862			
GBP5	0.7752883010735712			
ADGRG5	0.7747751115320609			
GZMA	0.7599242531916781			
ZNF100	0.7582564789976667			
KLRK1	0.7578082721027783			
RAB19	0.7545367030004134			
HNRNPA0	0.7495731546426292			
PDCD1	0.7472305590375949			
PLEK	0.7425622962398633			
MVB12B	0.7385072213292017			
DBNDD1	0.731537616575511			
APOBEC3H	0.7307307369741922			
APOBEC3B	0.7228236399117682			
GPR27	0.7216976859885651			
GSDMA	0.71570051639624			
TBX21	0.7139899272406156			
ENC1	0.713558915502505			
MATK	0.7077732545002453			
LGALS9	0.7031386407312681			
ZNF365	0.7011016176218894			
TNFRSF4	0.6934114968642628			
MIDN	0.6899269347898964			
