Gene	Score	Margin of Error	P-Value	Q-Value
ANKRD30BL	2.5318861460020856	0.09820732471011015	9.832723784399544e-05	0.895
PCSK5	2.468128341133228	0.10547858316071616	0.00010732058276875113	0.895
CCL4	1.7422449213201405	0.1329563421987393	0.0005144193296960249	0.9988935709125933
F8A3	1.4450939380528185	0.09056495783310232	0.0010402302296300737	0.9988935709125933
NKG7	1.414159924208362	0.16868132091508697	0.001122969002937826	0.9988935709125933
GNLY	1.4117638795560055	0.15142163322287916	0.0011295641225493136	0.9988935709125933
C1orf21	1.3152070985130648	0.11905232494467152	0.001438935187960909	0.9988935709125933
FGFBP2	1.2919157788702984	0.17796384745660676	0.0015270699682235146	0.998892754318618
PPP2R2B	1.2156888571169895	0.06320021611387965	0.001823850350740452	0.9986557495051287
PIGY	1.212673227600186	0.1304061110974554	0.0018412374842616463	0.9986557495051287
SLAMF7	1.1729237408335633	0.09751550618963656	0.00203129684033815	0.998567400563921
LIMS3	1.1708645072460442	0.14975956411514726	0.002045086635889442	0.998567400563921
C16orf54	1.1018434869254783	0.13682870219195342	0.0024413933689070087	0.9982768344633107
CCL5	1.0922610236986117	0.06653108974050018	0.0025133401283050543	0.9982653306132245
GZMK	1.0736794084020822	0.1118803289855214	0.0026722225553090714	0.9981662166216623
HLA-DRB5	1.0378687186267574	0.2129281888826549	0.002955812698603034	0.9979416706673068
KIAA0513	0.9931922876386463	0.048874191007593513	0.0033191438335631635	0.9976378803336734
CDC20	0.99120173054473	0.09359937102591961	0.003343126086695845	0.9976378803336734
SERPINB6	0.9576243347487194	0.07867157744442518	0.003671083398285269	0.9974059180121241
CALHM6	0.9556184949668349	0.09861287720058923	0.0036920678697763653	0.9974059180121241
HLA-DQB1	0.9531304993004994	0.06118387288442726	0.003723844355177169	0.9974059180121241
IL18RAP	0.9503280176268505	0.11268670796314124	0.003753822171593021	0.9974059180121241
KLHL11	0.9333319373698921	0.04974667718783673	0.003938485520714671	0.9973770787056494
CPNE7	0.9288906701629811	0.14891968029671634	0.003987649139636669	0.9973770787056494
HLA-DRB1	0.899330844043952	0.11668661392697699	0.004394148330235626	0.9970411287901532
CFD	0.8905744994603526	0.02978708297965395	0.004529048504106961	0.9969652936231536
DDX11	0.8869676410764828	0.07414892391353868	0.00455962587685113	0.9969652936231536
FHL1	0.8760981521893934	0.05781556407899504	0.004722705198153367	0.9968916646649051
FAM168B	0.8749664084156255	0.037116454846348707	0.004742490556987829	0.9968916646649051
FANCA	0.8729421637011652	0.08385616767348399	0.00476467414113556	0.9968916646649051
ESM1	0.8605170378355051	0.02977185642319117	0.004936147251034234	0.9968574689170521
TNFRSF18	0.852631690559539	0.06674882013705188	0.005052461178727741	0.9968008169149447
GZMH	0.8445800197952842	0.20741742084054415	0.005189759577912345	0.9967237340061272
S1PR5	0.838152602060986	0.14510419930508311	0.0052892859284129744	0.9966826865312988
ADARB2	0.8339583861528639	0.16642770972688742	0.005350440673901313	0.9966812856713728
APH1A	0.8196396578939495	0.03571802353446667	0.0056238383596138855	0.9964671953857246
MEX3C	0.8182273828521702	0.03765248500165832	0.005650218838059835	0.9964671953857246
PDGFD	0.8041498654656298	0.09616181342281309	0.005927813418070628	0.9962822978007451
LRRC37A	0.8037907320316577	0.03166149383526756	0.005934408537682115	0.9962822978007451
EOMES	0.8025321812990027	0.06135075756744922	0.005958390790814797	0.9962822978007451
ACTB	0.8003760308040615	0.07775768344453285	0.005987769050902332	0.9962822978007451
KIR3DL2	0.7998956688170045	0.050209688821203156	0.005996762395827088	0.9962822978007451
ADRB2	0.7985825314434782	0.07732228746891803	0.006022543317944721	0.9962822978007451
DLGAP5	0.7926296721652681	0.08915987854206747	0.006157443491816056	0.9962822978007451
S100A2	0.7812451941920862	0.06457380906862523	0.006411055818694166	0.9962170123234144
GBP5	0.7752883010735712	0.07117002666808528	0.006551351999520355	0.9961362270049295
ADGRG5	0.7747751115320609	0.04299946305737521	0.006566340907728281	0.9961362270049295
GZMA	0.7599242531916781	0.12803930466545702	0.006938065831284849	0.9958682058682059
ZNF100	0.7582564789976667	0.024160162342588932	0.0069776365489537745	0.9958682058682059
KLRK1	0.7578082721027783	0.11585502575619251	0.006988428562863481	0.9958682058682059
RAB19	0.7545367030004134	0.02538522009404917	0.007066370885544697	0.9958682058682059
HNRNPA0	0.7495731546426292	0.043579474794593905	0.007186282151208106	0.995859995188838
PDCD1	0.7472305590375949	0.1942748440847544	0.00724024222075664	0.995859995188838
PLEK	0.7425622962398633	0.08279725905374355	0.007379339288926195	0.995784915193071
MVB12B	0.7385072213292017	0.04977714306291918	0.0074944541039630675	0.9957293233082707
DBNDD1	0.731537616575511	0.08736425974850046	0.007668325439175011	0.9956153753609239
APOBEC3H	0.7307307369741922	0.10941688295345467	0.007692307692307693	0.9956153753609239
APOBEC3B	0.7228236399117682	0.03384733953106442	0.007909347083158463	0.9954927204909155
