Gene	Score	Margin of Error	P-Value	Q-Value
ZNF10	0.9268092063479888	0.011523793486485146	5.995563283170454e-06	0.00023866348448687351
SCML1	0.9263353430169503	0.0115630344013547	1.1991126566340908e-05	0.00047393364928909954
GP5	0.9263113351686842	0.011717532305207936	1.1991126566340908e-05	0.00047393364928909954
CEP70	0.925666984473535	0.011370479509760043	1.1991126566340908e-05	0.00047393364928909954
KLHL9	0.9256027279050593	0.011511096771261668	1.798668984951136e-05	0.0007092198581560283
FHIT	0.9250484286448097	0.011646130861878101	3.597337969902272e-05	0.0014117647058823528
SLC22A17	0.9248005154597195	0.011174371524581932	3.597337969902272e-05	0.0014117647058823528
TSPYL2	0.9240957540244934	0.011465069571593637	5.995563283170454e-05	0.002347417840375587
TRABD2A	0.9235815007577284	0.011650916303057115	6.5951196114875e-05	0.0025581395348837207
ACVR2A	0.9235411184030721	0.011557616086857604	6.5951196114875e-05	0.0025581395348837207
TCEAL9	0.9233799347101869	0.011620103200668839	6.5951196114875e-05	0.0025581395348837207
SCPEP1	0.9231164952575547	0.01182931161757868	6.5951196114875e-05	0.0025581395348837207
SMYD5	0.9228092241217627	0.011333276933797716	7.79423226812159e-05	0.0030162412993039443
TMEM30B	0.922750167527471	0.0117061629848727	8.99334492475568e-05	0.0034642032332563508
LRRC23	0.9226690009213598	0.011275350874376288	8.99334492475568e-05	0.0034642032332563508
EIF4EBP3	0.9225648951591213	0.0116253432186319	9.592901253072727e-05	0.003686635944700461
FAM89A	0.922502483815179	0.011646333648370645	0.00010792013909706817	0.004137931034482759
CASP10	0.9222155413956844	0.01168690794925067	0.00011391570238023863	0.004357798165137615
PRXL2A	0.9221702747988751	0.011647688508352514	0.00011991126566340908	0.004566210045662101
CITED4	0.9220168211698052	0.011829547928162341	0.00011991126566340908	0.004566210045662101
C14orf132	0.9217280588958305	0.011170961978434568	0.00012590682894657952	0.0047619047619047615
SORBS3	0.9215363601434794	0.011313409352797257	0.00012590682894657952	0.0047619047619047615
REV1	0.9215152502324938	0.011571627783281652	0.00012590682894657952	0.0047619047619047615
GNG7	0.9211450268523648	0.011683860999292407	0.00014988908207926136	0.0056433408577878106
ETS2	0.9210548157151158	0.011419822670791694	0.00014988908207926136	0.0056433408577878106
GCA	0.9209217867598738	0.011404544641186181	0.0001558846453624318	0.005803571428571429
GPRASP1	0.9208952285344353	0.01120261248321023	0.0001558846453624318	0.005803571428571429
SELL	0.9206666962045611	0.011890157780093646	0.0001558846453624318	0.005803571428571429
AXIN2	0.9206257972344475	0.011396415760586134	0.0001558846453624318	0.005803571428571429
KDM6B	0.9204287156182326	0.012101075765992654	0.0001558846453624318	0.005803571428571429
YAE1	0.9201360971954328	0.011616724938889088	0.00016787577192877272	0.0062360801781737195
EPHX2	0.9200066922421521	0.011020858123861032	0.00018586246177828406	0.006873614190687361
MAP4K4	0.9198507931333989	0.010782752433334616	0.00018586246177828406	0.006873614190687361
