	Score	MoE	P-Value	Q-Value
FTLP5	0.8659710008137493	3.563172858176087e-05	0.00014735107362706608	0.005066666666666667
GDF5	0.8659657485689763	6.439866461118301e-05	0.00020454655615336146	0.007021630615640599
LRRC37A12P	0.8659635077162903	6.767298183804465e-05	0.00021424070573408948	0.0073421926910299
RPL29P2	0.8659624258297115	6.070128303771722e-05	0.00022926663758421792	0.007844112769485904
MTCO1P21	0.8659318821642406	0.00015412082302196625	0.00032378459599631624	0.011059602649006623
RPSAP63	0.8659285798460977	0.00011665863987678293	0.00033105520818186223	0.011289256198347107
ZNF454	0.8659283005329457	0.00016863345826885704	0.00033493286801415347	0.011402640264026404
MYBBP1A	0.8659269879272173	0.0004558996804918638	0.0003402646502835539	0.01156507413509061
RPL12P4	0.8659066561815121	0.00022291562109750921	0.0004682274247491639	0.015888157894736844
CFAP61	0.8658997568292482	0.00016969357329663765	0.0004866463089525471	0.016486042692939244
IGSF11	0.8658844033564251	0.0002838113319336167	0.0005273617371916049	0.017836065573770495
EDAR	0.8658646914507925	0.00017126554083646901	0.0005898890019873006	0.019918166939443534
CYP2J2	0.8658646328904214	0.0002688122661532729	0.0005918278319034463	0.019950980392156863
GPR157	0.8658557904479688	0.00016638778246060756	0.00063981387232805	0.021533442088091354
GPRC5B	0.8658531775500827	0.00018636886867908628	0.0006635645388008337	0.022296416938110748
SNX31	0.8658523203445276	0.00018918129124461197	0.0006664727836750521	0.022357723577235773
WNT5B	0.8658494970952126	0.0003417360834618699	0.0006945858174591634	0.02326298701298701
SLC6A13	0.8658446486054725	0.00017886384426835282	0.0007139741166206194	0.023873581847649917
GPC3	0.8658393754552535	0.00022928242601047714	0.0007396636130095487	0.024692556634304207
CFAP97D2	0.8658372312681326	0.0001854468743307637	0.0007551742523387136	0.02516962843295638
PPIP5K1	0.8658368461792333	0.0005215795680930157	0.0007571130822548592	0.025193548387096774
RIN3	0.8658368362336756	0.0005768964668595842	0.0007590519121710048	0.025217391304347827
DNAJC19P7	0.865835784869047	0.00020272344321609022	0.000765353109398478	0.025385852090032152
GP1BA	0.8658325054665406	0.000308907349770096	0.0007861955309970433	0.026035313001605134
SOX8	0.8658259439588635	0.00035832180321455545	0.0008206097620086278	0.027131410256410256
MAN1C1	0.8658188592584799	0.0004346476341581011	0.0008559934079782851	0.028256
EPS8	0.8658181760726497	0.0006241359137484504	0.0008579322378944307	0.02827476038338658
GNB3	0.8658130811999851	0.00040917805931537645	0.0008913770539479424	0.029330143540669856
INHBE	0.8658082896312214	0.0004122788237025542	0.0009199747952110901	0.03022292993630573
STX1B	0.8658078304134545	0.00022847623286601559	0.0009272454073966361	0.030413354531001587
SMARCA1	0.8658055418935398	0.0002694792277469203	0.0009398478018515826	0.03077777777777778
ANKRD20A17P	0.8658010819312808	0.00031383768752339116	0.0009563278561388202	0.03126782884310618
FER	0.8658008306888633	0.000416065252407861	0.0009606902234501479	0.031360759493670884
DUOXA1	0.8657827691601326	0.00027833943546898347	0.0010552081818622462	0.034391785150078985
POLG2	0.8657818682696902	0.00030920163409099536	0.0010595705491735737	0.0344794952681388
KRTAP4-12	0.865775559491368	0.00022558630091433458	0.0011065871746401047	0.03595275590551181
MMS19	0.8657751483193494	0.0004117290593663102	0.0011099801269933594	0.03600628930817609
CCNB3	0.865765842458763	0.0003604899101392561	0.001167175609519655	0.037802197802197804
IMPDH2	0.8657638247086396	0.0004670527027109304	0.0011831709563278562	0.038260188087774295
RPS3AP29	0.8657578353371511	0.0003104438035301151	0.0012175851873394406	0.03931142410015649
ANOS2P	0.8657507932875275	0.00035037769574302815	0.001256846493141389	0.040515625
SLC7A6	0.8657373316032954	0.0006658719164099537	0.001289321894236828	0.04149765990639625
CDC27P1	0.8657192953246692	0.0003481118779747932	0.0013688139207987979	0.043987538940809964
PIMREGP1	0.8657112121405582	0.00025413705694045933	0.001397896369540982	0.04485225505443235
PSG2	0.8656993110158213	0.00032840485234050224	0.0014318258930735301	0.0458695652173913
GRM2	0.8656871185320152	0.00038188828032124174	0.0014686636614802966	0.046976744186046505
CPSF1P1	0.865672324167952	0.0004540347359039476	0.001528282681401774	0.04880804953560371
HDAC11	0.8656642695372235	0.0005838064065525144	0.0015544568852697397	0.049567233384853165
AKAP17BP	0.8656639149484618	0.0002828917825778787	0.0015602733750181765	0.04967592592592593
ABHD11-AS1	0.8656620090927216	0.00027602412090828136	0.0015660898647666132	0.04978428351309707
YES1	0.8656508646777472	0.0003312985133678982	0.0016077747079637438	0.051030769230769234
OR52K3P	0.8656467513050259	0.0002936266018910814	0.00161504532014929	0.051182795698924734
ATG16L2	0.8656214275700966	0.0006594510770736555	0.0016736949251126944	0.052960122699386505
CACHD1	0.8656095229838007	0.0006933969287982414	0.0017119868159565703	0.05408882082695253
ZNF10	0.865581630502172	0.0006420877400959913	0.001806020066889632	0.056972477064220185
PFN1P11	0.8655729415949251	0.0003818922645792519	0.00182783190344627	0.05757251908396946
SLC40A1	0.8655587968219018	0.0005582648601131783	0.0018535213998351994	0.05829268292682927
RHBDF1	0.8655469503566773	0.00036747500395764625	0.001885512093451602	0.059208523592085234
ME3	0.8655417223867697	0.0004887528745937272	0.001902476855217876	0.05965045592705168
KCNC2	0.8655342017920207	0.0004742641735887604	0.0019116862973195677	0.05984825493171472
TRABD2A	0.8655280178774079	0.0005359779354973358	0.0019267122291696962	0.06022727272727273
MTATP6P27	0.8655115573913055	0.000347443391546553	0.0019611264601812808	0.06121028744326778
MLLT3	0.8655055797224577	0.0004478531467038926	0.0019839077116959917	0.06182779456193355
DPPA3P2	0.8655031467603563	0.0005812594062879523	0.0020023265958993746	0.0623076923076923
BMPR1AP2	0.8654968845662172	0.00048474079966175494	0.002022199602539867	0.062796992481203
RPL12P18	0.8654966762150085	0.0004131617505774809	0.002024138432456013	0.062796992481203
SMPD4BP	0.8654547466561532	0.0004431680564630653	0.0020890892346468906	0.06471471471471472
RSL1D1	0.865450917937754	0.0006063907230950597	0.0020973292617905096	0.06487256371814093
ADH1A	0.8654364334055294	0.000702256828426002	0.002124957588095584	0.06562874251497006
CEMP1	0.8654240895170413	0.0007881016512070712	0.002153555329358732	0.06641255605381165
GPER1	0.8654102164964784	0.0004245258745982717	0.0021782754107895885	0.06707462686567164
FOXJ2	0.865363160831169	0.00035485949523763883	0.002236440308273957	0.06876304023845008
