	Score	MoE	P-Value	Q-Value
SELL	2.2679276888812607	0.2526032290425682	2.819601872215643e-05	0.2833333333333333
ITGB1P1	1.8603856413958255	0.49407441817941383	6.203124118874415e-05	0.2833333333333333
DSC1	1.8282676808657408	0.11851423575091628	6.767044493317543e-05	0.2833333333333333
LRRN3	1.7688093069809228	0.25172237562349203	9.022725991090058e-05	0.2833333333333333
GNG8	1.767032512212086	0.31084917544754437	9.022725991090058e-05	0.2833333333333333
IFNL3P1	1.7599714178349184	0.17425099375549516	9.586646365533187e-05	0.2833333333333333
KRT1	1.5913467210230015	0.9041602853858534	0.0002030113347995263	0.41363636363636364
ZNF148	1.5723511184193248	0.11047003594984983	0.0002030113347995263	0.41363636363636364
TRAJ25	1.5544038393074806	0.6810641105762746	0.00021992894603282016	0.41363636363636364
GIMAP3P	1.4893838349325972	0.13467507171370402	0.00030451700219928944	0.41363636363636364
TRBV1	1.4481082456596859	0.16084773605775485	0.00034963063215473977	0.41363636363636364
CCR12P	1.4452036764825205	0.1618776516418305	0.00034963063215473977	0.41363636363636364
GP5	1.3854513284537442	0.04702337591781749	0.00039474426211019004	0.41363636363636364
RNA5SP229	1.3674323257833982	0.39632623845948567	0.0004173010770879152	0.41363636363636364
TMIGD2	1.3561739658264589	0.22573758247879672	0.00043421868832120905	0.41363636363636364
KRT73	1.3549477377382968	0.17189190377119087	0.00043421868832120905	0.41363636363636364
GLUL	1.3537418028685049	0.10332573320739584	0.00043421868832120905	0.41363636363636364
LCK	1.325235425144883	0.08389559432308029	0.0004793323182766593	0.41363636363636364
C1orf162	1.310682510622867	0.11867322270267627	0.00048497152202109064	0.41363636363636364
PPIAP45	1.302253215361619	0.5386285751290865	0.0005018891332543845	0.41363636363636364
GAPDHP22	1.285662669229863	0.29372312870386597	0.0005131675407432471	0.41363636363636364
EPHX2	1.284116983153293	0.16982001077847797	0.0005131675407432471	0.41363636363636364
FAM3C2P	1.2199022075779475	0.32505250710520195	0.0006259516156318728	0.475
RPL21P119	1.2093042201002175	0.2567100181370825	0.0006428692268651666	0.475
DHX32	1.1752573847011105	0.11466449729195838	0.0007161788755427734	0.4851851851851852
MAML2	1.1722099495244231	0.21922521399956418	0.0007330964867760672	0.4851851851851852
ETFRF1	1.1714692794274726	0.10812051168428981	0.0007387356905204985	0.4851851851851852
LYSMD2	1.1601607572214054	0.4500779906240029	0.0007725709129870862	0.48928571428571427
MRPS25	1.1253543172868263	0.2544491004827392	0.0008402413579202616	0.4980392156862745
RPS29P14	1.1041741790913462	0.14353595901298263	0.000885354987875712	0.4980392156862745
BANF1P1	1.092444139324787	0.13564531835705854	0.0009417470253200248	0.4980392156862745
C1GALT1C1	1.0775433947681439	0.23444794933536184	0.0009981390627643377	0.4980392156862745
PIK3IP1	1.068218332234528	0.10707829380560502	0.001043252692719788	0.4980392156862745
THNSL1	1.0676225091001497	0.06608483349576354	0.001043252692719788	0.4980392156862745
KLHDC3	1.0562346296908154	0.254200424407921	0.001082727118930807	0.4980392156862745
TRAJ1	1.052847329970862	0.3698232307033527	0.0011052839339085322	0.4980392156862745
LDLRAP1	1.046384765280748	0.24348771239305644	0.0011165623413973947	0.4980392156862745
IGLV5-52	1.0416339987031118	0.563337147139477	0.0011503975638639825	0.4980392156862745
STAP1	1.0278939199180384	0.2993515951591839	0.0011842327863305702	0.4980392156862745
KLHL34	1.0264311326768614	0.1648761526208904	0.0011842327863305702	0.4980392156862745
FAM241B	1.0156325091854055	0.2146292877809536	0.001223707212541589	0.4980392156862745
RPL22P3	1.013246799128246	0.33214206110913097	0.0012293464162860205	0.4980392156862745
SEC22B3P	1.0089994461599734	0.34847123679899994	0.0012575424350081768	0.4980392156862745
EVI2B	1.007136234486401	0.2862643547373473	0.0012688208424970395	0.4980392156862745
RPL12P29	1.0006903930696578	0.10563707938162671	0.001319573676196921	0.4980392156862745
ASF1A	0.9991061183845747	0.2596447193999924	0.001319573676196921	0.4980392156862745
RARRES2P2	0.9817546654208427	0.48805342707300614	0.0014154401398522528	0.4980392156862745
SLC25A28	0.9791076608874041	0.2119657358127424	0.001421079343596684	0.4980392156862745
NDFIP1	0.977629545217763	0.25885553145626244	0.001421079343596684	0.4980392156862745
RGL1	0.9767315635268522	0.2226680169303573	0.001421079343596684	0.4980392156862745
RNA5SP493	0.9745179901736506	0.334386772748193	0.0014323577510855468	0.4980392156862745
RNA5SP297	0.9543617370626651	0.377295621680328	0.0015225850109964474	0.5025316455696203
TAFA1	0.9523750143306711	0.4421573511204307	0.0015451418259741724	0.5025316455696203
FAM229B	0.9476296976473935	0.14524947487591688	0.0015564202334630351	0.5025316455696203
RPS9P1	0.9284840519791028	0.24578496354547055	0.001652286697118367	0.5025316455696203
