Gene	Score	Margin of Error	P-Value	Q-Value
NOG	4.323676855224654	0.11003701719366812	8.99334492475568e-06	0.15
FHIT	3.653641743005882	0.03168475292372872	2.877870375921818e-05	0.174
SELL	3.512169459302699	0.07932779641313768	4.136938665387613e-05	0.174
KRT73	3.3742091679194033	0.0493600884596902	4.9763175250314766e-05	0.174
EDAR	3.3662645232387387	0.06606552721992869	5.216140056358295e-05	0.174
AK5	3.0363531215416293	0.0686016350023663	0.00011031836441033635	0.2784285714285714
CNN3	2.9074145080662834	0.056801732501475265	0.0001516877510642125	0.2784285714285714
AIF1	2.846483580383743	0.16700100798824533	0.00016487799028718747	0.2784285714285714
DACT1	2.7716663997031987	0.05523189100297513	0.00017806822951016248	0.2784285714285714
PECAM1	2.514822931544111	0.1496515865843646	0.00024881587625157385	0.2784285714285714
MMP28	2.4303137385374027	0.062209450053300905	0.0002931830445470352	0.2784285714285714
LRRN3	2.4182989784211717	0.1894227339500547	0.0003021763894717909	0.2784285714285714
C14orf132	2.3958508563177623	0.032710054835781904	0.00032675819893278975	0.2784285714285714
ADTRP	2.387742935983396	0.051115129998944596	0.00033635110018586246	0.2784285714285714
SLC40A1	2.374268997567878	0.06415229938029823	0.0003459440014389352	0.2784285714285714
SLC16A10	2.366424344992938	0.0836151077457346	0.0003531386773787397	0.2784285714285714
PRXL2A	2.3601114688357105	0.04057624967728351	0.00035733557167695905	0.2784285714285714
NELL2	2.3518081428987987	0.08648923030076341	0.000369926254571617	0.2784285714285714
SCML1	2.35085285604764	0.029296968445590037	0.0003735235925415193	0.2784285714285714
BEND5	2.255053740023012	0.056932020866335566	0.00043407878170154086	0.2784285714285714
STAP1	2.1857079191908633	0.15370676767206598	0.00048564062593680675	0.2784285714285714
NET1	2.1771996713156248	0.07835748597787313	0.0004952335271898795	0.2784285714285714
UBE2E2	2.1768943141166437	0.09539525487243992	0.0004976317525031477	0.2784285714285714
RNF175	2.1648045209064857	0.0714679613578377	0.0005078242100845375	0.2784285714285714
EFNA1	2.1503119238837787	0.08273273665101524	0.0005210144493075124	0.2784285714285714
SLC22A17	2.0701633392899055	0.02852928629248875	0.0005947598776905091	0.2784285714285714
RGMB	2.05995320021787	0.05956130067851208	0.0006019545536303136	0.2784285714285714
ACTN1	2.029870510035532	0.07426383781931936	0.0006199412434798249	0.2784285714285714
PLAG1	2.0037552047062612	0.058616265638476606	0.0006439234966125068	0.2784285714285714
NMNAT3	1.9988488900382126	0.04162608862081115	0.0006505186162239942	0.2784285714285714
SATB1	1.9946214567439888	0.07540550521623789	0.0006577132921637988	0.2784285714285714
MYZAP	1.9636643590529939	0.12084332910204479	0.0006954853408477727	0.2784285714285714
DSC1	1.9630303941025429	0.03809768309328609	0.0006978835661610408	0.2784285714285714
SLC22A23	1.961112360137217	0.0338708773029338	0.000699682235145992	0.2784285714285714
KANK1	1.954051813713575	0.05089088656121352	0.0007110738053840159	0.2784285714285714
IFNGR2	1.9251006041680174	0.04974801360560453	0.0007572396426644283	0.2784285714285714
TRIM2	1.9240492105060052	0.057141372897782074	0.0007590383116493794	0.2784285714285714
RBM11	1.914351742858777	0.06387195002282407	0.0007716289945440374	0.2784285714285714
PLLP	1.9063533772355123	0.043172740974654435	0.0007764254451705738	0.2784285714285714
TMIGD2	1.9023618467784504	0.11058832770281264	0.000779423226812159	0.2784285714285714
CA6	1.8835748083448538	0.0655028685088628	0.000806403261586426	0.2784285714285714
TRABD2A	1.8724125386487946	0.022124898104919775	0.0008135979375262306	0.2784285714285714
DHX32	1.868191755744866	0.0795132588916079	0.0008153966065111817	0.2784285714285714
RIN1	1.8677320459886073	0.038762495743248845	0.0008177948318244499	0.2784285714285714
APBA2	1.8572097175227746	0.041919475123289425	0.0008351819653456442	0.2784285714285714
GNAI1	1.8473484506992544	0.1054834565127442	0.0008531686551951556	0.2784285714285714
NEFL	1.8277685973417714	0.04713373658861963	0.0008843455842676419	0.2784285714285714
NME4	1.8277649180791427	0.08206389985237995	0.0008867438095809101	0.2784285714285714
GSTT1	1.8267251731333278	0.11930609071827822	0.0008951375981773488	0.2784285714285714
EPHA1	1.8143421437706655	0.043900996332879125	0.0009173211823250794	0.2784285714285714
SNTB1	1.7991224385689468	0.028943666750401026	0.0009455003297559806	0.2784285714285714
TSPAN6	1.7938990779278494	0.0676631533513323	0.0009556927873373704	0.2784285714285714
AEBP1	1.7863908825075445	0.034790685436628194	0.0009682834702320283	0.2784285714285714
PTK2	1.775045247572261	0.036602911178546124	0.0009868697164098568	0.2784285714285714
USP44	1.7643284978801357	0.04801045739267168	0.0010072546315726362	0.2784285714285714
KRT2	1.7600930427820975	0.039904759607828896	0.0010168475328257089	0.2784285714285714
