	CD4 minus TA in CFS208 vs CD4 minus TA in Healthy
ACTB	-1904.5764687000003
PABPC1	-1622.8499343710002
TMSB10	-916.5500000000002
SARAF	-878.3881214187527
MTRNR2L8	-659.4300000000001
CCR7	-472.2235099999999
PTMA	-466.70742600000017
LEF1	-440.7610780029108
SELL	-393.705962
TLE5	-382.17490899999984
FCMR	-340.08745
TCF7	-310.59238060247554
RPL18	-283.5181829999999
PFN1	-261.78588999999965
LIMD2	-238.4674520000001
LDHB	-229.86938999999984
TMEM123	-226.23994300000004
MTRNR2L1	-221.04599999999994
LDLRAP1	-215.44937799999997
MIF	-204.95381999999995
KLF2	-204.43775
PASK	-185.52889670861543
ACTG1	-183.52100099999996
NPM1	-152.74524800000006
RACK1	-151.69054000000006
MTRNR2L6	-146.57540000000003
H3-3A	-142.23325000000023
H4C3	-142.03899999999993
ETS1	-136.46648600000003
TMA7	-133.9245199999997
CD27	-130.90481
BTG1	-129.48799999999994
EEF1D	-127.05911110963461
HINT1	-124.14091199999996
SUN2	-119.71077100000002
LEPROTL1	-116.60568599999999
MBNL1	-115.39784552921918
CD3D	-114.70395000000008
ITM2B	-114.29886499999998
EEF1A1	-113.60336499999994
ABLIM1	-112.18542000000002
LTB	-112.09699899999987
GMFG	-111.68934799999988
MCUB	-109.90593999792458
ACTN1	-108.1467936
LAT	-107.23175984000011
NOSIP	-103.96029399999998
RAC2	-101.20152799999988
IKZF1	-100.77018360000002
SEPTIN6	-99.40165099999996
CD44	-97.78683041788537
PRKACB	-95.45406300117016
PPP2CA	-94.87873700000003
SRP9	-94.50482999999997
PECAM1	-94.18413000149992
AQP3	-93.62545599999993
EEF1G	-91.8913819999998
DDX3X	-91.57236013400001
PIK3IP1	-90.71238
HMGN2	-90.47573000000011
SUB1	-90.02538599999997
SATB1	-87.4723164
MARCKSL1	-86.81259999999999
PPP1R2	-85.88677800000005
PPP2R5C	-85.13261270000004
R3HDM4	-84.73280500000001
ITGA4	-83.17813100000004
BEX3	-82.13786800000001
RIPOR2	-80.17089300000004
SEMA4D	-79.38855840000002
CDC42SE2	-79.24154999999996
LRRN3	-79.07650600000002
SF3A1	-78.66549662090002
GIMAP4	-77.93139600000018
CD55	-77.7170217
ADD3	-77.69412964000003
ITM2A	-77.62244000000004
CHMP7	-77.48866763999996
SPON1	-76.76812
RHOH	-76.11272924758896
SEPTIN9	-75.87482054107551
ZFP36L2	-75.82799999999997
ST6GAL1	-75.547178
NCL	-74.92175299999997
SNU13	-73.09090799999998
CSDE1	-71.10032209357098
LSM14A	-66.71184566261923
GYPC	-66.41741199999998
ELOB	-66.11105999999995
ARHGEF1	-65.53787299999999
KTN1	-65.3308844768498
COMMD6	-64.54858599999989
ARHGAP45	-64.44015700000006
RNF138	-63.93181899999999
CD28	-62.735238000000024
SMC4	-61.60966671954
TNFAIP8	-60.902173000000005
LBH	-59.686097000000075
CD5	-58.910799999999995
S1PR1	-58.58704000000006
DOCK9	-58.55453981689699
NOP53	-58.37444000000011
CIRBP	-57.40438509753375
BTG2	-57.2636
SH2D1A	-57.19938262660003
C9orf16	-57.152010090000005
MTRNR2L10	-55.60279999999999
HSP90AA1	-55.347872999999936
HMGN1	-55.30777830000005
FAM102A	-55.00122200000004
RASGRP2	-54.80000700000002
ASB2	-54.7878432
OCIAD2	-54.42107599999997
SF3B1	-53.97146938429998
TUBA4A	-53.68247299999996
IL16	-53.6115266999999
NUCB2	-53.183649
SLC38A2	-53.07606940000001
SINHCAF	-52.772738402071994
IL6ST	-51.770268857367
PRKAR1A	-51.678688908212735
CBFB	-51.6542307
TRAM1	-51.382611000000054
LITAF	-51.02595124222927
GPSM3	-51.01457100000002
CRLF3	-50.819053999999966
SF3B3	-50.74275380000003
DGKA	-50.72671084999996
TESPA1	-50.555913000000004
C11orf58	-50.54547470000003
FYB1	-50.366834799999936
SNRPG	-50.28533315239997
CD7	-50.0925775
UBE2B	-49.87053799999998
ARPC1B	-49.389866
MDH2	-49.32642300000002
MTRNR2L4	-49.22439999999999
ISG20	-48.56623400000001
LRCH4	-48.42017419999999
GPA33	-48.365688999999996
SEPTIN1	-48.30082380000002
SMIM27	-47.81310699999999
SERP1	-47.77923199999998
H1-10	-47.757999999999996
BTF3	-47.489355330000194
CUTA	-47.207273999999984
MAPK1IP1L	-47.088182
CTBP1	-46.81585
ADAM10	-46.615901448399995
TBC1D10C	-45.44463999999999
SOD2	-45.44349721999998
CORO1A	-45.17192199999977
OST4	-44.998425999999995
TIGIT	-44.507868000000016
NOG	-44.386191999999994
TGFBR2	-44.36970000000005
PIK3CD	-44.11749999999999
SUMO2	-43.78069999999997
LAIR1	-43.193629248486694
MGAT4A	-43.08132899458474
TECPR1	-42.59991399999999
RBM38	-42.189640000000026
RBX1	-42.17415349999999
HLA-C	-42.17198287530482
PPDPF	-41.886765999999994
PTBP1	-41.88614450021532
SUSD3	-41.81445600000001
WIPF1	-41.63383099999999
TCEA1	-41.32435116907803
SON	-41.05314559999999
ID3	-40.922619999999995
FBXL3	-40.854815000000016
SLU7	-40.685762
NDUFA4	-40.58284200000003
DCK	-40.400882199999984
NACA	-40.26448899999991
