	CD4 minus TA in CFS vs CD4 minus TA in Healthy
ACTB	-1963.9615127000002
PABPC1	-1604.4744868610003
HLA-C	-1105.74284389996
HLA-A	-866.4204141235832
SARAF	-685.8899424187525
LTB	-621.1409389999999
PFN1	-447.6268099999995
HLA-E	-345.8177149527687
LEF1	-310.89489340730006
SH3BGRL3	-264.64200000000005
CCR7	-228.2142
TCF7	-223.10539400247563
DAZAP2	-221.09104700000034
LIMD2	-201.34106000000008
PBXIP1	-197.09854999999993
TLE5	-177.00880399999994
EMP3	-169.3396100000001
LAT	-166.51702726000008
CD3D	-163.53491999999994
AQP3	-157.9392759999999
CD44	-153.96228499919533
MIF	-146.22832000000005
GAPDH	-138.94665099999975
PRKAR1A	-134.52105420421276
LDLRAP1	-131.594408
UBC	-129.9359989999998
PTPRCAP	-129.69199999999995
FCMR	-125.21406000000002
SUN2	-124.52505700000006
CD27	-124.07389
SPOCK2	-120.13612157900002
SERF2	-113.66424350000011
ALDOA	-111.24533806289992
PTMA	-109.93549700000017
LCK	-109.19496228539992
MBNL1	-107.98750363451921
TMEM123	-107.07622600000002
KLF2	-105.75590999999997
LAPTM5	-103.28388400000006
LEPROTL1	-101.76937999999996
DDX3X	-98.97762559003002
ACTR3	-98.80595499999998
CORO1A	-97.40386099999989
SELL	-97.38896199999999
ARHGAP45	-93.27520600000003
ELOB	-91.19764999999995
CD5	-91.11179999999996
RAC2	-89.94808099999995
PECAM1	-89.92673299999998
CYBA	-89.83704599999999
IL16	-89.66381329999996
TMBIM6	-88.94267108999986
YWHAZ	-88.03749400000004
IKZF1	-87.80242720000001
PASK	-87.01082643834542
MCUB	-86.27013999999997
PPP2R5C	-85.13261270000004
ETS1	-85.087197
PRKACB	-84.81165179223527
R3HDM4	-84.73280500000001
IFITM2	-84.42447733108611
MFNG	-81.008623
RIPOR2	-80.08459400000004
LSP1	-79.97283189999996
JAK1	-78.28421300000002
SORL1	-77.96040509999997
NOP53	-77.4448030479391
SLC25A6	-77.42879999999997
ARHGEF1	-77.35127800000001
SEPTIN9	-75.87482054107551
ZFP36L2	-75.82799999999997
CD6	-75.78657700000002
ACTN1	-75.12302290000001
TBC1D10C	-74.50815999999998
CDC42SE2	-73.68022000000002
LSM14A	-71.27981566461924
S1PR4	-69.41377599999998
PPP2CA	-69.33697599999999
CD82	-69.05685000000003
H4C3	-68.59299999999996
MZT2B	-67.68269900000001
COPE	-67.59391900000003
GYPC	-66.41741199999998
C9orf16	-64.70698509000002
TAGLN2	-63.12888600000008
SHISA5	-62.81038394423672
TMEM248	-62.125001999999995
SRP9	-61.91390999999999
ACTG1	-61.491489999999885
ITGAL	-60.872071000000005
H3-3A	-60.67563000000007
CTBP1	-60.094892
UBE2D3	-60.06318020000003
LBH	-59.686097000000075
MBP	-59.48173014064261
CHMP7	-59.29479863999998
PPP1R2	-59.12357799999998
TUBA4A	-59.098074999999994
S1PR1	-58.58704000000006
WDR1	-58.516085900000064
IER2	-58.29974800000008
ST6GAL1	-57.55430860000001
GTF3A	-57.29229000000004
SH2D1A	-57.19938262660003
RNF166	-56.302024769599996
TPM3	-56.09561529999996
CBFB	-55.87302070000001
TAPBP	-55.70229066566225
ADD3	-55.56223363999999
GIMAP6	-54.98346000000001
LRRN3	-54.92971400000002
ISG20	-54.917452999999966
GMFG	-54.5914479999999
MAPK1IP1L	-54.34643899999999
CBLL1	-54.06109199999999
CTSB	-53.87738667470006
SERP1	-53.63893199999998
MDH2	-53.29690800000003
PRDX5	-52.00061000000002
ABLIM1	-51.773780000000045
NOSIP	-51.36592999999999
PPP1CA	-51.159938700000055
LITAF	-51.02595124222927
CRLF3	-50.819053999999966
YWHAB	-50.80092400000001
SMC4	-50.654891000000006
CFL1	-50.293831500000124
ECH1	-50.11952569920362
ITM2A	-50.012179999999944
MARCKSL1	-49.76429999999999
TRAM1	-49.48746999999997
ARPC1B	-49.389866
CD4	-48.80835400000001
FGD3	-48.17275300000003
LRCH4	-48.162375
C11orf58	-48.14810108488081
EZR	-48.14296157199993
HLA-F	-47.45494370992469
GNB1	-47.29104699999999
SEPTIN6	-47.20243799999997
FXYD5	-47.04382399999986
ADAM10	-46.615901448399995
CAPZB	-46.36774999999983
UBE2B	-46.21542199999999
VCP	-46.11557200000004
FLNA	-46.034570163582885
CD55	-45.993275599999976
WIPF1	-44.8735672
ARHGAP30	-44.62872799384462
SNU13	-44.393744999999996
HP1BP3	-44.249555999999984
LIME1	-44.215598
HMGN2	-44.0700129999999
ITGB2	-43.85754280404052
SF3B3	-43.85741200000001
P2RY8	-43.696154999999976
TPP1	-43.536565452000104
PPP1CC	-43.489341000000024
CYFIP2	-43.17183912279998
XRCC5	-42.65502900000001
IFITM1	-42.53492231380011
GNAI2	-42.402856356628945
CD164	-42.16962799999993
CD28	-42.112476000000015
ACTR2	-42.10084599999999
EEF1D	-41.97648269944011
SF3A1	-41.90900962090002
ARPC5	-41.70112399999988
LMAN2	-40.822325000000006
SOD2	-40.70974949999999
FAM102A	-40.58395800000005
MOB1A	-40.542019999999994
PCSK5	-40.54092059999999
CSDE1	-40.27223219357097
SPON1	-39.98599
DEK	-39.75882368
CHCHD2	-39.63525000000004
LIMS1	-39.55112890000004
DPP7	-39.54271899999998
SNRK	-39.499750000000006
PUF60	-39.42558648121698
PTGER4	-39.132218000000016
DOCK9	-38.82652342884779
EHD1	-38.57929015846213
FIS1	-38.36025599999999
CSNK1A1	-38.324118
RBM38	-38.32361000000003
POLR2J3	-38.28238884072999
SEPTIN1	-38.27114130000001
