	Score	MoE	P-Value	Q-Value
REACTOME_IRE1ALPHA_ACTIVATES_CHAPERONES	0.8494424398157555	0.014422420534601622	0.0008692744901370779	0.26
REACTOME_RESOLUTION_OF_ABASIC_SITES_AP_SITES	0.8324770110983135	0.024762136050614593	0.0017385489802741558	0.26521739130434785
BIOCARTA_MYOSIN_PATHWAY	0.8311590089475922	0.013945717047501487	0.0017719826145101974	0.26521739130434785
GALLUZZI_PREVENT_MITOCHONDIAL_PERMEABILIZATION	0.8247664690436951	0.033178939862217684	0.001972584419926446	0.26521739130434785
CHEOK_RESPONSE_TO_MERCAPTOPURINE_UP	0.7997146213426591	0.03778108586815351	0.004012036108324975	0.36363636363636365
LEE_EARLY_T_LYMPHOCYTE_DN	0.7806726267692	0.03861581498614647	0.006018054162487462	0.3929824561403509
MOOTHA_ROS	0.7776093734033939	0.029507358153522855	0.006285523236375794	0.3929824561403509
BIOCARTA_RAN_PATHWAY	0.7537878445485489	0.04106211917153328	0.008793045804078903	0.43833333333333335
REACTOME_IKBA_VARIANT_LEADS_TO_EDA_ID	0.7469467191591542	0.04507294894466055	0.009662320294215982	0.44461538461538463
REACTOME_INTERCONVERSION_OF_NUCLEOTIDE_DI_AND_TRIPHOSPHATES	0.7184532739817577	0.04323978099333336	0.013741223671013039	0.45108695652173914
BIOCARTA_RACCYCD_PATHWAY	0.710776729794604	0.07026257216422044	0.015312604480106988	0.4872340425531915
REACTOME_SYNTHESIS_OF_PI	0.7019545229259345	0.066283490935966	0.017920427950518222	0.5228571428571428
REACTOME_MITOCHONDRIAL_IRON_SULFUR_CLUSTER_BIOGENESIS	0.7014664817911259	0.07770229601560727	0.01805416248746239	0.5228571428571428
REACTOME_INTERACTIONS_OF_REV_WITH_HOST_CELLULAR_PROTEINS	0.6958259407950259	0.0646646867390319	0.019592109662320296	0.5425925925925926
REACTOME_NUCLEAR_IMPORT_OF_REV_PROTEIN	0.6855808214196186	0.057725760556910075	0.022300234035439653	0.5661016949152543
WP_BASE_EXCISION_REPAIR	0.6854908563245238	0.064686598573265	0.022333667669675695	0.5661016949152543
HOLLEMAN_DAUNORUBICIN_ALL_DN	0.6766308018297301	0.05578568918420622	0.02474088933467068	0.582312925170068
REACTOME_CHYLOMICRON_CLEARANCE	0.6699918024556012	0.06239825217141453	0.026412571046472752	0.582312925170068
MAYBURD_RESPONSE_TO_L663536_DN	0.6692518800176895	0.06871644319558824	0.026713473754597126	0.582312925170068
REACTOME_ACYL_CHAIN_REMODELING_OF_CL	0.6685328283986803	0.025181814377125813	0.026914075560013375	0.582312925170068
REACTOME_SMAD2_SMAD3_SMAD4_HETEROTRIMER_REGULATES_TRANSCRIPTION	0.6625529507865147	0.2080411857806211	0.028284854563691075	0.582312925170068
HOLLEMAN_VINCRISTINE_RESISTANCE_ALL_DN	0.6419752879031206	0.06347029895511565	0.0352390504847877	0.6329842931937173
REACTOME_SYNTHESIS_OF_GDP_MANNOSE	0.6379835022692608	0.06038872143195534	0.036643263122701435	0.6329842931937173
REACTOME_REGULATION_OF_FOXO_TRANSCRIPTIONAL_ACTIVITY_BY_ACETYLATION	0.6306664854641613	0.09323491770646593	0.03878301571380809	0.6329842931937173
PETRETTO_LEFT_VENTRICLE_MASS_QTL_CIS_DN	0.630568401218935	0.06068892426457991	0.038849882982280176	0.6329842931937173
KEGG_SNARE_INTERACTIONS_IN_VESICULAR_TRANSPORT	0.6295431950060136	0.05294965161526253	0.03918421932464059	0.6329842931937173
REACTOME_NUCLEOBASE_BIOSYNTHESIS	0.627376147326655	0.23005840997238966	0.039652290203945166	0.6329842931937173
GARGALOVIC_RESPONSE_TO_OXIDIZED_PHOSPHOLIPIDS_SALMON_DN	0.6222287088893109	0.06236060538201304	0.04115680374456703	0.6411458333333333
FINETTI_BREAST_CANCERS_KINOME_GRAY	0.6212372821459713	0.0692840643084704	0.041591440989635575	0.644559585492228
CALVET_IRINOTECAN_SENSITIVE_VS_RESISTANT_UP	0.6108040510989728	0.2388012332433138	0.04460046807087931	0.6699029126213593
KORKOLA_YOLK_SAC_TUMOR_UP	0.6091524871269249	0.059698048063309764	0.045336008024072214	0.6699029126213593
REACTOME_REGULATION_OF_HSF1_MEDIATED_HEAT_SHOCK_RESPONSE	0.607282409891705	0.079378714764756	0.04603811434302909	0.6699029126213593
REACTOME_INTRA_GOLGI_TRAFFIC	0.6005490624908232	0.22906893852097315	0.048512203276496156	0.6728813559322034
REACTOME_INTERACTIONS_OF_VPR_WITH_HOST_CELLULAR_PROTEINS	0.6001316679681599	0.04634843681354496	0.048712805081912405	0.6728813559322034
REACTOME_INSERTION_OF_TAIL_ANCHORED_PROTEINS_INTO_THE_ENDOPLASMIC_RETICULUM_MEMBRANE	0.5955809422393096	0.08002731299416173	0.050083584085590105	0.6728813559322034
REACTOME_RESOLUTION_OF_AP_SITES_VIA_THE_MULTIPLE_NUCLEOTIDE_PATCH_REPLACEMENT_PATHWAY	0.5929659564959665	0.06571138634344417	0.05132062855232364	0.6728813559322034
REACTOME_LOSS_OF_FUNCTION_OF_SMAD2_3_IN_CANCER	0.5877904317054543	0.08845985793977582	0.05352724841190237	0.6755274261603376
XU_HGF_TARGETS_INDUCED_BY_AKT1_6HR	0.5855883256000806	0.0992673173150815	0.054496823804747574	0.6801652892561983
WP_INTERLEUKIN11_SIGNALING_PATHWAY	0.5802301297647785	0.09163760425526049	0.056703443664326315	0.6862676056338027
REACTOME_PCNA_DEPENDENT_LONG_PATCH_BASE_EXCISION_REPAIR	0.5798178784346332	0.08277928004806294	0.057004346372450686	0.6862676056338027
MARCHINI_TRABECTEDIN_RESISTANCE_UP	0.5778122850505779	0.08062637656184873	0.057505850885991305	0.6862676056338027
KEGG_BASE_EXCISION_REPAIR	0.5743777865384011	0.07568506793777144	0.058876629889669005	0.6862676056338027
KEGG_GLYCOSYLPHOSPHATIDYLINOSITOL_GPI_ANCHOR_BIOSYNTHESIS	0.5641825248485828	0.15029961510648632	0.06255432965563357	0.6862676056338027
NIKOLSKY_BREAST_CANCER_19Q13.1_AMPLICON	0.5631732291828377	0.09621254940461929	0.0628217987295219	0.6862676056338027
FUNG_IL2_SIGNALING_1	0.5620513089482406	0.0885283978725081	0.06342360414577064	0.6862676056338027
HASLINGER_B_CLL_WITH_17P13_DELETION	0.5618379181327448	0.09008276796460393	0.0636242059511869	0.6862676056338027
REACTOME_GAP_FILLING_DNA_REPAIR_SYNTHESIS_AND_LIGATION_IN_GG_NER	0.5583775067901964	0.22661874069716098	0.0651621531260448	0.6862676056338027
REACTOME_TRNA_MODIFICATION_IN_THE_NUCLEUS_AND_CYTOSOL	0.5573924295442219	0.07426415688521748	0.06586425944500167	0.6912280701754386
BIOCARTA_NKCELLS_PATHWAY	0.5557868198174608	0.07047076132893282	0.06646606486125042	0.6926829268292684
CHOI_ATL_CHRONIC_VS_ACUTE_DN	0.5532873238810686	0.07387365622983716	0.06760280842527583	0.6968944099378881
PID_TRAIL_PATHWAY	0.5505730839908063	0.16416602164598415	0.06860581745235707	0.6968944099378881
SIG_IL4RECEPTOR_IN_B_LYPHOCYTES	0.5500459900933884	0.06245675920389995	0.06900702106318957	0.6968944099378881
WP_MAPK_AND_NFKB_SIGNALLING_PATHWAYS_INHIBITED_BY_YERSINIA_YOPJ	0.5436786952054105	0.09437213417704177	0.07208291541290539	0.6968944099378881
XU_CREBBP_TARGETS_UP	0.531040520407889	0.22019175564030027	0.0784687395519893	0.7112121212121212
REACTOME_CLASS_I_PEROXISOMAL_MEMBRANE_PROTEIN_IMPORT	0.5255802951367853	0.11190295996359897	0.08100969575392845	0.7222551928783384
REACTOME_HOST_INTERACTIONS_OF_HIV_FACTORS	0.524704302297624	0.14839083127442998	0.08137746573052491	0.7222551928783384
MIKHAYLOVA_OXIDATIVE_STRESS_RESPONSE_VIA_VHL_DN	0.5198675985002271	0.044429469097055606	0.08391842193246406	0.7267532467532467
XU_HGF_TARGETS_REPRESSED_BY_AKT1_UP	0.5185933821505878	0.23694574914909539	0.08498829822801739	0.7267532467532467
REACTOME_NUCLEOTIDE_BINDING_DOMAIN_LEUCINE_RICH_REPEAT_CONTAINING_RECEPTOR_NLR_SIGNALING_PATHWAYS	0.5176663612868075	0.0850580083422595	0.08565697091273822	0.7267532467532467
REACTOME_SUMO_IS_CONJUGATED_TO_E1_UBA2_SAE1	0.5156077289725537	0.18422314059896444	0.08682714811099966	0.7267532467532467
WP_ACTIVATION_OF_NLRP3_INFLAMMASOME_BY_SARSCOV2	0.5146108150098962	0.09052239725514126	0.08726178535606821	0.7267532467532467
REACTOME_EXPORT_OF_VIRAL_RIBONUCLEOPROTEINS_FROM_NUCLEUS	0.509940514138262	0.19830065688882426	0.08966900702106319	0.7267532467532467
REACTOME_TRANSLATION	0.5085591160856059	0.16731980579558284	0.09073888331661652	0.7267532467532467
WP_ATR_SIGNALING	0.5081959882334742	0.213455257189073	0.09087261785356068	0.7267532467532467
REACTOME_DOWNREGULATION_OF_TGF_BETA_RECEPTOR_SIGNALING	0.5080888369877902	0.16781288532170097	0.09100635239050485	0.7267532467532467
HOLLEMAN_DAUNORUBICIN_B_ALL_DN	0.5009315348255544	0.07730114544924768	0.09471748579070545	0.7301546391752577
REACTOME_INFLAMMASOMES	0.4957572437731852	0.09859533466800112	0.09846205282514209	0.7380952380952381
REACTOME_TGF_BETA_RECEPTOR_SIGNALING_ACTIVATES_SMADS	0.49497455268086316	0.13870321948884834	0.09896355733868271	0.7389027431421447
REACTOME_SIGNALING_BY_TGF_BETA_RECEPTOR_COMPLEX_IN_CANCER	0.4948490014351335	0.13236108276256678	0.09906385824139084	0.7389027431421447
REACTOME_NEF_AND_SIGNAL_TRANSDUCTION	0.4925221337851888	0.10935415643620061	0.10026746907388834	0.7413793103448275
REACTOME_FLT3_SIGNALING_THROUGH_SRC_FAMILY_KINASES	0.4902599251337359	0.09029834460623737	0.10170511534603811	0.7437652811735941
BIOCARTA_SUMO_PATHWAY	0.48748450105896673	0.23600165686375485	0.10330992978936811	0.7466183574879226
PID_DNA_PK_PATHWAY	0.4852107865696843	0.25758439635799946	0.1046807087930458	0.7471428571428572
HAHTOLA_MYCOSIS_FUNGOIDES_CD4_DN	0.48298440275519566	0.09835569975857093	0.106452691407556	0.7491764705882353
REACTOME_RRNA_MODIFICATION_IN_THE_NUCLEUS_AND_CYTOSOL	0.48279816583893154	0.14677334444270934	0.10672016048144434	0.7492957746478874
REACTOME_TRANSPORT_OF_MATURE_TRANSCRIPT_TO_CYTOPLASM	0.47981127406336993	0.22665939321825068	0.10832497492477432	0.751501154734411
BIOCARTA_RANMS_PATHWAY	0.47873328723008135	0.14285168002658927	0.1087930458040789	0.751501154734411
REACTOME_DISPLACEMENT_OF_DNA_GLYCOSYLASE_BY_APEX1	0.4760831883072816	0.1653266987831043	0.11049816115011701	0.754627539503386
BAKER_HEMATOPOESIS_STAT5_TARGETS	0.47608023611058947	0.13656905638190384	0.11049816115011701	0.754627539503386
REACTOME_RHOBTB2_GTPASE_CYCLE	0.47563823499566055	0.20691553726428696	0.11103309929789368	0.754627539503386
REACTOME_RHOBTB_GTPASE_CYCLE	0.4751160847566107	0.2534556965800926	0.1113674356402541	0.754627539503386
REACTOME_MATURATION_OF_NUCLEOPROTEIN	0.474681014530892	0.13804414886979194	0.1117686392510866	0.754627539503386
REACTOME_CD28_DEPENDENT_VAV1_PATHWAY	0.4670855150011228	0.2217941823789933	0.11691741892343697	0.7661016949152543
REACTOME_INTERLEUKIN_27_SIGNALING	0.46566907421796583	0.18775047307328138	0.11802072885322634	0.7661016949152543
IRITANI_MAD1_TARGETS_DN	0.46480956894813513	0.2781689581910842	0.11845536609829488	0.7661016949152543
PID_P38_ALPHA_BETA_PATHWAY	0.4634750487362586	0.17400928499274423	0.11939150785690404	0.7661016949152543
SCHLOSSER_MYC_TARGETS_AND_SERUM_RESPONSE_DN	0.4629518631045195	0.07126946913680872	0.11965897693079237	0.7661016949152543
REACTOME_RHOBTB1_GTPASE_CYCLE	0.46208626563698196	0.22067887102771677	0.12029421598127717	0.7661016949152543
MOREAUX_MULTIPLE_MYELOMA_BY_TACI_DN	0.45974218138832357	0.31345472648929606	0.12213306586425944	0.7723044397463001
MANALO_HYPOXIA_DN	0.4523222241158664	0.23943294590128933	0.12721497826813774	0.7760617760617761
SA_PTEN_PATHWAY	0.4496939806050261	0.209222025383579	0.129020394516884	0.7760617760617761
REACTOME_CALCINEURIN_ACTIVATES_NFAT	0.44852536902134665	0.1793514803794919	0.1299899699097292	0.7760617760617761
REACTOME_PURINE_SALVAGE	0.44761100902365764	0.07956296036347293	0.1304914744232698	0.7760617760617761
