	Score	MoE	P-Value	Q-Value
IPA_VAV1_UP	0.5026708077422837	0.19995042280695055	0.09354730859244399	0.7267532467532467
IPA_RNF2_UP	0.4996715360443909	0.08043937084786815	0.09568706118355065	0.7347826086956522
IPA_YBX1_UP	0.451951982691711	0.14871752850999329	0.12754931461049815	0.7760617760617761
IPA_SP7_DN	0.42900135113077226	0.14832699364808105	0.1428953527248412	0.7846014492753622
IPA_CIITA_DN	0.42181009880128073	0.15653221444862458	0.1480775660314276	0.7856382978723404
IPA_ARID1A_DN	0.41451636176213413	0.17515786099182273	0.15376128385155466	0.7951724137931034
IPA_HIF1AN_DN	0.40997985108714396	0.13587411347462688	0.15713808090939485	0.7972972972972973
IPA_NF1_UP	0.39434653543472875	0.09762160309585811	0.17001003009027083	0.7982731554160126
IPA_EHMT2_DN	0.32163637354538616	0.2163293844981053	0.24276161818789702	0.8854878048780487
IPA_ATF7_UP	0.30364448909776315	0.10520555531237011	0.2648278167836844	0.8946094609460946
IPA_MLXIPL_DN	0.28413686767863144	0.13198339448253313	0.28990304246071547	0.9120925341745532
IPA_KDM5B_UP	0.2758002123950021	0.15271351322761662	0.30150451354062185	0.9155329949238579
IPA_HDAC4_UP	0.26426211031769803	0.1329565329717358	0.31681711802072887	0.9338899803536345
IPA_MAPK8IP1_UP	0.20562282956628236	0.20237875912503253	0.3866265463055834	0.9886324786324787
IPA_NFATC1_UP	0.19009125120658485	0.21301834947418552	0.40431293881644936	0.9977528089887641
IPA_TCF7_UP	0.18064952464518777	0.14932324219184576	0.414510197258442	0.9977528089887641
IPA_POU5F1_DN	0.0687908580604219	0.16611085024229438	0.49628886659979937	0.9526619627966645
IPA_PLAGL2_UP	-0.11588470022863473	0.18015482758522391	0.44770979605483113	0.9337381916329285
IPA_ATF6B_UP	-0.3059574552587051	0.11156593990099109	0.2438649281176864	0.8048298572996706
IPA_XRCC5_DN	-0.3427733437116057	0.14819247995262633	0.20190571715145436	0.7679599499374218
IPA_EP400_UP	-0.3644304618624946	0.08349378483404066	0.18151120026746909	0.7349527665317139
IPA_ELF4_UP	-0.40370649655091995	0.15226740784617926	0.1495152123035774	0.6975270479134468
IPA_IRF9_DN	-0.4112326954961002	0.11219813119406771	0.14406552992310265	0.695748031496063
IPA_BRCA2_UP	-0.4184121614980734	0.12307858711508393	0.13891675025075226	0.6913477537437605
IPA_XRCC6_DN	-0.4315626305781158	0.12222228051088432	0.12898696088264794	0.6835398230088496
IPA_EOMES_DN	-0.4661454676201384	0.09626724764764022	0.10541624874623871	0.6479591836734695
IPA_ZNF429_UP	-0.5181450170951736	0.09503238915052771	0.07559344700768973	0.5922279792746115
IPA_TBX21_UP	-0.6321927976734348	0.06587267480478069	0.03216315613507188	0.4617224880382774
IPA_ATF2_DN	-0.683098666560695	0.10036228123531288	0.018689401537947174	0.39999999999999997
IPA_ESRRA_DN	-0.7054955043077685	0.05533397098181693	0.013741223671013039	0.3605263157894737
