	Score	MoE	P-Value	Q-Value
HP_ABNORMAL_CIRCULATING_AMYLASE_LEVEL	0.8654178437345387	0.018387704898468187	3.3433634236041456e-05	0.03333333333333333
MODULE_133	0.8645010590110819	0.017075091030191215	3.3433634236041456e-05	0.03333333333333333
GOBP_NUCLEOSIDE_MONOPHOSPHATE_PHOSPHORYLATION	0.8638753028341654	0.01786675187499025	3.3433634236041456e-05	0.03333333333333333
GOMF_C_METHYLTRANSFERASE_ACTIVITY	0.8593279694757796	0.017807310441369913	0.00043463724506853895	0.2555555555555556
GSE22886_NAIVE_CD4_TCELL_VS_DC_UP	0.859017238532127	0.019408652915854963	0.0005015045135406219	0.2555555555555556
GOCC_T_CELL_RECEPTOR_COMPLEX	0.8548088946583645	0.01785849968652847	0.0006352390504847877	0.2555555555555556
GSE11057_NAIVE_CD4_VS_PBMC_CD4_TCELL_UP	0.8545754141612211	0.01695492163469502	0.0006352390504847877	0.2555555555555556
HP_NORMOCYTIC_ANEMIA	0.852423377414852	0.019632682742302444	0.0007355399531929121	0.2555555555555556
GSE21670_UNTREATED_VS_IL6_TREATED_STAT3_KO_CD4_TCELL_DN	0.8504730864573052	0.018451604487387384	0.0007689735874289535	0.2555555555555556
REACTOME_IRE1ALPHA_ACTIVATES_CHAPERONES	0.8494424398157555	0.014422420534601622	0.0008692744901370779	0.26
GOBP_EOSINOPHIL_ACTIVATION	0.8474594429787862	0.01880194991907169	0.0010698762955533266	0.2642857142857143
GOMF_RNA_POLYMERASE_II_C_TERMINAL_DOMAIN_BINDING	0.8444647251449874	0.02621389870483128	0.0011367435640254097	0.2642857142857143
HP_CHRONIC_NEUTROPENIA	0.8437056987594741	0.017579930414100668	0.0012036108324974925	0.2642857142857143
GSE45739_UNSTIM_VS_ACD3_ACD28_STIM_NRAS_KO_CD4_TCELL_UP	0.8429901994627105	0.01776941263512675	0.0012370444667335338	0.2642857142857143
GSE22886_NAIVE_TCELL_VS_MONOCYTE_UP	0.8334790757080712	0.02571132274821685	0.001671681711802073	0.26521739130434785
REACTOME_RESOLUTION_OF_ABASIC_SITES_AP_SITES	0.8324770110983135	0.024762136050614593	0.0017385489802741558	0.26521739130434785
BIOCARTA_MYOSIN_PATHWAY	0.8311590089475922	0.013945717047501487	0.0017719826145101974	0.26521739130434785
