	Score	MoE	P-Value	Q-Value
TMTCGCGANR_UNKNOWN	0.7516845841089739	0.03319757454039171	0.008960213975259111	0.591304347826087
MIR5092	0.6202419414108274	0.11086855434198849	0.035473085924439984	0.7204968944099379
ZNF501_TARGET_GENES	0.47748679572087876	0.13156477072112793	0.11909060514877967	0.8434180138568129
ZNF20_TARGET_GENES	0.4497468602399519	0.14403855086681486	0.13981945837512538	0.8683467741935484
MIR6717_5P	0.44762919734975215	0.0648755036163796	0.14142427281845538	0.8683467741935484
ZNF354C_TARGET_GENES	0.3863882276515297	0.16932700299116152	0.18936810431293882	0.8962025316455696
AACGGTT_MIR451	0.3821956474027223	0.06962450046135912	0.19291206954195922	0.9043887147335424
MIR4681	0.3676421041302427	0.21857396776874782	0.207255098629221	0.9156908665105387
GKCGCNNNNNNNTGAYG_UNKNOWN	0.3668896546565338	0.1685866597791049	0.20795720494817788	0.9156908665105387
TFDP2_TARGET_GENES	0.2652891435462974	0.17720091319495798	0.32086258776328985	0.9512871287128712
MIR3186_5P	0.26006234726320476	0.09897314612403846	0.3269140755600134	0.9514367816091953
MIR4669	0.2202842554705073	0.12643641062905503	0.3796054831160147	0.965973377703827
MIR1468_5P	0.19348213800635322	0.20908299738322852	0.40979605483116016	0.9804897314375988
DPPA3_TARGET_GENES	0.15856375911373466	0.15539955640004946	0.44246071547977267	0.9836174944403263
MSX2_TARGET_GENES	0.09694023924772102	0.14647590476456002	0.4816449348044132	0.9972318339100346
GCGNNANTTCC_UNKNOWN	-0.07570659566051596	0.17816536168629502	0.4997325309261117	0.993639344262295
MIR6729_5P	-0.11703664130011328	0.12800036489544478	0.4821798729521899	0.993639344262295
ZNF19_TARGET_GENES	-0.14179937179047325	0.12606010160853073	0.4660648612504179	0.9912770411723657
GGAANCGGAANY_UNKNOWN	-0.16062630817727364	0.17096626742436516	0.450819124038783	0.9912770411723657
MIR3683	-0.17408348056394882	0.1133581785174836	0.43681043129388164	0.9912770411723657
MIR339_3P	-0.19033248728789565	0.15841123025418324	0.4173520561685055	0.9912770411723657
MIR1180_3P	-0.20974893019794272	0.1807270386996831	0.39254429956536274	0.9858102434928631
GABP_B	-0.24562906752381344	0.11303618152899181	0.33965229020394516	0.9749520153550864
MIR6506_3P	-0.26407892859457116	0.21145279847192777	0.31440989635573385	0.968486096807415
MIR3678_5P	-0.3053897103935102	0.1310414240630078	0.25860916081578067	0.9578371810449574
NRF2_01	-0.32374410185191704	0.18982078382946718	0.23664326312270142	0.9381201044386422
MIR3197	-0.3637212863007723	0.19274978726962622	0.1936476094951521	0.9153124999999999
ZBTB49_TARGET_GENES	-0.4756565916087217	0.07498052016494065	0.09806084921430959	0.8053908355795149
CGGAARNGGCNG_UNKNOWN	-0.48234551007124193	0.2276011439042677	0.09371447676362421	0.8014164305949009
YBX3_TARGET_GENES	-0.492227526326075	0.1487647681920293	0.08709461718488799	0.7942073170731707
CGTCTTA_MIR208	-0.6943035404429677	0.06727877743730556	0.01240387830157138	0.5368932038834952
