Set	Score	Margin of Error	P-Value	Q-Value
FIRESTEIN_PROLIFERATION	0.8541864569989759	0.00487859192425874	6.623513472828541e-06	0.00171875
MIR4693_5P	0.8387737736515316	0.007286325027662727	1.1440614180340208e-05	0.0029457364341085274
HP_TOE_SYNDACTYLY	0.8178520094032786	0.00817548800116846	2.9203673039289477e-05	0.007461538461538461
MORF_CDC2L5	0.7976258025594036	0.014008743113792252	5.62998645190426e-05	0.014274809160305345
REACTOME_PRE_NOTCH_PROCESSING_IN_GOLGI	0.7971552284520874	0.007245545062686759	5.7203070901701036e-05	0.014393939393939395
MIR4796_3P	0.7961715587529874	0.009935278243666692	5.8708414872798436e-05	0.014661654135338344
MIR891B	0.7887937022136331	0.012117367267680606	7.014902905313865e-05	0.01738805970149254
SREBP_Q3	0.7872925935037509	0.012240189275427313	7.436399217221135e-05	0.018296296296296297
HAY_BONE_MARROW_CD34_POS_PRE_PC	0.7780017635217881	0.010560714830639337	9.784735812133073e-05	0.023897058823529414
ZNF490_TARGET_GENES	0.7696476196814223	0.007386291979971005	0.00011892217371669427	0.028832116788321167
CATRRAGC_UNKNOWN	0.7687731585696135	0.009917510056317138	0.00012193286165888905	0.029347826086956522
GOBP_AMINE_TRANSPORT	0.7637354395260323	0.01331275614460312	0.0001384916453409604	0.033093525179856115
HOXA7_TARGET_GENES	0.7623566804563013	0.010238530413805673	0.00014451302122534999	0.03428571428571429
GAL_LEUKEMIC_STEM_CELL_UP	0.7600123746150077	0.013168895488714968	0.00015023332831552008	0.03539007092198582
HP_PORENCEPHALIC_CYST	0.7536632982052882	0.015857473223026216	0.00017431883185307844	0.04077464788732394
HP_FIBROUS_TISSUE_NEOPLASM	0.7528731949141909	0.011082118722468667	0.00017732951979527323	0.04118881118881119
GOBP_POSITIVE_REGULATION_OF_PROTEIN_EXIT_FROM_ENDOPLASMIC_RETICULUM	0.7487753467719336	0.012898894443496059	0.0001975011290079783	0.04555555555555555
GGCAGCT_MIR22	0.7481438791229487	0.012525514052939068	0.00020021074815595365	0.04586206896551724
AP1_Q6_01	0.7458698712829341	0.013027066018031769	0.00021074815595363542	0.04794520547945206
GOMF_RNA_POLYMERASE_II_REPRESSING_TRANSCRIPTION_FACTOR_BINDING	0.7439105638041363	0.015646264568647792	0.00022188770133975614	0.05013605442176871
HP_PREMATURE_OVARIAN_INSUFFICIENCY	0.7423966060427284	0.011767329625018459	0.00022911335240102365	0.05141891891891892
GOBP_ACTIVATION_OF_ADENYLATE_CYCLASE_ACTIVITY	0.7366734301073266	0.010434407656617808	0.00026192985097094686	0.05838926174496645
GOBP_POSITIVE_REGULATION_OF_GLIAL_CELL_DIFFERENTIATION	0.7331113376536694	0.010650391551024903	0.0002842089417431883	0.06293333333333334
HP_INFANTILE_SPASMS	0.730973693637604	0.016895286408668116	0.00029956345024838174	0.06589403973509933
GSE8621_LPS_PRIMED_UNSTIM_VS_LPS_PRIMED_AND_LPS_STIM_MACROPHAGE_DN	0.727878436522405	0.014069074667809853	0.00031732650910733104	0.0693421052631579
MIR12127	0.7241247770582435	0.01454644552580621	0.00033870239349691406	0.07352941176470588
RPS14_DN.V1_UP	0.7233611708062645	0.018814514922706124	0.00034321842541020625	0.0739102564102564
GOBP_CELL_SUBSTRATE_ADHESION	0.7228186523458188	0.012650575158010133	0.00034562697576396206	0.0739102564102564
STAMBOLSKY_RESPONSE_TO_VITAMIN_D3_DN	0.7225802170239582	0.013565467120604423	0.00034713231973505944	0.0739102564102564
ACTGTAG_MIR139	0.7190664656623973	0.016490724884589567	0.0003736263736263736	0.07904458598726115
ACTACCT_MIR196A_MIR196B	0.7173289350897237	0.02150684661014391	0.00039108836369110343	0.08221518987341773
GOCC_DENDRITIC_TREE	0.7141445325676177	0.013676756028490403	0.000411561041698028	0.08597484276729561
ACCAAAG_MIR9	0.7122095211282146	0.019975493772438256	0.00042811982538009936	0.088875
FUNG_IL2_SIGNALING_1	0.7112607641010746	0.01984661279055818	0.00043654975161824475	0.09
MIR485_3P	0.7109558741791129	0.014962701600170696	0.0004389583019720006	0.09
MIR539_3P	0.7105169272149328	0.014868134631839341	0.00044407647147373175	0.09049079754601227
HP_COGNITIVE_IMPAIRMENT	0.7100360779881126	0.02294641559307296	0.00044979677856390185	0.09109756097560975
GSE1460_INTRATHYMIC_T_PROGENITOR_VS_NAIVE_CD4_TCELL_ADULT_BLOOD_UP	0.7094227395373301	0.01576233384760784	0.00045551708565407195	0.0913855421686747
GOBP_NEGATIVE_REGULATION_OF_COLLATERAL_SPROUTING	0.7093652919652146	0.018689214645472844	0.00045672136083094986	0.0913855421686747
HP_TOXEMIA_OF_PREGNANCY	0.708894085172903	0.01678490060136758	0.0004603341863615836	0.09155688622754492
chr22q12	0.7073737474240397	0.01930662225587749	0.00047147373174770434	0.09305882352941176
CAGTCAC_MIR134	0.7067503123715422	0.017334870027068728	0.00047448441968989916	0.09305882352941176
HP_DYSURIA	0.7065841026794746	0.020525925091918813	0.000476290832455216	0.09305882352941176
GSE40184_HEALTHY_VS_HCV_INFECTED_DONOR_PBMC_DN	0.7053620661705557	0.015982806334249852	0.0004898389281950925	0.09514619883040934
GSE557_CIITA_KO_VS_I_AB_KO_DC_UP	0.704257361045118	0.012653533355804377	0.0005006774047869938	0.09655172413793103
