	Score	MoE	P-Value	Q-Value
HALLMARK_G2M_CHECKPOINT	0.46139737001570164	0.045455691153378226	0.11533218213214577	0.955252208047105
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	0.43880630626393574	0.028435615617779814	0.13205580296282832	0.9474216269841269
HALLMARK_MYC_TARGETS_V2	0.28132036255017706	0.07294296206356525	0.28918567663364536	0.8670853658536586
HALLMARK_PROTEIN_SECRETION	0.276443099005417	0.05429396377098815	0.2956875397618831	0.8634046107584364
HALLMARK_PI3K_AKT_MTOR_SIGNALING	0.22170599100776844	0.04729467998803703	0.3707588839407434	0.8233004399001307
HALLMARK_INTERFERON_ALPHA_RESPONSE	0.19133476540001718	0.07463290388811968	0.41802235753885303	0.7940873015873016
HALLMARK_MYC_TARGETS_V1	0.1334057880664982	0.06376636439906495	0.46849677360719805	0.7650470219435735
HALLMARK_DNA_REPAIR	0.09336336094363833	0.062300629105735236	0.49497773334545125	0.7498394495412845
HALLMARK_E2F_TARGETS	-0.1155125849996116	0.05082259022664363	0.4596437335272198	0.7302699581348346
HALLMARK_CHOLESTEROL_HOMEOSTASIS	-0.17716921459877782	0.07031398790324511	0.41462055802962827	0.7053293135435992
HALLMARK_MITOTIC_SPINDLE	-0.19528577682177584	0.06192873483956764	0.3988484958647642	0.6984768422727996
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	-0.28525837365552786	0.06003724763982367	0.2740743433609016	0.6189679934345507
HALLMARK_ANDROGEN_RESPONSE	-0.43326314628537477	0.021676122192477807	0.14587476142870126	0.5074865633891875
HALLMARK_INTERFERON_GAMMA_RESPONSE	-0.45345213533874157	0.07085523650868256	0.1302926474597837	0.48930034129692834
HALLMARK_MTORC1_SIGNALING	-0.4911406417793855	0.0942387802922598	0.10378078705807507	0.4556664006384677
HALLMARK_ADIPOGENESIS	-0.5809956153335024	0.022495910560917192	0.04373261837680632	0.3940196078431373
HALLMARK_OXIDATIVE_PHOSPHORYLATION	-0.6131393651016186	0.02303419806731991	0.03365173134599655	0.37054780876494026
HALLMARK_APOPTOSIS	-0.7142929941317466	0.01752368420434179	0.010432609288375897	0.27523923444976073
