	Score	MoE	P-Value	Q-Value
IPA_ELF4_UP	0.6324403478534569	0.07896796571480662	0.03189568706118355	0.7204968944099379
IPA_HDAC4_UP	0.6216215127902268	0.06481102100507186	0.035071882313607486	0.7204968944099379
IPA_EOMES_DN	0.5922843922787575	0.0701662332244878	0.0454028752925443	0.7261780104712041
IPA_NFATC1_UP	0.4236094876259573	0.0657425626228163	0.16091608157806753	0.8962025316455696
IPA_EHMT2_DN	0.36389057088047877	0.08774582524430467	0.2109662320294216	0.9156908665105387
IPA_BRCA2_UP	0.36339857398715775	0.12671847673521466	0.21150117017719827	0.9156908665105387
IPA_NF1_UP	0.3045167985626924	0.1674138442466666	0.270979605483116	0.9210227272727273
IPA_ATF7_UP	0.30125878724407995	0.1117817114691026	0.27505850885991306	0.9222844344904815
IPA_POU5F1_DN	0.29177378828525047	0.1891837969006985	0.2864593781344032	0.9300108342361864
IPA_HIF1AN_DN	0.27977148419136416	0.12038057810048564	0.30220661985957875	0.9371717171717171
IPA_XRCC6_DN	0.22689915369694028	0.15926550700847988	0.3705784018722835	0.9658536585365853
IPA_YBX1_UP	0.2171628541650251	0.1198212889571017	0.38328318288197927	0.965973377703827
IPA_KDM5B_UP	0.19802110012509871	0.1090691150477978	0.4043798060849214	0.9804897314375988
IPA_IRF9_DN	0.19090277876072487	0.14320521518030963	0.4123370110330993	0.9804897314375988
IPA_PLAGL2_UP	0.14647428129390178	0.1407857330933672	0.4521564694082247	0.9870664739884393
IPA_XRCC5_DN	-0.19363669918613738	0.12703136728374936	0.41397525911066535	0.9912770411723657
IPA_CIITA_DN	-0.19513433797711224	0.1365050427175102	0.4122032764961551	0.9912770411723657
IPA_MLXIPL_DN	-0.23400915137376574	0.17721693316220744	0.3583082581076563	0.9825904121110176
IPA_TCF7_UP	-0.2514977590018675	0.16173736578705797	0.3312938816449348	0.9725048923679062
IPA_TBX21_UP	-0.2664385219128667	0.1798533591688286	0.3116349047141424	0.968486096807415
IPA_ESRRA_DN	-0.29833403318151147	0.18742412592471677	0.26726847208291543	0.9633532934131737
IPA_EP400_UP	-0.32451054830789544	0.25675332939837586	0.2359745904379806	0.9381201044386422
IPA_ZNF429_UP	-0.32697964520023953	0.22144550983128955	0.23336676696756936	0.9374832663989291
IPA_ATF6B_UP	-0.34417532079547997	0.17787295189804808	0.21367435640254095	0.9267806267806269
IPA_MAPK8IP1_UP	-0.4257321502687189	0.07079645489308664	0.13744567034436644	0.8660377358490565
IPA_ATF2_DN	-0.42797990843293693	0.060202955594372005	0.13527248411902373	0.8660377358490565
IPA_VAV1_UP	-0.5413537736042476	0.06958044744784576	0.058274824473420264	0.7337448559670782
IPA_RNF2_UP	-0.5432844620205349	0.19103903105051187	0.057037780006686724	0.7241525423728814
IPA_ARID1A_DN	-0.5730512918734372	0.06471951825202335	0.04292878635907723	0.6794736842105263
IPA_SP7_DN	-0.5769146291600656	0.042562354197765224	0.04105650284185891	0.6747252747252748
