	Score	MoE	P-Value	Q-Value
REACTOME_METHIONINE_SALVAGE_PATHWAY	0.8161364921012673	0.02248432557729647	0.00016716817118020728	0.17777777777777778
GOBP_L_METHIONINE_SALVAGE_FROM_METHYLTHIOADENOSINE	0.814009652448646	0.0219043102745328	0.00020060180541624874	0.17777777777777778
GOBP_NEGATIVE_REGULATION_OF_DOUBLE_STRAND_BREAK_REPAIR_VIA_HOMOLOGOUS_RECOMBINATION	0.812590173798188	0.021916219398434775	0.00033433634236041456	0.17777777777777778
GOBP_PEPTIDYL_ARGININE_N_METHYLATION	0.8124027861857946	0.0232305040282285	0.00036776997659645604	0.17777777777777778
GOMF_PROTEIN_ARGININE_N_METHYLTRANSFERASE_ACTIVITY	0.8124027861857946	0.0232305040282285	0.00036776997659645604	0.17777777777777778
GOBP_CHAPERONE_MEDIATED_PROTEIN_TRANSPORT	0.8109061085045615	0.02219110359998259	0.0005349381477766633	0.17777777777777778
GOMF_C3HC4_TYPE_RING_FINGER_DOMAIN_BINDING	0.8103118819701421	0.021708904216236696	0.0005349381477766633	0.17777777777777778
GOBP_S_ADENOSYLMETHIONINE_CYCLE	0.8101378231974145	0.02379217518727637	0.0005349381477766633	0.17777777777777778
GOCC_PROTEASOME_CORE_COMPLEX_ALPHA_SUBUNIT_COMPLEX	0.8099506522856291	0.021467556469029477	0.0005349381477766633	0.17777777777777778
MODULE_125	0.8064399805684874	0.017600381518884645	0.0008024072216649949	0.23999999999999996
GOBP_PROTEIN_MONOUBIQUITINATION	0.8032797825941514	0.0194506352764188	0.001303911735205617	0.35454545454545455
REACTOME_RECOGNITION_OF_DNA_DAMAGE_BY_PCNA_CONTAINING_REPLICATION_COMPLEX	0.7985050595965303	0.014954475051095826	0.0019391507856904046	0.4375
GOBP_BASE_EXCISION_REPAIR_GAP_FILLING	0.7978167018654716	0.025260110713070244	0.0020060180541624875	0.4375
HP_DEATH_IN_EARLY_ADULTHOOD	0.797489067406714	0.024928234285368542	0.0021063189568706116	0.4375
KEGG_HOMOLOGOUS_RECOMBINATION	0.7958375066611196	0.018953962756233622	0.0023069207622868604	0.4375
GNF2_DEK	0.7957091019002718	0.022991068581768522	0.002340354396522902	0.4375
GOCC_METHYLOSOME	0.7946634447612316	0.023856279096186383	0.0025075225677031092	0.4411764705882353
GOBP_HISTONE_H2A_UBIQUITINATION	0.7924144648828374	0.01937086149372363	0.0028752925442995653	0.45789473684210524
REACTOME_SYNTHESIS_OF_PIPS_AT_THE_ER_MEMBRANE	0.7920512269725695	0.02855259793753057	0.002908726178535607	0.45789473684210524
GOMF_CYCLOSPORIN_A_BINDING	0.7911121773961223	0.028226465425862487	0.0031761952524239387	0.47391304347826085
GNF2_MSH2	0.7896932899838967	0.029718017844360484	0.00344366432631227	0.47391304347826085
REACTOME_MITOCHONDRIAL_PROTEIN_IMPORT	0.7886739155067886	0.019199915483814792	0.0036108324974924774	0.47391304347826085
REACTOME_PROCESSING_AND_ACTIVATION_OF_SUMO	0.7880287779599845	0.03362088254009748	0.003644266131728519	0.47391304347826085
HP_OVERFRIENDLINESS	0.7861192877108796	0.01942594920071496	0.004212637913741223	0.4821428571428572
GOCC_TRANSCRIPTION_FACTOR_TFIID_COMPLEX	0.7859615160291273	0.028880990717518994	0.004246071547977265	0.4821428571428572
GOCC_SMN_SM_PROTEIN_COMPLEX	0.7856576866335532	0.015696587467780312	0.004246071547977265	0.4821428571428572
MODULE_22	0.7845564509011842	0.03407497348436824	0.004446673353393514	0.4821428571428572
HP_HYPOPLASIA_OF_THE_EAR_CARTILAGE	0.7836057420053941	0.026575291563124076	0.004513540621865597	0.4821428571428572
KEGG_DNA_REPLICATION	0.7797332082947944	0.021269950250182874	0.004914744232698095	0.506896551724138
GOBP_POSITIVE_REGULATION_OF_TRANSCRIPTION_BY_RNA_POLYMERASE_I	0.7783989004782425	0.024833297552286956	0.005282514209294551	0.525
GOBP_PROTEIN_MATURATION_BY_4FE_4S_CLUSTER_TRANSFER	0.7771537362229183	0.030179324750709374	0.0054496823804747576	0.525
