	Score	MoE	P-Value	Q-Value
TRAVAGLINI_LUNG_CD4_NAIVE_T_CELL	0.7631742609193216	0.06784405445641485	0.01862253426947509	0.3895104895104895
FAN_EMBRYONIC_CTX_BRAIN_NAIVE_LIKE_T_CELL	0.7300870997891785	0.08865424453897149	0.024707455700434637	0.4145251396648045
LAKE_ADULT_KIDNEY_C30_IMMUNE_CELLS_MACROPHAGES	0.6576565728762009	0.10512920529993382	0.04503510531594784	0.4776595744680851
CUI_DEVELOPING_HEART_C9_B_T_CELL	0.497927868859221	0.30988438622376313	0.12905382815112001	0.6587030716723549
RUBENSTEIN_SKELETAL_MUSCLE_T_CELLS	0.36607814562222624	0.32485707141089315	0.22731527917084587	0.7832949308755761
AIZARANI_LIVER_C3_NK_NKT_CELLS_2	0.3633623753549931	0.2802766636189576	0.23019057171514543	0.7873142857142857
DURANTE_ADULT_OLFACTORY_NEUROEPITHELIUM_CD4_T_CELLS	0.2367535087914342	0.29642579192433244	0.3659645603477098	0.8837228041901692
AIZARANI_LIVER_C28_NK_NKT_CELLS_6	0.059740011932848086	0.22627428268079866	0.49147442326980945	0.9568108457069077
MANNO_MIDBRAIN_NEUROTYPES_BASAL	-0.0930848103345812	0.21934931514792014	0.4761952524239385	0.9807692307692308
AIZARANI_LIVER_C1_NK_NKT_CELLS_1	-0.10101387176540629	0.23365818188025997	0.4724172517552658	0.9807692307692308
TRAVAGLINI_LUNG_CD8_MEMORY_EFFECTOR_T_CELL	-0.42322476139006954	0.22045712206313559	0.17489134068873285	0.8377179080824089
FAN_OVARY_CL10_PUTATIVE_EARLY_ATRESIA_GRANULOSA_CELL	-0.5035058999441562	0.20172844080811883	0.12540956201939152	0.7793388429752067
ZHENG_CORD_BLOOD_C9_GRANULOCYTE_MACROPHAGE_PROGENITOR	-0.5209320844639223	0.1279007910562944	0.11688398528920094	0.7663019693654267
FAN_EMBRYONIC_CTX_BIG_GROUPS_BRAIN_IMMUNE	-0.5366673714341413	0.2733459421689538	0.1076563022400535	0.7419354838709677
TRAVAGLINI_LUNG_CD4_MEMORY_EFFECTOR_T_CELL	-0.5554920398034908	0.2288403452316938	0.09775994650618522	0.7186602870813397
BUSSLINGER_ESOPHAGEAL_EARLY_SUPRABASAL_CELLS	-0.5977644129517995	0.1090417481522104	0.07438983617519224	0.6521739130434783
BUSSLINGER_GASTRIC_IMMUNE_CELLS	-0.5994445133344201	0.1096026480964274	0.07405549983283183	0.6521739130434783
MENON_FETAL_KIDNEY_1_EMBRYONIC_RED_BLOOD_CELLS	-0.6639088059711344	0.09622675532552638	0.040621865596790374	0.5666666666666667
FAN_OVARY_CL12_T_LYMPHOCYTE_NK_CELL_2	-0.7866942400919481	0.029349059286420624	0.013874958207957205	0.4666666666666667
BUSSLINGER_DUODENAL_IMMUNE_CELLS	-0.7942152175152707	0.013152625072861157	0.01240387830157138	0.4583333333333333
FAN_OVARY_CL18_B_LYMPHOCYTE	-0.809172545038275	0.03694515374495414	0.010197258441992645	0.42266666666666663
RUBENSTEIN_SKELETAL_MUSCLE_NK_CELLS	-0.81439407633665	0.0075133661871314705	0.009227683049147442	0.42266666666666663
HAY_BONE_MARROW_CD8_T_CELL	-0.8163812107097957	0.039806605854816886	0.009060514877967236	0.42266666666666663
FAN_OVARY_CL4_T_LYMPHOCYTE_NK_CELL_1	-0.8451272984269563	0.018843452857836503	0.004680708793045804	0.37083333333333335
TRAVAGLINI_LUNG_CD8_NAIVE_T_CELL	-0.8595358676899608	0.007230282598226852	0.0018388498829822802	0.3678571428571429
