Set	Score	Margin of Error	P-Value	Q-Value
MODULE_141	0.9168308616713813	0.0034053351078192724	0.00010567514677103718	0.027421875000000002
QUINTENS_EMBRYONIC_BRAIN_RESPONSE_TO_IR	0.9140068155195775	0.003038158740135198	0.00015113653469817854	0.038914728682170545
MIR518D_5P_MIR518F_5P_MIR520C_5P_MIR526A_5P	0.8985134828198819	0.0034219583881798916	0.00044407647147373175	0.11346153846153847
GOBP_NEGATIVE_REGULATION_OF_ACTIVATED_T_CELL_PROLIFERATION	0.8936745783311466	0.004464808399488055	0.0005780520849013999	0.1465648854961832
MODULE_396	0.8932096263350765	0.004783479740350363	0.0005852777359626675	0.14727272727272728
MIR92A_2_5P	0.8883324644590935	0.005439271095086159	0.0007481559536354057	0.18684210526315786
HP_ABNORMALITY_OF_THE_UVULA	0.8860365136687464	0.005395365533436341	0.0008131868131868132	0.20156716417910445
GOMF_INORGANIC_ANION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	0.8855004220241139	0.006298752356096772	0.0008282402528977872	0.20377777777777778
chr16p12	0.884014425493778	0.004415577721928103	0.0008764112599729038	0.21255474452554746
REACTOME_G2_M_DNA_REPLICATION_CHECKPOINT	0.8840123107124335	0.0056826934613577705	0.0008767123287671233	0.21255474452554746
GOBP_ADIPONECTIN_ACTIVATED_SIGNALING_PATHWAY	0.8819972211175812	0.007403382078473006	0.0009297004365497516	0.223768115942029
GOBP_RESPONSE_TO_CAFFEINE	0.8809030047516101	0.0057363905841079366	0.0009655276230618697	0.23071942446043167
HP_DECREASED_SIZE_OF_NERVE_TERMINALS	0.8806806806637986	0.006240662631420131	0.000975763962065332	0.2315
GOBP_CELLULAR_RESPONSE_TO_PURINE_CONTAINING_COMPOUND	0.8801761332901964	0.007574680211009076	0.0009932259521300618	0.2339716312056738
HP_SHORTENING_OF_ALL_PHALANGES_OF_THE_TOES	0.8797573416254606	0.005296616302531078	0.0010076772542525966	0.23570422535211263
HP_SHORT_STEPPED_SHUFFLING_GAIT	0.8792471189012975	0.006035625377659521	0.0010257413819057654	0.23825174825174822
HP_MICROTIA_THIRD_DEGREE	0.8752292693389808	0.007103502725365413	0.0011853078428420893	0.2734027777777778
MIR4660	0.8728002000619163	0.004462382455977994	0.0012744242059310553	0.29193103448275864
HP_CONGENITAL_MUSCULAR_TORTICOLLIS	0.8708490611193584	0.007570734460102893	0.001344573234984194	0.3058904109589041
HP_BIFID_RIBS	0.8703349806476558	0.007707893280772257	0.001363540569020021	0.3080952380952381
GOBP_POSITIVE_REGULATION_OF_HISTONE_H3_K9_METHYLATION	0.8668585912946538	0.005657143333258916	0.0015059461086858346	0.3367785234899329
GOMF_SOLUTE_ANION_ANTIPORTER_ACTIVITY	0.8667848089342877	0.005576260102078085	0.0015107632093933464	0.3367785234899329
HP_ABNORMAL_LACTATE_DEHYDROGENASE_LEVEL	0.8624184620073099	0.006132430947869161	0.0016841788348637664	0.37293333333333334
IWANAGA_CARCINOGENESIS_BY_KRAS_PTEN_UP	0.8611116957461337	0.008066582604922356	0.0017395754930001506	0.38264900662251655
GOBP_REGULATION_OF_DIGESTIVE_SYSTEM_PROCESS	0.85601673507232	0.0064124840562870405	0.0019735059461086857	0.43124999999999997
NADERI_BREAST_CANCER_PROGNOSIS_UP	0.8555296048038729	0.010509626826962975	0.0019996989312057807	0.43411764705882355
HP_EMG_DECREMENTAL_RESPONSE_OF_COMPOUND_MUSCLE_ACTION_POTENTIAL_TO_REPETITIVE_NERVE_STIMULATION	0.8541605741988195	0.008031439014481506	0.0020692458226704803	0.4460645161290322
HP_LONG_PENIS	0.8539135560190854	0.006487625455259392	0.0020815896432334786	0.4460645161290322
GOBP_NEGATIVE_REGULATION_OF_ACUTE_INFLAMMATORY_RESPONSE	0.8467948219382698	0.006947650723649915	0.0024230016558783683	0.5158974358974359
GOBP_INORGANIC_ANION_TRANSPORT	0.8440852929938732	0.008499960680421281	0.0025771488785187417	0.5420754716981132
VANHARANTA_UTERINE_FIBROID_UP	0.8438870897349308	0.011027328575773173	0.0025879873551106426	0.5420754716981132
MIR500A_3P	0.8437421922993914	0.008337986319311744	0.0025949119373776908	0.5420754716981132
BOYLAN_MULTIPLE_MYELOMA_PCA1_DN	0.8422124897823924	0.01109723106445266	0.0026599427969290984	0.5521874999999999
GOBP_NEGATIVE_REGULATION_OF_T_CELL_PROLIFERATION	0.840817136109151	0.010146634703078881	0.0027343067891013096	0.5640993788819876
HP_GENU_VARUM	0.8401980058111315	0.012244339235130675	0.002769230769230769	0.5677777777777777
GOMF_CHLORIDE_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	0.8397067559630278	0.014563428597587483	0.0027960258919163027	0.5697546012269938
GOCC_PRONUCLEUS	0.8382983096700539	0.008764598564472375	0.002879120879120879	0.5804191616766468
WEINMANN_ADAPTATION_TO_HYPOXIA_UP	0.8381953944175322	0.0070661450969636925	0.002885443323799488	0.5804191616766468
HP_CERVICAL_C2_C3_VERTEBRAL_FUSION	0.8377272147993654	0.011768553034736829	0.002906819208189071	0.5804191616766468
MIR6742_5P	0.8374544873049014	0.014566655308005966	0.0029182598223694116	0.5804191616766468
WANG_IMMORTALIZED_BY_HOXA9_AND_MEIS1_UP	0.8368173453068566	0.012280023477070898	0.0029552912840584075	0.5842857142857144
GOBP_ACTIN_FILAMENT_BASED_TRANSPORT	0.8359223011078604	0.010072683047969282	0.003014601836519645	0.5924852071005917
GOBP_POSITIVE_REGULATION_OF_ENDOTHELIAL_CELL_DEVELOPMENT	0.8348573641896386	0.009644327218774949	0.003068794219479151	0.5995882352941176
GOBP_INORGANIC_ANION_TRANSMEMBRANE_TRANSPORT	0.8341981254615473	0.01460837051983772	0.003107933162727683	0.6020348837209303
GOBP_DEOXYRIBONUCLEOSIDE_DIPHOSPHATE_METABOLIC_PROCESS	0.8340643876288616	0.007447776906880715	0.0031175673641427068	0.6020348837209303
GOBP_CELL_CELL_ADHESION_MEDIATED_BY_CADHERIN	0.8320237117784547	0.011985762181566063	0.003222941442119524	0.61878612716763
MIR101_2_5P	0.8293369876862848	0.009068841588612648	0.00338732500376336	0.6434857142857143
HP_ABNORMAL_ANTERIOR_CHAMBER_MORPHOLOGY	0.8292568302512874	0.014258299418711155	0.0033903356917055548	0.6434857142857143
ISHIDA_E2F_TARGETS	0.8270942627610419	0.011094740034970999	0.0035309348186060513	0.6663636363636364
MIR140_5P	0.8265105180451887	0.01356048979416256	0.003571579105825681	0.6665168539325842
GOBP_REGULATION_OF_HEART_RATE_BY_CARDIAC_CONDUCTION	0.8264947675338769	0.012322332820381988	0.0035718801746199005	0.6665168539325842
GOBP_POSITIVE_REGULATION_OF_CIRCADIAN_RHYTHM	0.8259613428676587	0.013890977480874048	0.0036068041547493604	0.6692737430167598
HP_BILATERAL_PTOSIS	0.8249571847853171	0.008944619173191077	0.0036564805057955744	0.6723204419889502
GOBP_REGULATION_OF_OSTEOBLAST_DIFFERENTIATION	0.8248177685521665	0.014855833451340233	0.003663706156856842	0.6723204419889502
HP_ABNORMAL_SOFT_PALATE_MORPHOLOGY	0.8218519282458663	0.01404563080865549	0.003848562396507602	0.7023626373626374
HUANG_FOXA2_TARGETS_DN	0.8209826884405064	0.015587688606436506	0.003898238747553816	0.7075409836065574
GOBP_CELLULAR_RESPONSE_TO_CAFFEINE	0.8138268108664779	0.01141928629470892	0.004366400722565106	0.7873513513513515
GOBP_VESICLE_CYTOSKELETAL_TRAFFICKING	0.8136067216179744	0.015392560586937259	0.004385368056600934	0.7873513513513515
GOMF_INTRACILIARY_TRANSPORT_PARTICLE_B_BINDING	0.809901310723391	0.016990709193271204	0.004659340659340659	0.8303743315508022
HP_EMG_IMPAIRED_NEUROMUSCULAR_TRANSMISSION	0.8096607070160318	0.01502446730672744	0.004674996236640072	0.8303743315508022
IPA_TFAP2B_UP	0.8078575092527075	0.016497842238531957	0.0048119825380099355	0.8456613756613757
IPA_TFAP2C_UP	0.8078575092527075	0.016497842238531957	0.0048119825380099355	0.8456613756613757
HP_ABNORMALITY_OF_ULNAR_METAPHYSIS	0.8065124040406794	0.01572114380382695	0.004914345928044558	0.8545833333333334
GOMF_LIPID_PHOSPHATASE_ACTIVITY	0.8062856323588494	0.014011192619602786	0.004932108986903508	0.8545833333333334
HP_DELAYED_ERUPTION_OF_PRIMARY_TEETH	0.8061974748851333	0.01258920122896583	0.004939936775553214	0.8545833333333334
HP_ABNORMALITY_OF_UPPER_LIMB_METAPHYSIS	0.8043188096253105	0.017092911937624057	0.005080234833659492	0.8743005181347151
GOMF_BMP_RECEPTOR_BINDING	0.8032765720998828	0.016090043611011677	0.005159415926539214	0.8833505154639175
MIR4521	0.7997032707117266	0.020447363015659317	0.005424055396658137	0.923897435897436
GOBP_REGULATION_OF_PHOSPHOLIPID_BIOSYNTHETIC_PROCESS	0.7984821866774009	0.01353779536955374	0.005518892066837272	0.9352551020408163
GOBP_CELLULAR_AMINO_ACID_CATABOLIC_PROCESS	0.797888132610099	0.012254183099038645	0.005563450248381755	0.9380203045685279
IPA_HOXA2_UP	0.7965765245202603	0.018764557700120275	0.005671533945506548	0.9514141414141414
DESCARTES_FETAL_MUSCLE_VASCULAR_ENDOTHELIAL_CELLS	0.7953480136718044	0.015073228326470386	0.00578021978021978	0.9618500000000001
GOBP_GLOMERULAR_EPITHELIAL_CELL_DEVELOPMENT	0.7952625657611583	0.018963998961717292	0.005791660394400121	0.9618500000000001
REACTOME_SPERM_MOTILITY_AND_TAXES	0.7941974979541387	0.014397928769307042	0.005881981032665964	0.9719900497512438
CAO_BLOOD_FLUZONE_AGE_05_14YO_CORRELATED_WITH_H3N1_HI_TITER_1DY_POSITIVE	0.7904096829871379	0.02016616709707588	0.006217070600632244	0.9921701216016415
GSE4811_CLASSSICALY_ACTIVATED_VS_TYPE_2_ACTIVATED_MACROPHAGE_UP	0.7901505129613994	0.013177803166869659	0.006245973204877314	0.9921701216016415
HP_ABNORMAL_ARM_SPAN	0.7883897051772806	0.017764735917163817	0.0064142706608460035	0.9920323485922932
GOBP_REGULATION_OF_ISOTYPE_SWITCHING	0.7882060093431177	0.019301757658333682	0.006423603793466807	0.9920323485922932
HP_PATELLAR_APLASIA	0.7873374613984203	0.014398290172731773	0.006488032515429776	0.9920182877146392
PETRETTO_LEFT_VENTRICLE_MASS_QTL_CIS_UP	0.7869062241079353	0.014973123219121306	0.0065316874905916	0.9920044664413327
GOBP_COPPER_ION_TRANSPORT	0.7865439867214575	0.018383618123428112	0.006567514677103719	0.9919984910215784
GOBP_SODIUM_ION_TRANSMEMBRANE_TRANSPORT	0.785893619953198	0.013758027544024446	0.00661869637212103	0.9919771231967164
MIR6791_5P	0.7842361331574303	0.015975649069931916	0.00675748908625621	0.9918679262366824
STEIN_ESR1_TARGETS	0.7831621059113262	0.019956498779362033	0.006850820412464248	0.9918042979596765
GOBP_FOLATE_TRANSMEMBRANE_TRANSPORT	0.7820156885491719	0.014144185142090093	0.006958904109589041	0.991725876067731
GOBP_POSITIVE_REGULATION_OF_CELL_CYCLE_G2_M_PHASE_TRANSITION	0.7813048860108209	0.01937592323672308	0.007037483064880325	0.9916770298822818
IPA_CRX_DN	0.7793456932147566	0.021092471838669736	0.007212102965527623	0.9915318904886956
GOBP_NEGATIVE_REGULATION_OF_CALCIUM_MEDIATED_SIGNALING	0.7782895665961204	0.013417296655141223	0.007297606503085955	0.9914760927312243
HP_ARTERIAL_RUPTURE	0.7771960155549643	0.020084528137795758	0.007409303025741382	0.991394029039756
