	Score	MoE	P-Value	Q-Value
IPA_YBX1_UP	0.7745764240992994	0.06218653973868204	0.01681711802072885	0.3895104895104895
IPA_CIITA_DN	0.7305375518147539	0.0896838856674646	0.024640588431962554	0.4145251396648045
IPA_VAV1_UP	0.661545908533361	0.09817802105420943	0.04359745904379806	0.4776595744680851
IPA_ARID1A_DN	0.5854321106627531	0.08278123709861772	0.08271481109996656	0.5726851851851851
IPA_SP7_DN	0.572961482161865	0.10698871242739615	0.08886659979939819	0.5831877729257642
IPA_KDM5B_UP	0.5720433276059609	0.22154218310458748	0.08930123704446673	0.5831877729257642
IPA_HIF1AN_DN	0.5630857918387155	0.11515926387268705	0.09398194583751254	0.6038461538461538
IPA_EHMT2_DN	0.5435125991189412	0.2786580529150145	0.10528251420929455	0.6289628180039138
IPA_POU5F1_DN	0.5129778113619453	0.08261523806916975	0.12116349047141424	0.6475
IPA_NF1_UP	0.5088979478360307	0.13604844329351076	0.12316950852557673	0.652787456445993
IPA_RNF2_UP	0.35634116837592006	0.22848516295914034	0.23767970578401873	0.7889250814332247
IPA_MAPK8IP1_UP	0.33462018866936505	0.3176907552261305	0.26044801069876294	0.8093360995850623
IPA_HDAC4_UP	0.3231282591890821	0.18742901574710222	0.27318622534269477	0.825250501002004
IPA_ATF7_UP	0.3194363978263237	0.29027014312158206	0.2778335005015045	0.8277667984189724
IPA_EP400_UP	0.30088074468877946	0.3386428033761424	0.2977933801404213	0.8433962264150944
IPA_MLXIPL_DN	0.2621325103547999	0.3207218910343704	0.34125710464727516	0.8716723549488055
IPA_NFATC1_UP	0.19749899717629407	0.18304142033400841	0.40414577064526913	0.9151400454201363
IPA_TCF7_UP	0.17215701218523366	0.2752181874578	0.4260113674356403	0.922478386167147
IPA_PLAGL2_UP	-0.2795100192753792	0.24354652463915719	0.3199933132731528	0.9472799208704253
IPA_IRF9_DN	-0.2960953039447725	0.23826748560559705	0.30157138080909396	0.9289392378990732
IPA_ZNF429_UP	-0.3245568861900802	0.3769976131008487	0.27255098629221	0.9040883977900552
IPA_ATF6B_UP	-0.343388762259789	0.352924505127095	0.2498495486459378	0.8907032181168056
IPA_XRCC6_DN	-0.4375868400013025	0.22633292462988785	0.16566365763958543	0.8264119601328904
IPA_ELF4_UP	-0.4608990721885975	0.3297801856973503	0.151621531260448	0.8194782608695652
IPA_XRCC5_DN	-0.5007549509772626	0.2663779156205076	0.1269475091942494	0.7807302231237323
IPA_BRCA2_UP	-0.548129103859813	0.0769568337890633	0.10217318622534269	0.7292857142857143
IPA_EOMES_DN	-0.6338649733862247	0.04019159279727565	0.055466399197592775	0.6105839416058394
IPA_TBX21_UP	-0.6415114707848719	0.30492627618410567	0.05148779672350384	0.6105839416058394
IPA_ESRRA_DN	-0.6668963556672136	0.11405796388360735	0.03941825476429288	0.5639810426540285
IPA_ATF2_DN	-0.8465819681119274	0.011221214605040433	0.004513540621865597	0.37083333333333335
