	Score	MoE	P-Value	Q-Value
HP_SCLEROSIS_OF_HAND_BONE	0.8659659965203375	0.00022264881969427783	9.99727347087158e-06	0.075
GOMF_ANNEALING_HELICASE_ACTIVITY	0.8659485182975223	0.0003583833951291561	1.363264564209761e-05	0.075
GOCC_TELOMERE_CAP_COMPLEX	0.8659049855860214	0.0004831545508020436	7.45251295101336e-05	0.15714285714285717
GOBP_TAURINE_TRANSPORT	0.8659043974104711	0.0003237604897919686	7.816050168135963e-05	0.15714285714285717
GOMF_ANNEALING_ACTIVITY	0.8658977836665994	0.00043503318789313246	8.634008906661819e-05	0.15714285714285717
GOCC_NURF_COMPLEX	0.865891698744081	0.00044552973364646087	9.633736253748977e-05	0.15714285714285717
HP_PATCHY_CHANGES_OF_BONE_MINERAL_DENSITY	0.8658888642370739	0.0002758731646037281	9.99727347087158e-05	0.15714285714285717
GOBP_DNA_STRAND_RENATURATION	0.8658758566368423	0.0003021620653741958	0.00012723802599291103	0.17500000000000002
HP_EVERSION_OF_LATERAL_THIRD_OF_LOWER_EYELIDS	0.8658561770640539	0.0004130926222670976	0.00014541488684904116	0.17777777777777776
HP_GENERALIZED_CEREBRAL_ATROPHY_HYPOPLASIA	0.8658121598016807	0.0003112249772795835	0.0002099427428883032	0.20076923076923078
GOBP_HISTONE_H2A_K63_LINKED_UBIQUITINATION	0.8658037159365529	0.0005481648312084167	0.00021994001635917477	0.20076923076923078
REACTOME_GAP_JUNCTION_DEGRADATION	0.8658011152007639	0.00035685805941869803	0.00022721076070162684	0.20076923076923078
MIR147B_3P	0.8657950759469701	0.0004733810461551453	0.00023720803417249842	0.20076923076923078
GCM_SMARCC1	0.8657757909804731	0.0005084320246699506	0.0002726529128419522	0.21312499999999998
GOBP_POSITIVE_REGULATION_OF_RELEASE_OF_CYTOCHROME_C_FROM_MITOCHONDRIA	0.8657719338331055	0.00034225013737748655	0.0002926474597836954	0.21312499999999998
GOBP_PROTEIN_LOCALIZATION_TO_CHROMOSOME_TELOMERIC_REGION	0.8657654982379569	0.0003265204207902513	0.00030991547759701897	0.21312499999999998
HERNANDEZ_ABERRANT_MITOSIS_BY_DOCETACEL_4NM_DN	0.8657054904835552	0.00035562786057832113	0.00037989639189312007	0.2458823529411765
HP_ABNORMAL_CHROMOSOME_MORPHOLOGY	0.8656908733176424	0.0006384859440713849	0.0004198854857766064	0.25666666666666665
GOMF_TELOMERASE_RNA_BINDING	0.8656259055372557	0.0006334624525011284	0.000560756157411615	0.3105
GOBP_REGULATION_OF_PROTEIN_LOCALIZATION_TO_NUCLEOLUS	0.8656254131755295	0.0005501801974313756	0.000564391529582841	0.3105
HP_MADELUNG_DEFORMITY	0.8656074095158877	0.0006484477685558123	0.0005989275652094883	0.3138095238095238
GOBP_REGULATION_OF_HISTONE_UBIQUITINATION	0.8655699718107706	0.00037748498103785553	0.0006707261655912024	0.32999999999999996
MODULE_471	0.865515935831807	0.0006273281849357103	0.000747068981186949	0.32999999999999996
GOMF_STEROID_HORMONE_BINDING	0.8654954510015817	0.0006360496959246137	0.000807961465054985	0.32999999999999996
HP_GENETIC_ANTICIPATION	0.8654852956719534	0.0005308906743292497	0.0008261383259111152	0.32999999999999996
MODULE_528	0.8654829807618256	0.00045104683096614494	0.0008370444424247932	0.32999999999999996
GOMF_DNA_POLYMERASE_ACTIVITY	0.865477594526064	0.00047312262212702056	0.0008424975006816323	0.32999999999999996
HP_ACROMESOMELIA	0.865446085897745	0.0005420541928833849	0.0008770335363082795	0.32999999999999996
GOMF_G_PROTEIN_GAMMA_SUBUNIT_BINDING	0.8654376363583579	0.0004929882384156402	0.0008870308097791511	0.32999999999999996
HP_DECREASED_CORNEAL_REFLEX	0.8654322472781365	0.0007006939206197294	0.0008997546123784422	0.32999999999999996
GOBP_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_TELOMERE	0.8653789681227263	0.0006112758431033236	0.0009906389166590929	0.35161290322580646
HP_ABNORMAL_LYMPHOCYTE_PHYSIOLOGY	0.8653133538504095	0.0007048768052949008	0.001108788512223939	0.36264705882352943
MIR4772_5P	0.8653009829361223	0.0004766172210430522	0.0011169680996091975	0.36264705882352943
GOBP_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_CHROMOSOME	0.8652997346073621	0.0004946329329338165	0.0011206034717804235	0.36264705882352943
HP_SQUARE_FACE	0.8652561754039525	0.0003093726527737202	0.0011596837226211033	0.36457142857142855
HP_SCLEROSIS_OF_FINGER_PHALANX	0.8652067395481307	0.0005831961232543769	0.0012133054621466873	0.36815789473684213
GOBP_SPHINGOMYELIN_METABOLIC_PROCESS	0.865171646231	0.0006581878909887198	0.0012514768699445607	0.36815789473684213
GOMF_NEDD8_SPECIFIC_PROTEASE_ACTIVITY	0.8651537919052489	0.0005934390165995869	0.0012714714168863038	0.36815789473684213
GSE45365_WT_VS_IFNAR_KO_CD11B_DC_UP	0.8650724314842522	0.0005630979087220766	0.0013696264655094065	0.3720833333333333
GOMF_PROTEIN_MACROMOLECULE_ADAPTOR_ACTIVITY	0.8650706157667502	0.0007224068732702081	0.0013732618376806325	0.3720833333333333
GOBP_GLUTATHIONE_TRANSMEMBRANE_TRANSPORT	0.8650305671672507	0.0005126611613709084	0.0013932563846223757	0.3720833333333333
GOBP_NUCLEAR_ENVELOPE_ORGANIZATION	0.8649684794438843	0.0006403197929147551	0.0014659638280468963	0.3720833333333333
KEGG_RNA_DEGRADATION	0.8649352975380274	0.0007794642313029019	0.0015114059801872217	0.3720833333333333
GOBP_TRIPEPTIDE_TRANSMEMBRANE_TRANSPORT	0.8649016818712635	0.0003780455614183964	0.0015468508588566755	0.3720833333333333
GOBP_DEOXYRIBONUCLEOSIDE_DIPHOSPHATE_METABOLIC_PROCESS	0.8648929557278994	0.000826894471850371	0.0015595746614559666	0.3720833333333333
GOBP_REGULATION_OF_PROTEIN_CATABOLIC_PROCESS	0.8648689710741296	0.0007096566618969076	0.0015632100336271926	0.3720833333333333
WP_ESTROGEN_SIGNALING_PATHWAY	0.8648149454720295	0.0007323938955987786	0.0016095610288103244	0.3720833333333333
GSE1460_DP_VS_CD4_THYMOCYTE_UP	0.8647964711418185	0.0009996766391138473	0.001623193674452422	0.3720833333333333
HP_SEVERE_SHORT_LIMB_DWARFISM	0.8647675693705477	0.0006881783860296798	0.001664091611378715	0.3736734693877551
GOMF_TRIPEPTIDE_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	0.8647175261451225	0.0005269368148892511	0.0017268017813323639	0.3775438596491228
HP_NEOPLASM_OF_THE_PERIPHERAL_NERVOUS_SYSTEM	0.864638280758607	0.0009798491312953304	0.0017876942652003999	0.3775438596491228
GOCC_DENDRITIC_SPINE_HEAD	0.8646157187256917	0.0009129556141510362	0.0018095064982277561	0.3775438596491228
PID_ECADHERIN_NASCENT_AJ_PATHWAY	0.8644700759167245	0.000860335068872783	0.0019112969190220848	0.3775438596491228
HP_TALIPES_VALGUS	0.8644671413917991	0.0010206307435135795	0.0019149322911933108	0.3775438596491228
GOBP_HISTONE_H2A_UBIQUITINATION	0.8644628217107848	0.0003650265169593701	0.001925838407706989	0.3775438596491228
GOBP_TRIPEPTIDE_TRANSPORT	0.8644248883485842	0.00045219564052425626	0.0019458329546487322	0.3775438596491228
MYLLYKANGAS_AMPLIFICATION_HOT_SPOT_18	0.8643973374863484	0.000862389611375463	0.001955830228119604	0.3775438596491228
GOBP_RIBONUCLEOSIDE_DIPHOSPHATE_BIOSYNTHETIC_PROCESS	0.8642104700975363	0.0005731017578420618	0.0020812505680269018	0.39482758620689656
REACTOME_HDL_CLEARANCE	0.8637757427058471	0.0008764658563659286	0.0023493592656548216	0.41414285714285715
REACTOME_RHO_GTPASES_ACTIVATE_CIT	0.863749952073522	0.000954310951252075	0.0023784422430246296	0.41414285714285715
GSE23925_LIGHT_ZONE_VS_NAIVE_BCELL_DN	0.8637032585955928	0.0006919561113474984	0.002399345633009179	0.41414285714285715
GOBP_SULFUR_COMPOUND_TRANSPORT	0.863695932385428	0.0006577120293839969	0.002405707534308825	0.41414285714285715
GSE1448_ANTI_VALPHA2_VS_VBETA5_DP_THYMOCYTE_UP	0.8636242560779875	0.001229366781889576	0.0024384258838498593	0.41414285714285715
BIOCARTA_TEL_PATHWAY	0.863533775626708	0.0012714943214008568	0.0024911387803326366	0.41414285714285715
MIR455_5P	0.8634584051395915	0.001145273560042267	0.0025156775424884123	0.41414285714285715
GOMF_OLIGOPEPTIDE_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	0.8633895782140203	0.001135138798769642	0.002560210851585931	0.41414285714285715
MIR337_3P	0.8633213876520621	0.0009970659967472866	0.002606561846769063	0.41414285714285715
REACTOME_DOWNREGULATION_OF_ERBB2_ERBB3_SIGNALING	0.8632905722670231	0.001120770431255751	0.0026274652367536126	0.41414285714285715
