	Score	MoE	P-Value	Q-Value
TIGD6	0.8611901364664978	0.0182790509606853	0.0002537641684994	0.1966666666666666
TRABD2A	0.8559705737221226	0.0169719083586219	0.0004906107257655	0.2302325581395349
PNPLA4	0.8394950976101401	0.0168173760706619	0.0012913776574747	0.2604395604395604
DEPDC7	0.8088830723593086	0.0284361178175323	0.0026560649636271	0.3119205298013245
PLAG1	0.8071184955498548	0.019960914797373	0.0027519314272824	0.3170886075949367
ZNF204P	0.8024541499172152	0.0405857613688304	0.0029662211695708	0.3187878787878788
ZNF252P	0.7849133145770911	0.0351890201329305	0.0041673715671347	0.3523809523809524
PIM2	0.7791821734193454	0.0204187984721322	0.0045451982180116	0.3638392857142857
LEF1	0.7587684432226603	0.0587175668119096	0.005988834376586	0.3858695652173913
TTC14	0.753975118610761	0.0417327802446004	0.0063441042124851	0.3897689768976897
FAM117B	0.7511383295746572	0.044420039593463	0.0065922291772401	0.3897689768976897
C10orf95	0.7448908110309957	0.0474371846000083	0.0071223143292167	0.396100278551532
MSX2P1	0.7350182166861303	0.0472002994649206	0.0080753397620256	0.3964187327823691
ZNF225	0.7201872657368661	0.0658257870913499	0.0100377826650876	0.4222477064220183
CCR7	0.7186693200057421	0.0516447963521771	0.0102746292223538	0.4222477064220183
ACVR1C	0.7119789952906477	0.0642413432756215	0.0113911915637511	0.4283757338551859
RNF157	0.7097428017776276	0.0664013695773321	0.0117464613996503	0.4283757338551859
HAVCR1	0.7074013479310894	0.0556384265180186	0.0121524840692494	0.4283757338551859
NME4	0.7035533319578907	0.0973905429354253	0.0130040038346585	0.4399624765478424
ZNF772	0.7020272483577548	0.0637425560628914	0.0133592736705577	0.4412962962962963
USP44	0.6965122364574986	0.058827253144448	0.014396887159533	0.4480769230769231
NMT1	0.6872689210963195	0.0740800545070913	0.0164382789150171	0.4691573926868044
GLRX2	0.6841661030432692	0.0683385638089712	0.0170698697343935	0.470750382848392
RRN3P1	0.6841569715592102	0.0612234266902247	0.0170698697343935	0.470750382848392
MBLAC1	0.6566219885297041	0.0538457857155113	0.0236395420966559	0.5259723964868257
SFI1	0.6562358539587192	0.0694918659597182	0.0237748829865223	0.527
ADORA2B	0.6552957751792545	0.0946016529318462	0.0240286471550217	0.528290282902829
ZSCAN20	0.6524341092626862	0.059616058357733	0.0249027237354085	0.5354292623941959
MTMR4	0.6516335129809012	0.2058502385518837	0.0251170134776969	0.5358943577430972
WWC2	0.6483035517183166	0.2218815732104778	0.0260192860768059	0.5460355029585799
HOOK1	0.6411465528089225	0.0860259516616327	0.0278745841087238	0.5547699214365881
LIPT2	0.6343986473338143	0.1039141804752248	0.02999492471663	0.5680170575692963
CTSW	0.6327723113236338	0.0783393762409998	0.0304460610161845	0.5728525980911983
APBA2	0.630978934255769	0.0867160797880353	0.0309197541307167	0.5759453781512606
ADAM23	0.6282002828912864	0.0692648073087211	0.0317881915073591	0.5804503582395087
BIRC3	0.6212568942608913	0.0785141937745841	0.0339592849489652	0.5950592885375494
ACVR2B	0.6026961784075762	0.0650906257252491	0.0397394687870072	0.6271352313167261
ENPP5	0.5993572317812494	0.0942503998292938	0.0409293407770822	0.6340889276373147
GNG8	0.5617548295432173	0.1648075322011205	0.05761010545311	0.724140350877193
DPH5	0.5550416441199462	0.0877139920820607	0.0611458862008684	0.7334009465855307
LY75	0.5520253253124416	0.0700544478697481	0.0626684712118648	0.7374253483742536
BARX2	0.5501898525475946	0.0729511042163856	0.0636722494783736	0.740956749672346
HSD17B14	0.5437762625152235	0.0694185993738132	0.0672700614673208	0.7565272496831432
RNF130	0.5367668905577574	0.1661410641973447	0.0708340382338013	0.7739371534195933
SAXO2	0.5254214540642441	0.1583322867356381	0.0770089663339536	0.7918108419838523
NME9	0.5187147011697921	0.0496380848372182	0.0808436248801669	0.8062992125984252
SLC18A2	0.5144567274913642	0.0824368329163971	0.083381266565161	0.8144420131291029
SLC9A7	0.4954074106285517	0.2260348908977998	0.0940562792533694	0.8374999999999999
NCAPH2	0.483364983330443	0.1260657273708138	0.1015056673997631	0.8616562948779319
